asset,arch,model,file,size_kb,fit_seconds,n_train,feature_count
btc,flat,xgboost,btc_flat_xgboost.joblib,396.3,1.3,3200,6
btc,flat,lightgbm,btc_flat_lightgbm.joblib,4590.7,12.7,3200,6
btc,flat,random_forest,btc_flat_random_forest.joblib,6143.5,0.7,3200,6
btc,flat,mlp,btc_flat_mlp.joblib,75.9,0.3,3200,6
btc,2stage_trend,xgboost,btc_2stage_trend_xgboost.joblib,1715.8,2.2,3200,12
btc,2stage_trend,lightgbm,btc_2stage_trend_lightgbm.joblib,646.3,1.7,3200,12
btc,2stage_trend,random_forest,btc_2stage_trend_random_forest.joblib,11141.0,1.6,3200,12
btc,2stage_trend,mlp,btc_2stage_trend_mlp.joblib,29.1,0.6,3200,12
btc,2stage_macro,xgboost,btc_2stage_macro_xgboost.joblib,399.7,1.3,3200,10
btc,2stage_macro,lightgbm,btc_2stage_macro_lightgbm.joblib,541.8,1.6,3200,10
btc,2stage_macro,random_forest,btc_2stage_macro_random_forest.joblib,2835.9,0.5,3200,10
btc,2stage_macro,mlp,btc_2stage_macro_mlp.joblib,81.9,0.4,3200,10
btc,3stage_full,xgboost,btc_3stage_full_xgboost.joblib,732.8,1.6,3200,16
btc,3stage_full,lightgbm,btc_3stage_full_lightgbm.joblib,2833.6,7.7,3200,16
btc,3stage_full,random_forest,btc_3stage_full_random_forest.joblib,10442.5,1.2,3200,16
btc,3stage_full,mlp,btc_3stage_full_mlp.joblib,246.3,1.1,3200,16
eth,flat,xgboost,eth_flat_xgboost.joblib,296.9,0.5,2000,6
eth,flat,lightgbm,eth_flat_lightgbm.joblib,496.0,1.3,2000,6
eth,flat,random_forest,eth_flat_random_forest.joblib,995.4,0.4,2000,6
eth,flat,mlp,eth_flat_mlp.joblib,216.8,0.2,2000,6
eth,2stage_trend,xgboost,eth_2stage_trend_xgboost.joblib,142.5,0.6,2000,12
eth,2stage_trend,lightgbm,eth_2stage_trend_lightgbm.joblib,271.4,0.7,2000,12
eth,2stage_trend,random_forest,eth_2stage_trend_random_forest.joblib,1254.4,0.3,2000,12
eth,2stage_trend,mlp,eth_2stage_trend_mlp.joblib,234.9,0.3,2000,12
eth,2stage_macro,xgboost,eth_2stage_macro_xgboost.joblib,1183.2,2.7,2000,10
eth,2stage_macro,lightgbm,eth_2stage_macro_lightgbm.joblib,382.8,1.1,2000,10
eth,2stage_macro,random_forest,eth_2stage_macro_random_forest.joblib,2097.2,0.5,2000,10
eth,2stage_macro,mlp,eth_2stage_macro_mlp.joblib,81.5,0.2,2000,10
eth,3stage_full,xgboost,eth_3stage_full_xgboost.joblib,125.3,0.6,2000,16
eth,3stage_full,lightgbm,eth_3stage_full_lightgbm.joblib,620.3,1.6,2000,16
eth,3stage_full,random_forest,eth_3stage_full_random_forest.joblib,1850.4,0.6,2000,16
eth,3stage_full,mlp,eth_3stage_full_mlp.joblib,90.5,0.2,2000,16
