,lda_equity,mlp_equity,buy_hold
2024-08-03,10000,10000.0,10000.0
2024-08-04,10000,10000.0,9577.601643454942
2024-08-05,10000,9985.022466300548,8897.721426353268
2024-08-06,10000,10347.278681783804,9234.381976585195
2024-08-07,10000,10331.781010268402,9068.453513636832
2024-08-08,10000,11569.119207351403,10169.74973258837
2024-08-09,10000,11569.119207351403,10032.962956859305
2024-08-10,10000,11569.119207351403,10043.790102087636
2024-08-11,10000,11569.119207351403,9676.894142076038
2024-08-12,10000,11569.119207351403,9781.546460613366
2024-08-13,10000,11569.119207351403,9988.377186093252
2024-08-14,10000,11569.119207351403,9679.825112539478
2024-08-15,10000,11569.119207351403,9485.828728840745
2024-08-16,10000,11569.119207351403,9705.671469690167
2024-08-17,10000,11569.119207351403,9802.056816408587
2024-08-18,10000,11569.119207351403,9638.080831697785
2024-08-19,10000,11569.119207351403,9804.443178698939
2024-08-20,10000,11569.119207351403,9725.231014289584
2024-08-21,10000,11569.119207351403,10081.59144550596
2024-08-22,10000,11569.119207351403,9950.860377914292
2024-08-23,10000,11551.791520071294,10562.66586086973
2024-08-24,10000,11567.045682825448,10576.613881302708
2024-08-25,10000,11577.508178082264,10602.083647695414
2024-08-26,10000,11577.508178082264,10362.650462492069
2024-08-27,10000,11577.508178082264,9806.203177215752
2024-08-28,10000,11577.508178082264,9727.675313619628
2024-08-29,10000,11577.508178082264,9787.094254036145
2024-08-30,10000,11577.508178082264,9742.812330856024
2024-08-31,10000,11577.508178082264,9718.162051702493
2024-09-01,10000,11577.508178082264,9447.165411020802
2024-09-02,10000,11577.508178082264,9741.65938376619
2024-09-03,10000,11577.508178082264,9464.55746659092
2024-09-04,10000,11577.508178082264,9553.633733879979
2024-09-05,10000,11577.508178082264,9255.174936385125
2024-09-06,10000,11560.167926192973,8890.684007265558
2024-09-07,10000,11583.679657163597,8922.149613521315
2024-09-08,10000,11583.679657163597,9037.818338283296
2024-09-09,10000,11583.679657163597,9396.744736613062
2024-09-10,10000,11566.330161920716,9500.432081567105
2024-09-11,10000,11505.028432588553,9450.079644117222
2024-09-12,10000,11662.293881883854,9579.25542406565
2024-09-13,10000,12152.70301416605,9982.071061195413
2024-09-14,10000,12021.049077137157,9888.76539000897
2024-09-15,10000,12021.049077137157,9753.253872897973
2024-09-16,10000,12021.049077137157,9590.049094559938
2024-09-17,10000,12021.049077137157,9938.768273986056
2024-09-18,10000,12003.0445103716,10159.786492996305
2024-09-19,10000,12235.974224231059,10372.504909198487
2024-09-20,10000,12235.974224231059,10414.119797318202
2024-09-21,10000,12235.974224231059,10447.386601763443
2024-09-22,10000,12235.974224231059,10489.22422561352
2024-09-23,10000,12235.974224231059,10436.66824942075
2024-09-24,10000,12235.974224231059,10596.880257786344
2024-09-25,10000,12235.974224231059,10405.907543814557
2024-09-26,10000,12235.974224231059,10741.746675572655
2024-09-27,10000,12235.974224231059,10842.215296099464
2024-09-28,10000,12235.974224231059,10858.19819411534
2024-09-29,10000,12235.974224231059,10816.612274515472
2024-09-30,10000,12235.974224231059,10436.61868106457
2024-10-01,10000,12235.974224231059,10025.859232048395
2024-10-02,10000,12235.974224231059,9992.203605692346
2024-10-03,10000,12235.974224231059,10013.069952409222
2024-10-04,10000,12235.974224231059,10228.638870964163
2024-10-05,10000,12235.974224231059,10232.34233529014
2024-10-06,10000,12217.647752602155,10352.481224536667
2024-10-07,10000,12104.397689888627,10256.520105697757
2024-10-08,10000,12065.910221273527,10239.267099022894
2024-10-09,10000,12065.910221273527,9983.851015803677
2024-10-10,10000,12065.910221273527,9933.158681054276
2024-10-11,10000,12047.838463578159,10290.869045295432
2024-10-12,10000,12192.140972254672,10414.127522256831
2024-10-13,10000,12126.225058022934,10357.824307085875
2024-10-14,10000,12723.489990415874,10884.314924117922
2024-10-15,10000,12723.489990415874,11048.28704635941
2024-10-16,10000,12723.489990415874,11142.487522936624
2024-10-17,10000,12723.489990415874,11107.40471416954
2024-10-18,10000,12723.489990415874,11275.326855028132
2024-10-19,10000,12723.489990415874,11266.089115921968
2024-10-20,10000,12723.489990415874,11371.390329303827
2024-10-21,10000,12723.489990415874,11102.133731047501
2024-10-22,10000,12723.489990415874,11101.071551986515
2024-10-23,10000,12723.489990415874,10947.93880612618
2024-10-24,10000,12723.489990415874,11232.852567486347
2024-10-25,10000,12723.489990415874,10982.58258088139
2024-10-26,10000,12723.489990415874,11043.93404344402
2024-10-27,10000,12723.489990415874,11194.659183432783
2024-10-28,10000,12723.489990415874,11520.706955483232
2024-10-29,10000,12723.489990415874,11984.241897698115
2024-10-30,10000,12723.489990415874,11921.461321489793
2024-10-31,10000,12723.489990415874,11571.37096545767
2024-11-01,10000,12704.433340405267,11450.619874825084
2024-11-02,10000,12669.108790004415,11418.781540280654
2024-11-03,10000,12568.881859909166,11328.446107995664
2024-11-04,10000,12380.310256969717,11175.247700157013
2024-11-05,10000,12380.310256969717,11430.365085749383
2024-11-06,10000,12380.310256969717,12465.221038818836
2024-11-07,10000,12380.310256969717,12509.021440824641
2024-11-08,10000,12380.310256969717,12614.59431454816
2024-11-09,10000,12380.310256969717,12653.05678396384
2024-11-10,10000,12380.310256969717,13262.040733086367
2024-11-11,10000,12380.310256969717,14617.88848587597
2024-11-12,10000,12361.767605561374,14495.002737203244
2024-11-13,10000,12731.169811940164,14928.151633335263
2024-11-14,10000,12244.235490170982,14378.756573279015
2024-11-15,10000,12244.235490170982,15007.558852444907
2024-11-16,10000,12244.235490170982,14923.918366968564
2024-11-17,10000,12244.235490170982,14806.478700026717
2024-11-18,10000,12244.235490170982,14921.30862520296
2024-11-19,10000,12244.235490170982,15218.135529413208
2024-11-20,10000,12244.235490170982,15547.02479138802
2024-11-21,10000,12244.235490170982,16233.449962740035
2024-11-22,10000,12244.235490170982,16314.685417324348
2024-11-23,10000,12244.235490170982,16113.567927702803
2024-11-24,10000,12244.235490170982,16152.549255496153
2024-11-25,10000,12244.235490170982,15343.136623779514
2024-11-26,10000,12244.235490170982,15159.060348765519
2024-11-27,10000,12244.235490170982,15814.49950380143
2024-11-28,10000,12244.235490170982,15763.401609774197
2024-11-29,10000,12244.235490170982,16061.531453632588
2024-11-30,10000,12244.235490170982,15894.677929283838
2024-12-01,10000,12244.235490170982,16031.581866582057
2024-12-02,10000,12244.235490170982,15798.476693602654
2024-12-03,10000,12244.235490170982,15821.030939409171
2024-12-04,10000,12244.235490170982,16276.924629833798
2024-12-05,10000,12244.235490170982,15918.493915065825
2024-12-06,10000,12244.235490170982,16466.80233375544
2024-12-07,10000,12244.235490170982,16467.23493031846
2024-12-08,10000,12244.235490170982,16683.562824093344
2024-12-09,10000,12244.235490170982,16056.7844788473
2024-12-10,10000,12244.235490170982,15931.984232885252
2024-12-11,10000,12244.235490170982,16673.1830815604
2024-12-12,10000,12244.235490170982,16486.955411139243
2024-12-13,10000,12244.235490170982,16720.352844296634
2024-12-14,10000,12244.235490170982,16706.13251977711
2024-12-15,10000,12244.235490170982,17188.28842654843
2024-12-16,10000,12244.235490170982,17473.558822575134
2024-12-17,10000,12244.235490170982,17491.83216489343
2024-12-18,10000,12244.235490170982,16486.714650552083
2024-12-19,10000,12244.235490170982,16066.381427599541
2024-12-20,10000,12225.896645203176,16110.049218158943
2024-12-21,10000,12141.222255447112,16022.507638676792
2024-12-22,10000,12141.222255447112,15673.169176670874
2024-12-23,10000,12141.222255447112,15604.168737379363
2024-12-24,10000,12141.222255447112,16261.691050864581
2024-12-25,10000,12141.222255447112,16364.377372521754
2024-12-26,10000,12141.222255447112,15786.975547479256
2024-12-27,10000,12141.222255447112,15518.245532539226
2024-12-28,10000,12141.222255447112,15682.891011930893
2024-12-29,10000,12141.222255447112,15413.658875980214
2024-12-30,10000,12141.222255447112,15267.479862372476
2024-12-31,10000,12141.222255447112,15397.01034575279
2025-01-01,10000,12141.222255447112,15560.25246129418
2025-01-02,10000,12141.222255447112,15966.830143534495
2025-01-03,10000,12141.222255447112,16167.975957930998
2025-01-04,10000,12141.222255447112,16189.20151429395
2025-01-05,10000,12141.222255447112,16202.17683620502
2025-01-06,10000,12141.222255447112,16822.334909049132
2025-01-07,10000,12141.222255447112,15972.734571623812
2025-01-08,10000,12141.222255447112,15663.04821958188
2025-01-09,10000,12141.222255447112,15241.248545780289
