,fold,train_size,val_size,accuracy,f1_macro
0,0,183,31,0.8387096774193549,0.45614035087719296
1,1,214,30,0.26666666666666666,0.21052631578947367
2,2,244,31,1.0,1.0
3,3,275,30,0.5333333333333333,0.47222222222222227
4,4,305,29,0.6896551724137931,0.6472906403940887
5,5,334,31,0.4838709677419355,0.4095238095238095
6,6,365,30,0.8,0.5673076923076923
7,7,395,31,1.0,1.0
8,8,426,30,1.0,1.0
9,9,456,31,0.5161290322580645,0.2882882882882883
10,10,487,31,0.45161290322580644,0.3111111111111111
11,11,518,30,0.7,0.2916666666666667
12,12,548,30,1.0,1.0
13,13,578,27,1.0,1.0
14,14,605,31,1.0,1.0
15,15,636,31,0.5483870967741935,0.24637681159420288
16,16,667,28,0.39285714285714285,0.18803418803418803
17,17,695,31,0.8709677419354839,0.8411896745230077
18,18,726,30,0.5666666666666667,0.3333333333333333
19,19,756,31,0.8064516129032258,0.44642857142857145
20,20,787,30,0.16666666666666666,0.14285714285714285
21,21,817,31,0.5161290322580645,0.22695035460992907
22,22,848,31,0.3225806451612903,0.16260162601626016
23,23,879,30,0.5,0.3941798941798942
24,24,909,31,0.6129032258064516,0.45555555555555555
25,25,940,30,0.6,0.25
26,26,970,31,0.1935483870967742,0.16216216216216217
27,27,1001,30,0.16666666666666666,0.09523809523809523
28,28,1031,28,0.8928571428571429,0.4716981132075472
29,29,1059,31,0.2903225806451613,0.27777777777777773
30,30,1090,30,0.6333333333333333,0.4139433551198257
31,31,1120,31,0.8709677419354839,0.8604497354497355
32,32,1151,30,1.0,1.0
33,33,1181,31,0.967741935483871,0.9506172839506172
34,34,1212,31,0.4838709677419355,0.42857142857142855
35,35,1243,30,0.5,0.4994438264738599
36,36,1273,31,0.03225806451612903,0.020833333333333332
37,37,1304,30,0.6666666666666666,0.4
38,38,1334,31,0.967741935483871,0.4918032786885246
39,39,1365,31,0.7419354838709677,0.5122807017543859
40,40,1396,28,0.6071428571428571,0.5639291465378422
41,41,1424,31,0.8387096774193549,0.45614035087719296
42,42,1455,30,1.0,1.0
43,43,1485,31,1.0,1.0
44,44,1516,30,1.0,1.0
45,45,1546,31,0.8064516129032258,0.547008547008547
46,46,1577,31,0.41935483870967744,0.41875
47,47,1608,30,0.6666666666666666,0.625
48,48,1638,31,0.7096774193548387,0.41509433962264153
49,49,1669,30,0.6,0.5299483125570082
50,50,1699,31,0.7741935483870968,0.43636363636363634
51,51,1730,31,0.7741935483870968,0.6921985815602837
52,52,1761,29,0.896551724137931,0.5757575757575758
53,53,1790,31,0.8709677419354839,0.46551724137931033
54,54,1821,30,0.7333333333333333,0.6629951690821255
55,55,1851,31,1.0,1.0
56,56,1882,30,0.6666666666666666,0.6555555555555556
57,57,1912,31,0.41935483870967744,0.43421052631578944
58,58,1943,31,0.967741935483871,0.3333333333333333
59,59,1974,30,0.8333333333333334,0.45454545454545453
60,60,2004,31,1.0,1.0
61,61,2035,30,1.0,1.0
62,62,2065,31,1.0,1.0
63,63,2096,31,0.7419354838709677,0.42592592592592593
64,64,2127,28,0.8571428571428571,0.46153846153846156
65,65,2155,31,1.0,1.0
66,66,2186,30,0.6666666666666666,0.5021929824561403
67,67,2216,31,0.9354838709677419,0.8564814814814814
68,68,2247,30,1.0,1.0
69,69,2277,31,0.6774193548387096,0.2692307692307692
70,70,2308,31,0.9032258064516129,0.4745762711864407
71,71,2339,30,0.4,0.29494949494949496
72,72,2369,31,0.8064516129032258,0.39705882352941174
73,73,2400,30,0.7666666666666667,0.6763845350052247
74,74,2430,31,1.0,1.0
75,75,2461,31,1.0,1.0
76,76,2492,28,0.4642857142857143,0.3072833599149389
77,77,2520,31,0.7419354838709677,0.5555555555555555
78,78,2551,30,0.7666666666666667,0.7040520143968418
79,79,2581,31,1.0,1.0
80,80,2612,30,1.0,1.0
81,81,2642,31,0.7419354838709677,0.6511784511784512
82,82,2673,31,1.0,1.0
83,83,2704,30,0.8333333333333334,0.45454545454545453
84,84,2734,31,0.1935483870967742,0.20634920634920637
85,85,2765,30,0.8666666666666667,0.8030303030303031
86,86,2795,31,0.4838709677419355,0.45614035087719296
87,87,2826,31,0.967741935483871,0.9560283687943263
88,88,2857,28,0.9642857142857143,0.4909090909090909
89,89,2885,31,0.8064516129032258,0.7882882882882883
90,90,2916,30,1.0,1.0
91,91,2946,31,0.41935483870967744,0.5
92,92,2977,30,0.8333333333333334,0.6905460131266583
93,93,3007,31,0.9032258064516129,0.3218390804597701
94,94,3038,31,0.6129032258064516,0.38
95,95,3069,30,0.7,0.7230769230769232
96,96,3099,31,0.9354838709677419,0.48333333333333334
97,97,3130,29,1.0,1.0
98,98,3159,31,0.967741935483871,0.4918032786885246
99,99,3190,31,0.41935483870967744,0.4358974358974359
100,100,3221,29,0.9655172413793104,0.9504273504273504
101,101,3250,31,1.0,1.0
102,102,3281,30,0.8333333333333334,0.7142857142857143
103,103,3311,13,0.8461538461538461,0.4583333333333333
