,fold,train_size,val_size,accuracy,f1_macro
0,0,183,31,0.8709677419354839,0.46551724137931033
1,1,214,30,1.0,1.0
2,2,244,31,1.0,1.0
3,3,275,30,0.5666666666666667,0.40616246498599445
4,4,305,29,0.6896551724137931,0.5396825396825397
5,5,334,31,0.9354838709677419,0.48333333333333334
6,6,365,30,0.9,0.8330241187384044
7,7,395,31,1.0,1.0
8,8,426,30,1.0,1.0
9,9,456,31,0.6774193548387096,0.40384615384615385
10,10,487,31,1.0,1.0
11,11,518,30,0.7,0.4117647058823529
12,12,548,30,1.0,1.0
13,13,578,27,1.0,1.0
14,14,605,31,1.0,1.0
15,15,636,31,0.6129032258064516,0.38
16,16,667,28,1.0,1.0
17,17,695,31,0.8709677419354839,0.8547567175018155
18,18,726,30,1.0,1.0
19,19,756,31,1.0,1.0
20,20,787,30,1.0,1.0
21,21,817,31,0.7096774193548387,0.6161986161986163
22,22,848,31,1.0,1.0
23,23,879,30,1.0,1.0
24,24,909,31,1.0,1.0
25,25,940,30,1.0,1.0
26,26,970,31,1.0,1.0
27,27,1001,30,0.9333333333333333,0.9248366013071895
28,28,1031,28,0.9285714285714286,0.8541666666666667
29,29,1059,31,0.9354838709677419,0.9521367521367522
30,30,1090,30,0.9,0.8502673796791443
31,31,1120,31,0.967741935483871,0.9628482972136223
32,32,1151,30,1.0,1.0
33,33,1181,31,1.0,1.0
34,34,1212,31,0.9032258064516129,0.9307048984468339
35,35,1243,30,0.9333333333333333,0.9068322981366459
36,36,1273,31,0.967741935483871,0.4918032786885246
37,37,1304,30,1.0,1.0
38,38,1334,31,1.0,1.0
39,39,1365,31,0.8064516129032258,0.567843137254902
40,40,1396,28,0.9642857142857143,0.9506172839506172
41,41,1424,31,1.0,1.0
42,42,1455,30,1.0,1.0
43,43,1485,31,1.0,1.0
44,44,1516,30,1.0,1.0
45,45,1546,31,0.967741935483871,0.9407407407407407
46,46,1577,31,0.8709677419354839,0.8640350877192983
47,47,1608,30,1.0,1.0
48,48,1638,31,1.0,1.0
49,49,1669,30,0.9,0.901940842444275
50,50,1699,31,1.0,1.0
51,51,1730,31,0.8709677419354839,0.4871794871794872
52,52,1761,29,1.0,1.0
53,53,1790,31,1.0,1.0
54,54,1821,30,0.9333333333333333,0.8928571428571429
55,55,1851,31,1.0,1.0
56,56,1882,30,0.9,0.895675178283874
57,57,1912,31,1.0,1.0
58,58,1943,31,1.0,1.0
59,59,1974,30,1.0,1.0
60,60,2004,31,1.0,1.0
61,61,2035,30,1.0,1.0
62,62,2065,31,1.0,1.0
63,63,2096,31,1.0,1.0
64,64,2127,28,1.0,1.0
65,65,2155,31,1.0,1.0
66,66,2186,30,0.6666666666666666,0.5098039215686274
67,67,2216,31,0.9032258064516129,0.4745762711864407
68,68,2247,30,1.0,1.0
69,69,2277,31,1.0,1.0
70,70,2308,31,1.0,1.0
71,71,2339,30,0.9,0.8362573099415204
72,72,2369,31,1.0,1.0
73,73,2400,30,1.0,1.0
74,74,2430,31,1.0,1.0
75,75,2461,31,1.0,1.0
76,76,2492,28,0.9642857142857143,0.9446290143964563
77,77,2520,31,0.7096774193548387,0.5199761478831246
78,78,2551,30,0.9333333333333333,0.9329819938515591
79,79,2581,31,1.0,1.0
80,80,2612,30,1.0,1.0
81,81,2642,31,0.9354838709677419,0.9375
82,82,2673,31,0.967741935483871,0.9538239538239538
83,83,2704,30,0.9666666666666667,0.4915254237288136
84,84,2734,31,0.9354838709677419,0.8412698412698413
85,85,2765,30,1.0,1.0
86,86,2795,31,0.967741935483871,0.9620563035495715
87,87,2826,31,0.8387096774193549,0.5080593165699548
88,88,2857,28,1.0,1.0
89,89,2885,31,1.0,1.0
90,90,2916,30,1.0,1.0
91,91,2946,31,1.0,1.0
92,92,2977,30,1.0,1.0
93,93,3007,31,0.9032258064516129,0.3218390804597701
94,94,3038,31,1.0,1.0
95,95,3069,30,1.0,1.0
96,96,3099,31,1.0,1.0
97,97,3130,29,1.0,1.0
98,98,3159,31,1.0,1.0
99,99,3190,31,0.8064516129032258,0.797979797979798
100,100,3221,29,0.9655172413793104,0.9550387596899225
101,101,3250,31,1.0,1.0
102,102,3281,30,0.9333333333333333,0.9212788563701343
103,103,3311,13,1.0,1.0
