feature,adf_stat,p_value,stationary
SMA_20,-0.25220487236371686,0.9320060703387443,False
SMA_50,-1.4846325747776026,0.5410992256901115,False
SMA_200,-1.1565296678608752,0.6920106399558523,False
EMA_12,-0.6277712778732104,0.8645825808391303,False
EMA_26,-0.8244665889407404,0.8118293452245624,False
ADX_14,-11.306393716600056,1.2701967100120414e-20,True
DI_plus_14,-10.856056942115782,1.486675056401757e-19,True
DI_minus_14,-10.261428951014876,4.226672157570995e-18,True
PSAR,-0.21674313387036084,0.9364962306158595,False
PSAR_up,-19.708558898321137,0.0,True
PSAR_down,-19.11956486720452,0.0,True
SMA20_SMA50_cross,-5.706617994984375,7.462803494535902e-07,True
SMA50_SMA200_cross,-6.799624025891611,2.25440600881976e-09,True
price_dist_SMA20_pct,-12.841336506688899,5.5986029612505014e-24,True
price_dist_SMA50_pct,-7.920786294033187,3.7292282140909176e-12,True
price_dist_SMA200_pct,-4.342824587654991,0.00037417945381421666,True
RSI_14,-11.112778147087948,3.6250885239679004e-20,True
Stoch_K_14,-12.199449359994832,1.232807055186374e-22,True
Stoch_D_3,-10.300344215326849,3.385142211477542e-18,True
MACD_line,-7.261655595058764,1.6754138858523943e-10,True
MACD_signal,-8.004006615452045,2.2934842200270443e-12,True
MACD_histogram,-12.285986424479058,8.024035928504533e-23,True
Williams_R_14,-12.199449359994844,1.2328070551863117e-22,True
CCI_20,-12.977767365084102,2.9876466101664517e-24,True
ROC_10,-10.001067752706374,1.8836822256638614e-17,True
BB_upper,-0.7122374926245683,0.8435542365194031,False
BB_lower,-0.375780646081894,0.9140646844863256,False
BB_bandwidth,-9.48871266543184,3.7022448043348524e-16,True
BB_pct_b,-15.854949647742506,9.354786765651638e-29,True
ATR_14,-1.9002860766947751,0.3319265431825381,False
hist_volatility_20,-5.642393569370052,1.029413553130127e-06,True
OBV,-1.4436102259805723,0.5611996174536265,False
Volume_SMA_20,-1.3614275604594874,0.6006222628135607,False
Volume_ROC,-13.505713428773314,2.9182072486694713e-25,True
macro_SP500,0.9626505756687329,0.9938558111937631,False
macro_VIX,-5.554070903095851,1.5955802696915142e-06,True
macro_DXY,-3.0913808499904203,0.027197654573200693,True
macro_Gold,4.66972826513358,1.0,False
macro_Silver,4.610794046865867,1.0,False
macro_Oil_WTI,-2.673111475994303,0.07880784581574518,False
macro_US10Y,-0.8667779250230763,0.7987160062901897,False
macro_US5Y,-0.8875708854164909,0.7920379424982573,False
macro_US3M,-0.7694225096250733,0.8279394072454231,False
macro_US30Y,-0.7678272845840067,0.828390401534389,False
macro_US2Y,-1.0157794917396044,0.7474656754350347,False
macro_HY_Bond,-0.054735827438562513,0.9537645192709935,False
macro_IG_Bond,-1.4036784686458597,0.5805113493896408,False
macro_Treasury20Y,-1.5003924863433502,0.5333171725999617,False
macro_TIPS,-0.6211644174239627,0.8661276663528581,False
macro_SP500_roc_5,-12.149749357239275,1.5803001255011423e-22,True
macro_SP500_roc_20,-9.385360337768427,6.782224445402941e-16,True
macro_SP500_roc_50,-8.588946099756427,7.375464329266024e-14,True
macro_SP500_zscore_20,-16.565477801886587,1.890622761088491e-29,True
macro_SP500_zscore_50,-11.066332080352673,4.6716065467236774e-20,True
macro_SP500_zscore_100,-7.2333065959059475,1.968822072307283e-10,True
macro_SP500_sma_20,1.9859687426938952,0.9986544393529722,False
macro_SP500_sma_50,1.0776554425312215,0.9950213360575562,False
macro_SP500_sma_100,0.8250187204734746,0.99202946946455,False
macro_VIX_roc_5,-14.36736090983607,9.62213753279541e-27,True
macro_VIX_roc_20,-10.740484068432592,2.8264920804037513e-19,True
macro_VIX_roc_50,-8.414942431028786,2.055751161088565e-13,True
macro_VIX_zscore_20,-12.722708140749573,9.749211037681844e-24,True
macro_VIX_zscore_50,-15.433134490245887,2.9305853203697356e-28,True
macro_VIX_zscore_100,-11.897382744275212,5.680005408789155e-22,True
macro_VIX_sma_20,-3.3283127560084216,0.013659364973188731,True
macro_VIX_sma_50,-4.778489711875378,5.9780043608102955e-05,True
macro_VIX_sma_100,-4.055709953813041,0.0011453094814771322,True
macro_DXY_roc_5,-12.252659058815556,9.462932193650242e-23,True
macro_DXY_roc_20,-7.831309424180419,6.2822215613286015e-12,True
macro_DXY_roc_50,-6.767958872293788,2.686939767313675e-09,True
macro_DXY_zscore_20,-15.151177120546157,6.793818056190046e-28,True
macro_DXY_zscore_50,-10.266471612478856,4.106720516182273e-18,True
macro_DXY_zscore_100,-6.407607578316055,1.9258802370340973e-08,True
macro_DXY_sma_20,-2.7362288460175637,0.06797615454532385,False
macro_DXY_sma_50,-3.3429835545605235,0.013063084678020734,True
macro_DXY_sma_100,-3.336488146330919,0.013324181007762266,True
macro_Gold_roc_5,-12.77359018991283,7.677635134980713e-24,True
macro_Gold_roc_20,-9.039753560494118,5.171804149089854e-15,True
macro_Gold_roc_50,-7.215097691566843,2.1835901736347273e-10,True
macro_Gold_zscore_20,-16.20833417287865,4.010534601767072e-29,True
macro_Gold_zscore_50,-9.17944661375318,2.2727906021159962e-15,True
macro_Gold_zscore_100,-7.274601210924066,1.5562738946163874e-10,True
macro_Gold_sma_20,8.08014584561034,1.0,False
macro_Gold_sma_50,4.039507746722242,1.0,False
macro_Gold_sma_100,3.557861161815495,1.0,False
macro_Silver_roc_5,-12.940329697000646,3.5457746603333134e-24,True
macro_Silver_roc_20,-8.86272764047609,1.4679853348264657e-14,True
macro_Silver_roc_50,-6.551205601511977,8.841866551975245e-09,True
macro_Silver_zscore_20,-14.587656883523735,4.3655293503362404e-27,True
macro_Silver_zscore_50,-9.588346454835953,2.0680171886127745e-16,True
macro_Silver_zscore_100,-7.537899947163856,3.439330255115815e-11,True
macro_Silver_sma_20,6.910424601876589,1.0,False
macro_Silver_sma_50,3.7575855385272097,1.0,False
macro_Silver_sma_100,2.613751530106252,0.9990775721598866,False
macro_Oil_WTI_roc_5,-13.443792523238125,3.7997449622819713e-25,True
macro_Oil_WTI_roc_20,-12.52702547179288,2.4757002906189758e-23,True
macro_Oil_WTI_roc_50,-7.605967828571368,2.321891566071687e-11,True
macro_Oil_WTI_zscore_20,-16.797730865817016,1.2273637815461224e-29,True
macro_Oil_WTI_zscore_50,-10.048315482943945,1.4346801354192703e-17,True
macro_Oil_WTI_zscore_100,-7.579416069576153,2.7067794405159662e-11,True
