Date,RSI_14,Stoch_K_14,Stoch_D_3,MACD_line,MACD_signal,MACD_histogram,Williams_R_14,CCI_20,ROC_10,BB_upper,BB_lower,BB_bandwidth,BB_pct_b,ATR_14,hist_volatility_20,OBV,Volume_SMA_20,Volume_ROC
2014-09-17,,,,,,,,,,,,,,0.0,,21056800,,
2014-09-18,,,,,,,,,,,,,,0.0,,-13426400,,
2014-09-19,,,,,,,,,,,,,,0.0,,-51346100,,
2014-09-20,,,,,,,,,,,,,,0.0,,-14482500,,
2014-09-21,,,,,,,,,,,,,,0.0,,-41062600,,
2014-09-22,,,,,,,,,,,,,,0.0,,-16935000,,
2014-09-23,,,,,,,,,,,,,,0.0,,28164500,,
2014-09-24,,,,,,,,,,,,,,0.0,,-2463200,,
2014-09-25,,,,,,,,,,,,,,0.0,,-29277600,,
2014-09-26,,,,,,,,,,,,,,0.0,,-50738400,,
2014-09-27,,,,,,,,,-12.641532008609948,,,,,0.0,,-65767700,,-28.624957258462825
2014-09-28,,,,,,,,,-11.134436531361334,,,,,0.0,,-89381000,,-31.522306514476618
2014-09-29,,,,,,,,,-4.895941190452724,,,,,0.0,,-121878700,,-14.298636328873915
2014-09-30,33.93372352563979,15.327211199001399,,,,,-84.6727888009986,,-5.370451719931212,,,,,22.963640485491066,,-87171400,,-5.849401577708091
2014-10-01,32.933731923870894,13.442449369380286,,,,,-86.55755063061972,,-3.8127439680264863,,,,,22.080451809630095,,-113400800,,-1.3194081286375892
2014-10-02,30.453554355714914,4.085577930597258,10.951746166326314,,,,-95.91442206940275,,-6.733776419693942,,,,,21.399776314159862,,-135178500,,-9.739468492514792
2014-10-03,26.534065257701542,1.9749392550761755,6.500988851684574,,,,-98.02506074492382,,-17.50357265431181,,,,,21.288077901373885,,-166079700,,-31.482167208062172
2014-10-04,20.843956868586147,2.576281399822917,2.878932861832117,,,,-97.42371860017708,,-22.291558996482514,,,,,22.524716135818156,,-213316200,,54.2280354058581
2014-10-05,19.609189575775687,20.5003358193923,8.350518824763798,,,,-79.4996641806077,,-22.12578885618365,,,,,24.66616533203204,,-296624296,,210.68416969986274
2014-10-06,25.08240149085381,26.784938695673873,16.620518638296364,,,,-73.21506130432613,-163.1206336139823,-18.383131613336886,459.22700076397643,320.5937969655157,35.55514400285345,0.06841948959095781,25.945296745954977,,-217612496,34967284.8,268.16800864832624
