date,P_downtrend,P_range,P_uptrend,pred_label,true_label,fold
2016-12-24,2.4871517486914864e-07,3.341940927018697e-09,0.9999997479428842,uptrend,uptrend,1
2016-12-25,2.3584830411789523e-07,2.516326315733322e-09,0.9999997616353695,uptrend,uptrend,1
2016-12-26,1.8861002572440714e-07,2.883071180362101e-09,0.9999998085069031,uptrend,uptrend,1
2016-12-27,4.035234809209884e-07,3.556194314086396e-09,0.9999995929203248,uptrend,uptrend,1
2016-12-28,7.49235772413645e-06,1.4493394153061138e-08,0.9999924931488818,uptrend,uptrend,1
2016-12-29,3.291169164701383e-06,7.454920372939052e-09,0.9999967013759149,uptrend,uptrend,1
2016-12-30,1.374700134715063e-06,4.68128836056605e-09,0.9999986206185769,uptrend,uptrend,1
2016-12-31,2.5636695491862978e-06,5.8402376964344845e-09,0.9999974304902132,uptrend,uptrend,1
2017-01-01,4.7679589216118704e-07,1.3477368265005084e-08,0.9999995097267397,uptrend,uptrend,1
2017-01-02,3.286009517103469e-07,1.0565652265205035e-08,0.9999996608333961,uptrend,uptrend,1
2017-01-03,1.6747573395090128e-07,9.358520676462916e-09,0.9999998231657454,uptrend,uptrend,1
2017-01-04,1.4612062532292846e-06,5.337633115666117e-07,0.9999980050304351,uptrend,range,1
2017-01-05,0.002615714087011577,0.004847560984531919,0.9925367249284566,uptrend,range,1
2017-01-06,0.580670392562034,0.0001787986016903401,0.4191508088362757,downtrend,range,1
2017-01-07,4.085760148509798e-05,1.361751409692488e-05,0.999945524884418,uptrend,range,1
2017-01-08,3.7526421061324844e-05,1.3360583163380742e-05,0.9999491129957754,uptrend,range,1
2017-01-09,2.8280488170650395e-05,1.2543729436946812e-05,0.9999591757823925,uptrend,range,1
2017-01-10,0.000937852335211567,0.00037320053622188777,0.9986889471285665,uptrend,range,1
2017-01-11,0.00033592770019143724,0.00017206478170557756,0.999492007518103,uptrend,uptrend,1
2017-01-12,0.0007834654855126357,9.122126489472631e-05,0.9991253132495925,uptrend,uptrend,1
2017-01-13,0.0009734130139288618,1.5095370189420014e-05,0.9990114916158818,uptrend,uptrend,1
2017-01-14,0.0019259147989813966,1.0412991737358629e-05,0.9980636722092812,uptrend,uptrend,1
2017-01-15,0.001224436221032431,3.243294497518149e-06,0.9987723204844701,uptrend,uptrend,1
2017-01-16,0.0008196369108334066,1.8204441037181933e-06,0.9991785426450629,uptrend,uptrend,1
2017-01-17,0.006057349195115014,5.3822108947973255e-06,0.9939372685939902,uptrend,uptrend,1
2017-01-18,0.003742797364228784,4.88364670302623e-06,0.9962523189890683,uptrend,uptrend,1
2017-01-19,0.9989264772453416,3.117574200738634e-07,0.0010732109972384771,downtrend,uptrend,1
2017-01-20,0.9997471912129261,1.1870910752064554e-07,0.00025269007796643156,downtrend,uptrend,1
2017-01-21,0.999373955055622,2.392427142917292e-07,0.0006258057016636113,downtrend,uptrend,1
2017-01-22,0.9996572668335784,1.6734885537015928e-07,0.00034256581756616117,downtrend,uptrend,1
2017-01-23,0.999788200242388,1.1993255521542742e-07,0.00021167982505688898,downtrend,uptrend,1
2017-01-24,0.9737877170123865,2.513709475257094e-06,0.026209769278138267,downtrend,uptrend,1
2017-01-25,0.997314273040104,1.0932231356763716e-05,0.0026747947285392223,downtrend,uptrend,1
2017-01-26,0.9988192916166599,3.524636734950706e-05,0.00114546201599047,downtrend,uptrend,1
2017-01-27,0.999275376588975,1.621837803211186e-05,0.000708405032992792,downtrend,uptrend,1
2017-01-28,0.9994165983439787,1.6767359728234685e-06,0.0005817249200484113,downtrend,uptrend,1
