date,P_downtrend,P_range,P_uptrend,pred_label,true_label,fold
2016-12-24,0.001643049087563514,0.00019479735406574412,0.9981621535583707,uptrend,uptrend,1
2016-12-25,0.0035919326513875445,0.0005212936837464869,0.995886773664866,uptrend,uptrend,1
2016-12-26,0.00499272635338742,0.00038220300597028765,0.9946250706406422,uptrend,uptrend,1
2016-12-27,0.004066840580009731,0.00037439907089692026,0.9955587603490933,uptrend,uptrend,1
2016-12-28,0.0026882244061883814,0.00019628943294054118,0.9971154861608711,uptrend,uptrend,1
2016-12-29,0.005264274659140321,0.0008495129649282284,0.9938862123759316,uptrend,uptrend,1
2016-12-30,0.022183754231438625,0.0048321129451876785,0.9729841328233736,uptrend,uptrend,1
2016-12-31,0.05474786904225969,0.003785460707532771,0.9414666702502076,uptrend,uptrend,1
2017-01-01,0.04768502632792226,0.007516811718330325,0.9447981619537473,uptrend,uptrend,1
2017-01-02,0.026095643077687962,0.005064801292783573,0.9688395556295284,uptrend,uptrend,1
2017-01-03,0.02490334477018177,0.005346854448052606,0.9697498007817655,uptrend,uptrend,1
2017-01-04,0.005017207498275599,0.0069973681265360944,0.9879854243751883,uptrend,range,1
2017-01-05,0.100025950022533,0.7104714895369446,0.1895025604405225,range,range,1
2017-01-06,0.23976690512898552,0.5307458131682748,0.2294872817027397,range,range,1
2017-01-07,0.15703916147904987,0.559097338835046,0.28386349968590413,range,range,1
2017-01-08,0.17137769308718498,0.5118427924456879,0.31677951446712704,range,range,1
2017-01-09,0.11775578579504982,0.5600183844760533,0.3222258297288968,range,range,1
2017-01-10,0.1615266837519278,0.4834203137384836,0.3550530025095885,range,range,1
2017-01-11,0.011947960151251744,0.8766886768209454,0.11136336302780292,range,uptrend,1
2017-01-12,0.012023232032732685,0.8585626536215771,0.12941411434569008,range,uptrend,1
2017-01-13,0.014295091501323173,0.8397242839385606,0.14598062456011637,range,uptrend,1
2017-01-14,0.022024131731879983,0.776930076931959,0.20104579133616093,range,uptrend,1
2017-01-15,0.02846860255014735,0.7393147843211407,0.23221661312871184,range,uptrend,1
2017-01-16,0.08807149680455881,0.5898854837864902,0.3220430194089509,range,uptrend,1
2017-01-17,0.1413618503342439,0.4180853167633723,0.44055283290238373,uptrend,uptrend,1
2017-01-18,0.1290583601783269,0.5768920789647534,0.29404956085691986,range,uptrend,1
2017-01-19,0.27939116492575017,0.41164802381434246,0.3089608112599075,range,uptrend,1
2017-01-20,0.34717740112601664,0.3793936010039655,0.2734289978700179,range,uptrend,1
2017-01-21,0.3773807785381588,0.3403385938922376,0.28228062756960365,downtrend,uptrend,1
2017-01-22,0.5425902548329172,0.2741668042326095,0.18324294093447321,downtrend,uptrend,1
2017-01-23,0.6202145398750453,0.19964793942835923,0.18013752069659553,downtrend,uptrend,1
2017-01-24,0.7070168041092594,0.1520243653320861,0.14095883055865455,downtrend,uptrend,1
2017-01-25,0.7114727273500712,0.11560767846606547,0.17291959418386332,downtrend,uptrend,1
2017-01-26,0.6621766163881302,0.07440014067412543,0.26342324293774444,downtrend,uptrend,1
2017-01-27,0.6885573497899817,0.05010932365097217,0.2613333265590461,downtrend,uptrend,1
2017-01-28,0.723371453722911,0.01777686355054635,0.25885168272654263,downtrend,uptrend,1
2017-01-29,0.6526991501180615,0.01892386502685315,0.32837698485508543,downtrend,uptrend,1
2017-01-30,0.5637198453209898,0.01921517925091713,0.417064975428093,downtrend,uptrend,1
2017-01-31,0.029194326700833502,0.0007110487828516546,0.9700946245163148,uptrend,uptrend,1
2017-02-01,0.012997754519295664,0.00027326727696014454,0.9867289782037443,uptrend,uptrend,1
2017-02-02,0.005707608827227648,0.00013616044718063115,0.9941562307255917,uptrend,uptrend,1
2017-02-03,0.002422942496112754,7.433489831880401e-05,0.9975027226055685,uptrend,uptrend,1
2017-02-04,0.002393104424378574,6.956282599753439e-05,0.9975373327496239,uptrend,uptrend,1
2017-02-05,0.009073317079492015,0.00011704904871039173,0.9908096338717975,uptrend,uptrend,1
2017-02-06,0.006886774353506306,4.2178989681283935e-05,0.9930710466568125,uptrend,uptrend,1
2017-02-07,0.003451946855721241,4.890478246830889e-05,0.9964991483618105,uptrend,uptrend,1
2017-02-08,0.004896102577819114,8.940953636936983e-05,0.9950144878858115,uptrend,uptrend,1
2017-02-09,0.2868758001899323,0.008921590982640401,0.7042026088274274,uptrend,uptrend,1
2017-02-10,0.6062213086504725,0.02607173675438661,0.36770695459514074,downtrend,uptrend,1
