date,P_downtrend,P_range,P_uptrend,pred_label,true_label,fold
2016-12-24,0.012931373968612103,0.0014285714285714286,0.9856400546028165,uptrend,uptrend,1
2016-12-25,0.011777032629473959,0.0014285714285714286,0.9867943959419545,uptrend,uptrend,1
2016-12-26,0.016184411308045342,0.0014285714285714286,0.9823870172633833,uptrend,uptrend,1
2016-12-27,0.03200114675354081,0.002857142857142857,0.9651417103893164,uptrend,uptrend,1
2016-12-28,0.03996055764763282,0.010190541332812194,0.9498489010195548,uptrend,uptrend,1
2016-12-29,0.02674356249132322,0.011428571428571429,0.9618278660801054,uptrend,uptrend,1
2016-12-30,0.09035879275685745,0.005807677175333967,0.9038335300678084,uptrend,uptrend,1
2016-12-31,0.08306392258965936,0.0002549732580050774,0.9166811041523353,uptrend,uptrend,1
2017-01-01,0.06270528749464382,0.0014285714285714286,0.9358661410767846,uptrend,uptrend,1
2017-01-02,0.06333366688635919,0.003047684189955052,0.9336186489236857,uptrend,uptrend,1
2017-01-03,0.0581727527423904,0.004285714285714286,0.9375415329718954,uptrend,uptrend,1
2017-01-04,0.03149335324953301,0.02142857142857143,0.9470780753218956,uptrend,range,1
2017-01-05,0.2571581746175488,0.3537552173896194,0.3890866079928316,uptrend,range,1
2017-01-06,0.29787131382231913,0.35877002470212505,0.34335866147555594,range,range,1
2017-01-07,0.1814388629642899,0.48362473154681523,0.33493640548889503,range,range,1
2017-01-08,0.15772746916679792,0.5653677496322698,0.2769047812009325,range,range,1
2017-01-09,0.18483230408230875,0.46986580712752324,0.34530188879016793,range,range,1
2017-01-10,0.3016099031725946,0.43110021592013387,0.26728988090727157,range,range,1
2017-01-11,0.1351104855898286,0.4571231539019325,0.4077663605082388,range,uptrend,1
2017-01-12,0.18470034379624328,0.37811796630435446,0.4371816898994022,uptrend,uptrend,1
2017-01-13,0.20394537577221059,0.3430871314250777,0.4529674928027118,uptrend,uptrend,1
2017-01-14,0.20005879689143816,0.3204378803741927,0.4795033227343693,uptrend,uptrend,1
2017-01-15,0.24591585902105323,0.3269728533146039,0.42711128766434275,uptrend,uptrend,1
2017-01-16,0.24490283067392699,0.31891454928242896,0.43618262004364405,uptrend,uptrend,1
2017-01-17,0.3095100589759724,0.3574786585693487,0.333011282454679,range,uptrend,1
2017-01-18,0.30124532488544,0.32636452792556475,0.3723901471889954,uptrend,uptrend,1
2017-01-19,0.44786173385159445,0.208101908757243,0.3440363573911627,downtrend,uptrend,1
2017-01-20,0.48078502359918196,0.1940336787170067,0.32518129768381165,downtrend,uptrend,1
2017-01-21,0.4415577729799186,0.16423060763553218,0.39421161938454935,downtrend,uptrend,1
2017-01-22,0.5042334520812954,0.160068323690026,0.33569822422867884,downtrend,uptrend,1
2017-01-23,0.5351602463800151,0.1288537613328598,0.3359859922871256,downtrend,uptrend,1
2017-01-24,0.4592277816768215,0.16526277700940056,0.37550944131377806,downtrend,uptrend,1
2017-01-25,0.5793720562731252,0.11989108333841689,0.30073686038845837,downtrend,uptrend,1
2017-01-26,0.5920070929241957,0.06846207255325933,0.3395308345225453,downtrend,uptrend,1
2017-01-27,0.5762532287367201,0.05006865335548844,0.37367811790779154,downtrend,uptrend,1
2017-01-28,0.5935817262677023,0.030796389661506534,0.3756218840707913,downtrend,uptrend,1
2017-01-29,0.6084591766916025,0.014856761892657581,0.37668406141573996,downtrend,uptrend,1
2017-01-30,0.5850684872657516,0.01332500801265888,0.4016065047215896,downtrend,uptrend,1
2017-01-31,0.23614190927687637,0.00010023113978040151,0.7637578595833435,uptrend,uptrend,1
2017-02-01,0.19432410692499177,0.00333118114746392,0.8023447119275444,uptrend,uptrend,1
2017-02-02,0.1601161595947169,0.0018615840118430794,0.8380222563934401,uptrend,uptrend,1
2017-02-03,0.15122289185148644,0.009085491904939218,0.8396916162435745,uptrend,uptrend,1
2017-02-04,0.129703878160792,0.011942634762082075,0.8583534870771262,uptrend,uptrend,1
2017-02-05,0.17523330458586894,0.007911481595124083,0.816855213819007,uptrend,uptrend,1
2017-02-06,0.13554884314854906,0.001968425228867481,0.8624827316225836,uptrend,uptrend,1
2017-02-07,0.1266161920271569,0.0033712061906535037,0.8700126017821898,uptrend,uptrend,1
2017-02-08,0.13558224741219532,0.0015354126455958302,0.8628823399422091,uptrend,uptrend,1
2017-02-09,0.48838065886807913,0.007735860932562175,0.5038834801993588,uptrend,uptrend,1
2017-02-10,0.6024943179140277,0.0028441275670495563,0.39466155451892315,downtrend,uptrend,1
2017-02-11,0.8102944652223953,0.0042334584701233975,0.18547207630748155,downtrend,uptrend,1
2017-02-12,0.8133342198387691,0.001958980998228535,0.18470679916300273,downtrend,uptrend,1
2017-02-13,0.8236210950329073,0.0026439384703158867,0.17373496649677783,downtrend,uptrend,1
2017-02-14,0.7449842846768583,0.0026202839633815973,0.25239543135976056,downtrend,uptrend,1
2017-02-15,0.7225308295604934,0.0015293454948735105,0.27593982494463376,downtrend,uptrend,1
2017-02-16,0.6493367979429178,0.002862750371747859,0.3478004516853347,downtrend,uptrend,1
2017-02-17,0.5289437068457775,0.005508855559442026,0.4655474375947809,downtrend,uptrend,1
2017-02-18,0.4015387757216287,0.002449287979383917,0.596011936298987,uptrend,uptrend,1
2017-02-19,0.35769717008179697,0.001374724708743023,0.6409281052094595,uptrend,uptrend,1
2017-02-20,0.06932884394798877,0.00048134563128566496,0.9301898104207253,uptrend,uptrend,1
2017-02-21,0.03839385526836416,8.10507502389959e-05,0.961525093981397,uptrend,uptrend,1
2017-02-22,0.04539018103745395,0.0002715920830511904,0.9543382268794949,uptrend,uptrend,1
2017-02-23,0.02825709664009473,0.0,0.9717429033599053,uptrend,uptrend,1
2017-02-24,0.034108424302759247,0.0014285714285714286,0.9644630042686694,uptrend,uptrend,1
2017-02-25,0.15189155428538179,0.000936590007055278,0.8471718557075629,uptrend,uptrend,1
2017-02-26,0.11454212303351745,0.0003614023357806965,0.8850964746307022,uptrend,uptrend,1
2017-02-27,0.06122588041076802,0.0002545611187562949,0.9385195584704757,uptrend,uptrend,1
2017-02-28,0.08725933141066111,0.00030496657735270335,0.9124357020119862,uptrend,uptrend,1
2017-03-01,0.06169964018407634,0.0,0.938300359815924,uptrend,uptrend,1
2017-03-02,0.09675949155648403,0.0014285714285714286,0.9018119370149446,uptrend,uptrend,1
2017-03-03,0.13133822802888906,0.007142857142857143,0.8615189148282538,uptrend,range,1
2017-03-04,0.15376530157794194,0.0029505343181911105,0.843284164103867,uptrend,range,1
2017-03-05,0.1605011211779916,0.0014930033537643116,0.838005875468244,uptrend,range,1
2017-03-06,0.11169444320290477,9.339146104825352e-05,0.888212165336047,uptrend,range,1
2017-03-07,0.38225968753493467,0.007227686753497132,0.6105126257115676,uptrend,range,1
