date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2019-01-26,0.36900588011472235,0.16225102517431125,0.46874309471096637,Buy,Sell,1
2019-01-27,0.274858993594137,0.6619775913120721,0.06316341509379089,Hold,Sell,1
2019-01-28,0.5374093768907456,0.0876163714938782,0.37497425161537606,Sell,Buy,1
2019-01-29,0.45313788240612884,0.09178157027070512,0.45508054732316605,Buy,Hold,1
2019-01-30,0.3481183632262631,0.2640860025140107,0.38779563425972613,Buy,Hold,1
2019-01-31,0.46514403807738014,0.19145376115444576,0.3434022007681741,Sell,Hold,1
2019-02-01,0.6602625927894328,0.1381810865204062,0.20155632069016088,Sell,Sell,1
2019-02-02,0.3416372373813459,0.08454519888724747,0.5738175637314067,Buy,Sell,1
2019-02-03,0.5205016439520288,0.07940290864633139,0.4000954474016399,Sell,Buy,1
2019-02-04,0.6121312926299309,0.13689401588546848,0.2509746914846006,Sell,Buy,1
2019-02-05,0.477654134109559,0.18960839833948945,0.3327374675509516,Sell,Buy,1
2019-02-06,0.29281113469380626,0.24580229958795918,0.46138656571823455,Buy,Buy,1
2019-02-07,0.09757550843931338,0.18849576433480786,0.7139287272258787,Buy,Buy,1
2019-02-08,0.9989719751633966,0.0003371561033408094,0.0006908687332623854,Sell,Hold,1
2019-02-09,0.06907454561875698,0.23619566130350586,0.6947297930777373,Buy,Sell,1
2019-02-10,0.12368822444376287,0.25390834861029377,0.6224034269459434,Buy,Sell,1
2019-02-11,0.2967004832794846,0.38385056963622255,0.31944894708429283,Hold,Hold,1
2019-02-12,0.6609825439872066,0.1815888139597351,0.15742864205305834,Sell,Hold,1
2019-02-13,0.1843053470200656,0.39869351631353006,0.41700113666640437,Buy,Buy,1
2019-02-14,0.01762089726003809,0.5433369372126442,0.4390421655273176,Hold,Buy,1
2019-02-15,0.007975102191851933,0.7053680481178224,0.28665684969032573,Hold,Buy,1
2019-02-16,0.04973695731694573,0.6276767481316676,0.32258629455138677,Hold,Buy,1
2019-02-17,0.8737959934539306,0.083938339716405,0.04226566682966444,Sell,Buy,1
2019-02-18,0.17854833276234755,0.45762859833534647,0.363823068902306,Hold,Buy,1
2019-02-19,0.11188086627971809,0.2481282987871432,0.6399908349331387,Buy,Sell,1
