date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2019-01-26,0.14348392,0.20651682,0.64999926,Buy,Sell,1
2019-01-27,0.15054971,0.3918694,0.45758083,Buy,Sell,1
2019-01-28,0.29046908,0.265249,0.44428194,Buy,Buy,1
2019-01-29,0.18566386,0.23923063,0.5751055,Buy,Hold,1
2019-01-30,0.12168317,0.27519917,0.60311764,Buy,Hold,1
2019-01-31,0.1329469,0.3462092,0.52084386,Buy,Hold,1
2019-02-01,0.0804135,0.3198104,0.59977615,Buy,Sell,1
2019-02-02,0.095237225,0.3159003,0.5888625,Buy,Sell,1
2019-02-03,0.053362597,0.3878395,0.55879796,Buy,Buy,1
2019-02-04,0.051259726,0.6693041,0.2794362,Hold,Buy,1
2019-02-05,0.13103756,0.3989846,0.46997783,Buy,Buy,1
2019-02-06,0.06832545,0.65097266,0.28070194,Hold,Buy,1
2019-02-07,0.1488836,0.4354608,0.4156556,Hold,Buy,1
2019-02-08,0.3369393,0.5904237,0.07263695,Hold,Hold,1
2019-02-09,0.65608233,0.2567685,0.087149106,Sell,Sell,1
2019-02-10,0.9379486,0.03404172,0.02800973,Sell,Sell,1
2019-02-11,0.27511826,0.60964096,0.11524077,Hold,Hold,1
2019-02-12,0.8571266,0.11444097,0.028432438,Sell,Hold,1
2019-02-13,0.60410345,0.34847698,0.04741954,Sell,Buy,1
2019-02-14,0.45967343,0.49784383,0.04248274,Hold,Buy,1
2019-02-15,0.6330591,0.33866668,0.028274214,Sell,Buy,1
2019-02-16,0.854373,0.124467924,0.021159075,Sell,Buy,1
2019-02-17,0.9041241,0.03087923,0.06499668,Sell,Buy,1
2019-02-18,0.17420064,0.101196654,0.7246027,Buy,Buy,1
2019-02-19,0.15445025,0.028034829,0.8175149,Buy,Sell,1
2019-02-20,0.14460775,0.010726478,0.84466577,Buy,Sell,1
2019-02-21,0.29266083,0.014692436,0.69264674,Buy,Sell,1
2019-02-22,0.27843806,0.008407366,0.7131546,Buy,Sell,1
2019-02-23,0.090868674,0.010664199,0.89846706,Buy,Sell,1
