date,P_Sell,P_Hold,P_Buy,P_Sell_cal,P_Hold_cal,P_Buy_cal,pred_label,pred_label_cal,true_label,fold
2019-01-26,0.5439257,0.020392891,0.43568137,0.41471356,0.26999283,0.3152936,Sell,Sell,Sell,1
2019-01-27,0.5384304,0.0414507,0.42011887,0.41471356,0.26999283,0.3152936,Sell,Sell,Sell,1
2019-01-28,0.44323045,0.061681185,0.4950883,0.41471356,0.26999283,0.3152936,Buy,Sell,Buy,1
2019-01-29,0.41361287,0.14155585,0.44483128,0.41471356,0.26999283,0.3152936,Buy,Sell,Hold,1
2019-01-30,0.35388052,0.04122972,0.60488975,0.41471356,0.26999283,0.3152936,Buy,Sell,Hold,1
2019-01-31,0.4255798,0.09011225,0.484308,0.41471356,0.26999283,0.3152936,Buy,Sell,Hold,1
2019-02-01,0.3178579,0.07047524,0.61166686,0.41471356,0.26999283,0.3152936,Buy,Sell,Sell,1
2019-02-02,0.23250316,0.03373615,0.73376065,0.41471356,0.26999283,0.3152936,Buy,Sell,Sell,1
2019-02-03,0.114151485,0.06932837,0.81652015,0.40079772,0.27641222,0.3227901,Buy,Sell,Buy,1
2019-02-04,0.08002173,0.15072532,0.76925296,0.40079772,0.27641222,0.3227901,Buy,Sell,Buy,1
2019-02-05,0.13684198,0.059918832,0.80323917,0.40079772,0.27641222,0.3227901,Buy,Sell,Buy,1
2019-02-06,0.21337222,0.26748666,0.51914114,0.41471356,0.26999283,0.3152936,Buy,Sell,Buy,1
2019-02-07,0.4744577,0.21949475,0.30604756,0.41471356,0.26999283,0.3152936,Sell,Sell,Buy,1
2019-02-08,0.2341112,0.3287959,0.4370929,0.41471356,0.26999283,0.3152936,Buy,Sell,Hold,1
2019-02-09,0.042351514,0.07964519,0.87800336,0.40079772,0.27641222,0.3227901,Buy,Sell,Sell,1
2019-02-10,0.0445795,0.01664749,0.938773,0.40079772,0.27641222,0.3227901,Buy,Sell,Sell,1
2019-02-11,0.010249961,0.01303083,0.97671926,0.40079772,0.27641222,0.3227901,Buy,Sell,Hold,1
2019-02-12,0.011146353,0.02201822,0.9668354,0.40079772,0.27641222,0.3227901,Buy,Sell,Hold,1
2019-02-13,0.007544583,0.0144130755,0.9780424,0.40079772,0.27641222,0.3227901,Buy,Sell,Buy,1
2019-02-14,0.0085418755,0.021060621,0.9703975,0.40079772,0.27641222,0.3227901,Buy,Sell,Buy,1
2019-02-15,0.007723621,0.01790313,0.9743732,0.40079772,0.27641222,0.3227901,Buy,Sell,Buy,1
2019-02-16,0.00878232,0.017097922,0.9741198,0.40079772,0.27641222,0.3227901,Buy,Sell,Buy,1
2019-02-17,0.01273441,0.025966773,0.9612988,0.40079772,0.27641222,0.3227901,Buy,Sell,Buy,1
2019-02-18,0.022545302,0.05260883,0.9248459,0.40079772,0.27641222,0.3227901,Buy,Sell,Buy,1
2019-02-19,0.018471181,0.016946258,0.96458256,0.40079772,0.27641222,0.3227901,Buy,Sell,Sell,1
2019-02-20,0.036779616,0.005589979,0.95763046,0.40079772,0.27641222,0.3227901,Buy,Sell,Sell,1
2019-02-21,0.014369498,0.0063123787,0.97931814,0.40079772,0.27641222,0.3227901,Buy,Sell,Sell,1
2019-02-22,0.027197486,0.0036482878,0.9691542,0.55390334,0.0,0.44609663,Buy,Sell,Sell,1
2019-02-23,0.026112841,0.008764437,0.9651227,0.40079772,0.27641222,0.3227901,Buy,Sell,Sell,1
2019-02-24,0.051619004,0.049177613,0.89920336,0.40079772,0.27641222,0.3227901,Buy,Sell,Hold,1
2019-02-25,0.09755435,0.12379025,0.7786554,0.40079772,0.27641222,0.3227901,Buy,Sell,Hold,1
2019-02-26,0.6840927,0.11032569,0.20558162,0.41471356,0.26999283,0.3152936,Sell,Sell,Hold,1
2019-02-27,0.5636374,0.14816059,0.288202,0.41471356,0.26999283,0.3152936,Sell,Sell,Sell,1
2019-02-28,0.44013086,0.31065804,0.2492111,0.41471356,0.26999283,0.3152936,Sell,Sell,Hold,1
2019-03-01,0.5138228,0.20247278,0.28370443,0.41471356,0.26999283,0.3152936,Sell,Sell,Hold,1
2019-03-02,0.5796802,0.14496818,0.27535164,0.41471356,0.26999283,0.3152936,Sell,Sell,Hold,1
2019-03-03,0.61867696,0.10813875,0.27318433,0.41471356,0.26999283,0.3152936,Sell,Sell,Buy,1
