date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2019-01-26,0.13086389,0.1453797,0.72375643,Buy,Sell,1
2019-01-27,0.15603338,0.28137964,0.56258696,Buy,Sell,1
2019-01-28,0.22726625,0.19664131,0.5760924,Buy,Buy,1
2019-01-29,0.13760807,0.16908993,0.693302,Buy,Hold,1
2019-01-30,0.08728017,0.19506186,0.7176579,Buy,Hold,1
2019-01-31,0.10239092,0.2794524,0.6181567,Buy,Hold,1
2019-02-01,0.066241905,0.22632685,0.70743126,Buy,Sell,1
2019-02-02,0.065003425,0.26284102,0.67215556,Buy,Sell,1
2019-02-03,0.045019384,0.34600765,0.608973,Buy,Buy,1
2019-02-04,0.051783085,0.6370188,0.31119817,Hold,Buy,1
2019-02-05,0.105779886,0.39711252,0.49710765,Buy,Buy,1
2019-02-06,0.041845698,0.6122963,0.34585798,Hold,Buy,1
2019-02-07,0.090549916,0.36786065,0.54158944,Buy,Buy,1
2019-02-08,0.35237607,0.5662654,0.081358515,Hold,Hold,1
2019-02-09,0.6093487,0.28296402,0.107687265,Sell,Sell,1
2019-02-10,0.9289607,0.03220202,0.038837273,Sell,Sell,1
2019-02-11,0.23175001,0.63403594,0.13421406,Hold,Hold,1
2019-02-12,0.8793683,0.08596132,0.034670353,Sell,Hold,1
2019-02-13,0.5136585,0.4201502,0.06619125,Sell,Buy,1
2019-02-14,0.40686432,0.54803663,0.045099054,Hold,Buy,1
2019-02-15,0.5610927,0.41412684,0.024780484,Sell,Buy,1
2019-02-16,0.8758709,0.108266115,0.015862998,Sell,Buy,1
2019-02-17,0.9319548,0.021147007,0.046898246,Sell,Buy,1
2019-02-18,0.18691157,0.09375559,0.7193329,Buy,Buy,1
2019-02-19,0.14612629,0.036477454,0.8173962,Buy,Sell,1
2019-02-20,0.16124584,0.010545981,0.82820815,Buy,Sell,1
2019-02-21,0.32688946,0.016595999,0.6565145,Buy,Sell,1
2019-02-22,0.3281698,0.0077995965,0.6640306,Buy,Sell,1
2019-02-23,0.09201663,0.010899153,0.89708424,Buy,Sell,1
2019-02-24,0.41667473,0.16054745,0.42277786,Buy,Hold,1
2019-02-25,0.20316498,0.17711851,0.6197165,Buy,Hold,1
2019-02-26,0.69549596,0.123254575,0.18124941,Sell,Hold,1
2019-02-27,0.66949964,0.14281803,0.1876823,Sell,Sell,1
2019-02-28,0.59669805,0.18878278,0.21451913,Sell,Hold,1
2019-03-01,0.6335669,0.16501774,0.20141535,Sell,Hold,1
2019-03-02,0.6069252,0.16002029,0.2330545,Sell,Hold,1
2019-03-03,0.69144857,0.114595115,0.19395629,Sell,Buy,1
2019-03-04,0.34215823,0.3300907,0.32775107,Sell,Buy,1
2019-03-05,0.70573914,0.15233186,0.14192899,Sell,Buy,1
2019-03-06,0.7796538,0.10107067,0.11927548,Sell,Hold,1
2019-03-07,0.76030505,0.103762396,0.13593256,Sell,Hold,1
2019-03-08,0.78766096,0.109115355,0.10322373,Sell,Hold,1
2019-03-09,0.5660615,0.3480568,0.0858817,Sell,Hold,1
2019-03-10,0.62657034,0.25368243,0.11974729,Sell,Hold,1
2019-03-11,0.2851068,0.60699594,0.10789724,Hold,Buy,1
2019-03-12,0.29702967,0.6022094,0.100761,Hold,Buy,1
2019-03-13,0.14663312,0.6492423,0.2041246,Hold,Buy,1
2019-03-14,0.15853676,0.4066693,0.43479398,Buy,Buy,1
2019-03-15,0.15976796,0.40584925,0.43438277,Buy,Buy,1
2019-03-16,0.16859967,0.14333522,0.68806505,Buy,Hold,1
2019-03-17,0.6546562,0.06338468,0.28195915,Sell,Hold,1
2019-03-18,0.57390183,0.066130385,0.35996777,Sell,Hold,1
2019-03-19,0.6659974,0.105812274,0.22819035,Sell,Sell,1
2019-03-20,0.5905527,0.058140337,0.35130697,Sell,Sell,1
2019-03-21,0.4439783,0.2309593,0.32506242,Sell,Sell,1
2019-03-22,0.37207648,0.368454,0.2594695,Sell,Buy,1
2019-03-23,0.23317872,0.19040981,0.5764114,Buy,Buy,1
2019-03-24,0.03346665,0.02188535,0.94464797,Buy,Buy,1
2019-03-25,0.048986558,0.4844661,0.4665473,Hold,Buy,1
2019-03-26,0.12207157,0.4142245,0.46370396,Buy,Buy,1
2019-03-27,0.08441898,0.09198253,0.8235985,Buy,Buy,1
2019-03-28,0.05889256,0.18688554,0.75422186,Buy,Buy,1
2019-03-29,0.39326543,0.21236776,0.3943668,Buy,Buy,1
2019-03-30,0.2160717,0.099622354,0.68430597,Buy,Buy,1
2019-03-31,0.35947523,0.045375593,0.5951492,Buy,Buy,1
2019-04-01,0.14768569,0.041427407,0.8108869,Buy,Buy,1
2019-04-02,0.49102274,0.38406274,0.12491456,Sell,Buy,1
2019-04-03,0.51946723,0.3837189,0.09681392,Sell,Buy,1
2019-04-04,0.6002461,0.06904516,0.33070877,Sell,Buy,1
2019-04-05,0.5539924,0.061896835,0.38411075,Sell,Buy,1
2019-04-06,0.80762464,0.026590556,0.1657848,Sell,Hold,1
2019-04-07,0.93757224,0.0077627497,0.05466503,Sell,Sell,1
2019-04-08,0.96193326,0.004789768,0.033277016,Sell,Sell,1
2019-04-09,0.95036125,0.014406341,0.035232347,Sell,Hold,1
2019-04-10,0.90385133,0.015390784,0.08075792,Sell,Sell,1
2019-04-11,0.65872705,0.033782654,0.30749035,Sell,Buy,1
2019-04-12,0.6271357,0.0325469,0.34031743,Sell,Buy,1
2019-04-13,0.36396772,0.020137403,0.6158949,Buy,Buy,1
2019-04-14,0.33700892,0.01667292,0.64631814,Buy,Buy,1
2019-04-15,0.25988913,0.07523045,0.6648804,Buy,Buy,1
2019-04-16,0.35472196,0.039161425,0.6061166,Buy,Hold,1
2019-04-17,0.3349223,0.033820715,0.631257,Buy,Buy,1
2019-04-18,0.43147585,0.03947369,0.52905047,Buy,Buy,1
