date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2019-01-26,0.4084351,0.4405879,0.15097696,Hold,Sell,1
2019-01-27,0.12403647,0.7528611,0.12310246,Hold,Sell,1
2019-01-28,0.045850217,0.8982034,0.055946402,Hold,Buy,1
2019-01-29,0.15636766,0.7747514,0.06888091,Hold,Hold,1
2019-01-30,0.034956563,0.8475211,0.1175223,Hold,Hold,1
2019-01-31,0.10402514,0.8032369,0.09273798,Hold,Hold,1
2019-02-01,0.032352507,0.92996335,0.037684146,Hold,Sell,1
2019-02-02,0.18312757,0.649316,0.1675564,Hold,Sell,1
2019-02-03,0.2473849,0.6237515,0.12886356,Hold,Buy,1
2019-02-04,0.19276495,0.72780335,0.07943171,Hold,Buy,1
2019-02-05,0.2831664,0.054317866,0.66251576,Buy,Buy,1
2019-02-06,0.023609301,0.24987938,0.72651136,Buy,Buy,1
2019-02-07,0.03325725,0.04383082,0.92291194,Buy,Buy,1
2019-02-08,0.5605316,0.18253598,0.2569324,Sell,Hold,1
2019-02-09,0.09973924,0.19569649,0.7045643,Buy,Sell,1
2019-02-10,0.8024213,0.026594939,0.17098385,Sell,Sell,1
2019-02-11,0.029676944,0.4760226,0.4943004,Buy,Hold,1
2019-02-12,0.42248026,0.152132,0.4253877,Buy,Hold,1
2019-02-13,0.046572827,0.5210572,0.43236995,Hold,Buy,1
2019-02-14,0.027790226,0.6579086,0.31430113,Hold,Buy,1
2019-02-15,0.042491764,0.5217503,0.43575794,Hold,Buy,1
2019-02-16,0.64620405,0.21593049,0.13786544,Sell,Buy,1
2019-02-17,0.90229326,0.0198139,0.07789286,Sell,Buy,1
2019-02-18,0.7614946,0.10871506,0.1297904,Sell,Buy,1
2019-02-19,0.88075304,0.04386611,0.07538088,Sell,Sell,1
2019-02-20,0.9467361,0.007972662,0.045291305,Sell,Sell,1
2019-02-21,0.95577264,0.0012415048,0.042985912,Sell,Sell,1
2019-02-22,0.9777566,0.00047762788,0.021765793,Sell,Sell,1
2019-02-23,0.8425685,0.035100777,0.12233074,Sell,Sell,1
2019-02-24,0.6913394,0.043534417,0.26512623,Sell,Hold,1
2019-02-25,0.1610687,0.042647727,0.7962836,Buy,Hold,1
2019-02-26,0.13566023,0.018673494,0.8456663,Buy,Hold,1
2019-02-27,0.06556541,0.025557106,0.90887743,Buy,Sell,1
2019-02-28,0.09102187,0.117681436,0.79129666,Buy,Hold,1
2019-03-01,0.26359177,0.038790364,0.6976179,Buy,Hold,1
2019-03-02,0.21015751,0.06990112,0.7199413,Buy,Hold,1
2019-03-03,0.8407632,0.009915212,0.14932154,Sell,Buy,1
2019-03-04,0.43708912,0.17911243,0.3837985,Sell,Buy,1
2019-03-05,0.29749402,0.021690832,0.68081516,Buy,Buy,1
2019-03-06,0.14359808,0.0106892595,0.84571266,Buy,Hold,1
2019-03-07,0.06369044,0.0062212544,0.93008834,Buy,Hold,1
2019-03-08,0.41521925,0.023078814,0.5617019,Buy,Hold,1
2019-03-09,0.15882765,0.38987598,0.4512964,Buy,Hold,1
2019-03-10,0.37472123,0.15513802,0.47014073,Buy,Hold,1
2019-03-11,0.22379735,0.6410773,0.13512531,Hold,Buy,1
2019-03-12,0.26065943,0.6489633,0.09037729,Hold,Buy,1
2019-03-13,0.42838696,0.2701828,0.30143028,Sell,Buy,1
2019-03-14,0.095883586,0.06437889,0.8397375,Buy,Buy,1
2019-03-15,0.1793229,0.34617087,0.4745062,Buy,Buy,1
