date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2019-01-26,0.11909598,0.102376655,0.7785273,Buy,Sell,1
2019-01-27,0.1834083,0.15258256,0.66400915,Buy,Sell,1
2019-01-28,0.28519773,0.07392283,0.64087945,Buy,Buy,1
2019-01-29,0.14920446,0.06726266,0.78353286,Buy,Hold,1
2019-01-30,0.08686338,0.079887465,0.8332491,Buy,Hold,1
2019-01-31,0.11675712,0.094762124,0.78848076,Buy,Hold,1
2019-02-01,0.072073266,0.11392431,0.81400245,Buy,Sell,1
2019-02-02,0.094203986,0.19756983,0.7082262,Buy,Sell,1
2019-02-03,0.058272902,0.19961102,0.7421161,Buy,Buy,1
2019-02-04,0.057828628,0.50497997,0.4371914,Hold,Buy,1
2019-02-05,0.038066044,0.4456076,0.51632637,Buy,Buy,1
2019-02-06,0.02953391,0.70467377,0.26579228,Hold,Buy,1
2019-02-07,0.060845792,0.3082557,0.63089854,Buy,Buy,1
2019-02-08,0.21630092,0.5637538,0.21994531,Hold,Hold,1
2019-02-09,0.4159055,0.35852495,0.22556947,Sell,Sell,1
2019-02-10,0.7572839,0.13040018,0.11231594,Sell,Sell,1
2019-02-11,0.2089857,0.61461085,0.17640351,Hold,Hold,1
2019-02-12,0.73093015,0.19275682,0.07631309,Sell,Hold,1
2019-02-13,0.43866825,0.46794388,0.09338783,Hold,Buy,1
2019-02-14,0.38806927,0.5434005,0.06853019,Hold,Buy,1
2019-02-15,0.5228606,0.4229961,0.054143313,Sell,Buy,1
2019-02-16,0.7935875,0.17213514,0.034277387,Sell,Buy,1
2019-02-17,0.8701306,0.04265818,0.08721124,Sell,Buy,1
2019-02-18,0.06831038,0.09356322,0.8381264,Buy,Buy,1
2019-02-19,0.07865959,0.042054635,0.8792858,Buy,Sell,1
2019-02-20,0.091043755,0.019812683,0.8891436,Buy,Sell,1
2019-02-21,0.18725993,0.027389267,0.78535074,Buy,Sell,1
2019-02-22,0.19779569,0.021970013,0.7802343,Buy,Sell,1
2019-02-23,0.07600216,0.019139944,0.9048579,Buy,Sell,1
2019-02-24,0.34564027,0.28853467,0.36582506,Buy,Hold,1
2019-02-25,0.16948093,0.31972468,0.5107944,Buy,Hold,1
2019-02-26,0.51872855,0.22817123,0.25310022,Sell,Hold,1
2019-02-27,0.40988535,0.27477798,0.31533664,Sell,Sell,1
2019-02-28,0.31207356,0.26674998,0.42117643,Buy,Hold,1
2019-03-01,0.35046172,0.21330647,0.43623188,Buy,Hold,1
2019-03-02,0.2832656,0.17991975,0.5368147,Buy,Hold,1
2019-03-03,0.35991868,0.13695067,0.5031306,Buy,Buy,1
2019-03-04,0.24053568,0.40437165,0.3550927,Hold,Buy,1
2019-03-05,0.38515893,0.22033261,0.39450842,Buy,Buy,1
2019-03-06,0.44850567,0.18747737,0.36401695,Sell,Hold,1
2019-03-07,0.42779315,0.18479821,0.38740864,Sell,Hold,1
2019-03-08,0.41753197,0.25294212,0.32952586,Sell,Hold,1
2019-03-09,0.28115588,0.41667262,0.30217153,Hold,Hold,1
2019-03-10,0.50457114,0.20158754,0.29384136,Sell,Hold,1
2019-03-11,0.2411928,0.54316324,0.21564399,Hold,Buy,1
2019-03-12,0.2114461,0.5618037,0.22675021,Hold,Buy,1
2019-03-13,0.15517712,0.5993257,0.24549717,Hold,Buy,1
2019-03-14,0.21021703,0.3175868,0.47219616,Buy,Buy,1
2019-03-15,0.16109267,0.3358637,0.50304365,Buy,Buy,1
2019-03-16,0.14128323,0.11498303,0.74373376,Buy,Hold,1
2019-03-17,0.6676318,0.084188364,0.24817987,Sell,Hold,1
2019-03-18,0.5266563,0.059692323,0.41365135,Sell,Hold,1
2019-03-19,0.6181806,0.075428315,0.30639106,Sell,Sell,1
2019-03-20,0.5442892,0.06555598,0.39015484,Sell,Sell,1
2019-03-21,0.67674625,0.14962766,0.17362611,Sell,Sell,1
2019-03-22,0.6677872,0.20474051,0.12747224,Sell,Buy,1
2019-03-23,0.5685597,0.18716176,0.24427857,Sell,Buy,1
2019-03-24,0.17221552,0.07670204,0.7510825,Buy,Buy,1
2019-03-25,0.23172615,0.50137365,0.2669002,Hold,Buy,1
2019-03-26,0.38208818,0.33173513,0.28617665,Sell,Buy,1
2019-03-27,0.14782356,0.122000895,0.73017555,Buy,Buy,1
2019-03-28,0.18313195,0.19469208,0.62217593,Buy,Buy,1
2019-03-29,0.5999025,0.14025652,0.259841,Sell,Buy,1
2019-03-30,0.3161907,0.09003302,0.5937763,Buy,Buy,1
2019-03-31,0.5308054,0.06877396,0.40042058,Sell,Buy,1
2019-04-01,0.13789418,0.033794865,0.8283109,Buy,Buy,1
2019-04-02,0.3541135,0.46101594,0.18487056,Hold,Buy,1
2019-04-03,0.41780064,0.4289806,0.15321879,Hold,Buy,1
2019-04-04,0.5112226,0.10485162,0.38392583,Sell,Buy,1
2019-04-05,0.34295928,0.122094035,0.53494674,Buy,Buy,1
2019-04-06,0.5045773,0.07364902,0.42177376,Sell,Hold,1
2019-04-07,0.83985436,0.028348166,0.13179752,Sell,Sell,1
2019-04-08,0.85037583,0.0213819,0.12824231,Sell,Sell,1
2019-04-09,0.84202874,0.029908262,0.12806295,Sell,Hold,1
2019-04-10,0.81949437,0.030051444,0.15045425,Sell,Sell,1
2019-04-11,0.46961215,0.032665443,0.49772245,Buy,Buy,1
2019-04-12,0.33261505,0.030700346,0.63668466,Buy,Buy,1
2019-04-13,0.28273824,0.021585857,0.6956759,Buy,Buy,1
2019-04-14,0.24496391,0.018993082,0.736043,Buy,Buy,1
2019-04-15,0.19249426,0.053240523,0.7542652,Buy,Buy,1
2019-04-16,0.22144593,0.034074377,0.74447966,Buy,Hold,1
2019-04-17,0.19870529,0.02845564,0.77283907,Buy,Buy,1
2019-04-18,0.27349082,0.03129505,0.69521415,Buy,Buy,1
2019-04-19,0.28000608,0.036832836,0.6831611,Buy,Buy,1
2019-04-20,0.20627043,0.035279986,0.7584496,Buy,Sell,1
2019-04-21,0.25762746,0.045159895,0.69721264,Buy,Hold,1
2019-04-22,0.5469741,0.08172356,0.3713023,Sell,Sell,1
2019-04-23,0.41616064,0.07971669,0.5041227,Buy,Sell,1
2019-04-24,0.36590582,0.06405672,0.5700374,Buy,Sell,1
2019-04-25,0.4668107,0.19544286,0.3377464,Sell,Buy,1
2019-04-26,0.36115298,0.13595192,0.5028951,Buy,Buy,1
