date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2019-01-26,0.19830638,0.31131923,0.49037433,Buy,Sell,1
2019-01-27,0.21013068,0.41904667,0.3708226,Hold,Sell,1
2019-01-28,0.32268783,0.28393912,0.39337298,Buy,Buy,1
2019-01-29,0.2736046,0.26357445,0.46282098,Buy,Hold,1
2019-01-30,0.18047214,0.362536,0.45699185,Buy,Hold,1
2019-01-31,0.21663803,0.3533304,0.43003163,Buy,Hold,1
2019-02-01,0.15201557,0.4054486,0.44253582,Buy,Sell,1
2019-02-02,0.17040555,0.3765486,0.45304585,Buy,Sell,1
2019-02-03,0.13473836,0.38496202,0.48029965,Buy,Buy,1
2019-02-04,0.12505402,0.6294367,0.24550934,Hold,Buy,1
2019-02-05,0.15867123,0.3352904,0.50603837,Buy,Buy,1
2019-02-06,0.12973715,0.6139071,0.2563558,Hold,Buy,1
2019-02-07,0.21409298,0.3045306,0.4813764,Buy,Buy,1
2019-02-08,0.27053607,0.47562978,0.25383413,Hold,Hold,1
2019-02-09,0.43410692,0.27540278,0.2904903,Sell,Sell,1
2019-02-10,0.70941144,0.10271439,0.18787418,Sell,Sell,1
2019-02-11,0.24442445,0.47075272,0.28482285,Hold,Hold,1
2019-02-12,0.6461576,0.18155389,0.17228854,Sell,Hold,1
2019-02-13,0.46490535,0.35648885,0.17860577,Sell,Buy,1
2019-02-14,0.4150511,0.45478132,0.1301676,Hold,Buy,1
2019-02-15,0.48901317,0.37841624,0.13257067,Sell,Buy,1
2019-02-16,0.6838287,0.1704438,0.14572752,Sell,Buy,1
2019-02-17,0.6953969,0.06443607,0.24016702,Sell,Buy,1
2019-02-18,0.1668107,0.14855556,0.6846338,Buy,Buy,1
2019-02-19,0.1713093,0.05631637,0.7723743,Buy,Sell,1
2019-02-20,0.14890885,0.028301205,0.8227899,Buy,Sell,1
2019-02-21,0.26178893,0.03173573,0.7064754,Buy,Sell,1
2019-02-22,0.27091235,0.026885485,0.70220214,Buy,Sell,1
2019-02-23,0.13673371,0.030044096,0.8332222,Buy,Sell,1
2019-02-24,0.3668444,0.19627911,0.4368765,Buy,Hold,1
2019-02-25,0.28082684,0.20188208,0.51729107,Buy,Hold,1
2019-02-26,0.630846,0.17407334,0.19508065,Sell,Hold,1
2019-02-27,0.5505732,0.22329557,0.2261312,Sell,Sell,1
2019-02-28,0.45492557,0.2765572,0.26851726,Sell,Hold,1
2019-03-01,0.5439801,0.18980461,0.26621526,Sell,Hold,1
2019-03-02,0.4863865,0.19252281,0.32109064,Sell,Hold,1
2019-03-03,0.5356333,0.15366675,0.3106999,Sell,Buy,1
2019-03-04,0.4556949,0.26923418,0.27507094,Sell,Buy,1
2019-03-05,0.5276371,0.22956078,0.24280214,Sell,Buy,1
2019-03-06,0.5858273,0.19022043,0.2239523,Sell,Hold,1
2019-03-07,0.55938673,0.18699229,0.25362098,Sell,Hold,1
2019-03-08,0.5831825,0.20358472,0.21323279,Sell,Hold,1
2019-03-09,0.4666423,0.30749828,0.22585939,Sell,Hold,1
2019-03-10,0.47575638,0.2760651,0.24817853,Sell,Hold,1
2019-03-11,0.28435525,0.548953,0.16669177,Hold,Buy,1
2019-03-12,0.2901589,0.52440333,0.18543774,Hold,Buy,1
2019-03-13,0.21079212,0.56193537,0.22727251,Hold,Buy,1
2019-03-14,0.19796877,0.41209114,0.38994008,Hold,Buy,1
2019-03-15,0.18194282,0.36652175,0.45153537,Buy,Buy,1
2019-03-16,0.20459192,0.091428645,0.70397943,Buy,Hold,1
2019-03-17,0.41066962,0.09618448,0.4931459,Buy,Hold,1
2019-03-18,0.44058913,0.07774837,0.48166245,Buy,Hold,1
2019-03-19,0.54064435,0.08009853,0.3792571,Sell,Sell,1
2019-03-20,0.45501718,0.06983978,0.47514302,Buy,Sell,1
2019-03-21,0.42102516,0.1958274,0.38314748,Sell,Sell,1
2019-03-22,0.3993379,0.21890663,0.3817555,Sell,Buy,1
2019-03-23,0.27173164,0.15125927,0.5770091,Buy,Buy,1
2019-03-24,0.1078984,0.10694707,0.7851545,Buy,Buy,1
2019-03-25,0.17117356,0.492301,0.3365254,Hold,Buy,1
2019-03-26,0.27825022,0.35483444,0.36691532,Buy,Buy,1
2019-03-27,0.156049,0.14654978,0.6974012,Buy,Buy,1
2019-03-28,0.14713123,0.24395947,0.60890925,Buy,Buy,1
2019-03-29,0.3561568,0.16498181,0.47886142,Buy,Buy,1
2019-03-30,0.25344256,0.091463,0.65509444,Buy,Buy,1
2019-03-31,0.3220059,0.06463928,0.6133548,Buy,Buy,1
2019-04-01,0.16689862,0.046689108,0.7864123,Buy,Buy,1
2019-04-02,0.4693002,0.33002704,0.20067278,Sell,Buy,1
2019-04-03,0.49259928,0.38535622,0.12204455,Sell,Buy,1
2019-04-04,0.58603764,0.101407595,0.31255478,Sell,Buy,1
2019-04-05,0.41340318,0.1101733,0.47642347,Buy,Buy,1
2019-04-06,0.62982947,0.06998041,0.3001901,Sell,Hold,1
2019-04-07,0.84675413,0.033181157,0.12006467,Sell,Sell,1
2019-04-08,0.8775231,0.023421513,0.09905534,Sell,Sell,1
2019-04-09,0.88487035,0.033073388,0.082056314,Sell,Hold,1
2019-04-10,0.8452646,0.03367393,0.121061474,Sell,Sell,1
2019-04-11,0.56387115,0.05993538,0.37619346,Sell,Buy,1
2019-04-12,0.47809032,0.06774122,0.45416844,Sell,Buy,1
2019-04-13,0.3703308,0.0603393,0.56932986,Buy,Buy,1
2019-04-14,0.32168657,0.05007655,0.62823683,Buy,Buy,1
2019-04-15,0.26129448,0.10611086,0.6325946,Buy,Buy,1
2019-04-16,0.32506534,0.085068114,0.5898665,Buy,Hold,1
2019-04-17,0.3142937,0.07467422,0.61103207,Buy,Buy,1
2019-04-18,0.39169365,0.084417835,0.5238885,Buy,Buy,1
2019-04-19,0.37309328,0.0877065,0.5392002,Buy,Buy,1
2019-04-20,0.3980557,0.08543793,0.5165064,Buy,Sell,1
2019-04-21,0.37261406,0.08617211,0.5412138,Buy,Hold,1
2019-04-22,0.59951377,0.083184674,0.31730157,Sell,Sell,1
2019-04-23,0.4207453,0.07984599,0.4994087,Buy,Sell,1
2019-04-24,0.38665462,0.089127615,0.5242178,Buy,Sell,1
2019-04-25,0.50692356,0.21303368,0.28004274,Sell,Buy,1
2019-04-26,0.43455887,0.18752111,0.37792003,Sell,Buy,1
2019-04-27,0.5876966,0.14591417,0.26638922,Sell,Buy,1
2019-04-28,0.5672952,0.16661702,0.26608783,Sell,Buy,1
2019-04-29,0.5901268,0.20885776,0.2010154,Sell,Buy,1
2019-04-30,0.47003365,0.16301927,0.36694708,Sell,Buy,1
2019-05-01,0.40523955,0.152249,0.44251144,Buy,Buy,1
2019-05-02,0.41671085,0.12646607,0.4568231,Buy,Buy,1
2019-05-03,0.42851326,0.18650132,0.38498542,Sell,Buy,1
2019-05-04,0.44501323,0.091953225,0.4630336,Buy,Buy,1
2019-05-05,0.5275886,0.04496746,0.4274439,Sell,Buy,1
2019-05-06,0.59866077,0.047978893,0.35336038,Sell,Buy,1
2019-05-07,0.56056035,0.052592553,0.38684714,Sell,Buy,1
2019-05-08,0.47664416,0.036333635,0.48702222,Buy,Buy,1
2019-05-09,0.54532677,0.042111747,0.41256148,Sell,Buy,1
2019-05-10,0.57718873,0.06808363,0.35472763,Sell,Buy,1
2019-05-11,0.2942704,0.6236155,0.08211412,Hold,Buy,1
2019-05-12,0.39708155,0.19950452,0.40341395,Buy,Buy,1
2019-05-13,0.71607095,0.15684515,0.12708391,Sell,Sell,1
2019-05-14,0.7374998,0.1354387,0.12706155,Sell,Buy,1
2019-05-15,0.7418497,0.12612304,0.13202727,Sell,Sell,1
2019-05-16,0.803398,0.08457544,0.11202659,Sell,Hold,1
2019-05-17,0.62441003,0.20495875,0.17063116,Sell,Buy,1
2019-05-18,0.7056789,0.1366631,0.15765809,Sell,Buy,1
2019-05-19,0.85488623,0.056102138,0.08901159,Sell,Hold,1
2019-05-20,0.7643262,0.08667747,0.14899634,Sell,Hold,1
