date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2019-01-26,0.37452292,0.3493454,0.2761317,Sell,Sell,1
2019-01-27,0.27956945,0.45742324,0.2630073,Hold,Sell,1
2019-01-28,0.224409,0.455937,0.319654,Hold,Buy,1
2019-01-29,0.2689949,0.41591722,0.31508785,Hold,Hold,1
2019-01-30,0.23834114,0.40431586,0.35734296,Hold,Hold,1
2019-01-31,0.2450472,0.41071096,0.34424183,Hold,Hold,1
2019-02-01,0.2267204,0.4897251,0.2835545,Hold,Sell,1
2019-02-02,0.19610022,0.5217196,0.28218022,Hold,Sell,1
2019-02-03,0.17596668,0.50486857,0.31916472,Hold,Buy,1
2019-02-04,0.13929953,0.5679959,0.29270458,Hold,Buy,1
2019-02-05,0.26039332,0.45265326,0.28695348,Hold,Buy,1
2019-02-06,0.08867784,0.6902222,0.22109994,Hold,Buy,1
2019-02-07,0.16707179,0.5448163,0.2881119,Hold,Buy,1
2019-02-08,0.26955304,0.531863,0.19858393,Hold,Hold,1
2019-02-09,0.2804321,0.49353132,0.22603655,Hold,Sell,1
2019-02-10,0.4918609,0.28161272,0.22652641,Sell,Sell,1
2019-02-11,0.24193974,0.48682037,0.27123985,Hold,Hold,1
2019-02-12,0.49034452,0.28754354,0.22211201,Sell,Hold,1
2019-02-13,0.31443715,0.4524469,0.23311591,Hold,Buy,1
2019-02-14,0.281811,0.52470034,0.19348866,Hold,Buy,1
2019-02-15,0.30484286,0.5147399,0.18041727,Hold,Buy,1
2019-02-16,0.4883317,0.3062728,0.20539549,Sell,Buy,1
2019-02-17,0.5560067,0.14113142,0.30286187,Sell,Buy,1
2019-02-18,0.27993757,0.090986654,0.62907577,Buy,Buy,1
2019-02-19,0.29202786,0.097250395,0.6107217,Buy,Sell,1
2019-02-20,0.29643935,0.088834755,0.6147258,Buy,Sell,1
2019-02-21,0.3442345,0.042400707,0.6133648,Buy,Sell,1
2019-02-22,0.37153736,0.040906623,0.587556,Buy,Sell,1
2019-02-23,0.2574817,0.10020819,0.6423101,Buy,Sell,1
2019-02-24,0.4039358,0.22307916,0.37298504,Sell,Hold,1
2019-02-25,0.36105895,0.22555214,0.41338888,Buy,Hold,1
2019-02-26,0.6025356,0.1782737,0.21919069,Sell,Hold,1
2019-02-27,0.55918664,0.19433928,0.24647404,Sell,Sell,1
2019-02-28,0.5057323,0.26260516,0.23166253,Sell,Hold,1
2019-03-01,0.5739624,0.2013571,0.22468051,Sell,Hold,1
2019-03-02,0.54914284,0.21422465,0.23663253,Sell,Hold,1
2019-03-03,0.6027658,0.20373063,0.19350359,Sell,Buy,1
2019-03-04,0.3051539,0.4939506,0.20089547,Hold,Buy,1
2019-03-05,0.4841089,0.31066215,0.20522888,Sell,Buy,1
2019-03-06,0.52188396,0.25287896,0.22523709,Sell,Hold,1
2019-03-07,0.4990163,0.26454154,0.23644218,Sell,Hold,1
2019-03-08,0.5227781,0.28718948,0.19003242,Sell,Hold,1
2019-03-09,0.40153688,0.37227598,0.22618714,Sell,Hold,1
2019-03-10,0.41246852,0.28777415,0.2997573,Sell,Hold,1
2019-03-11,0.21930479,0.520637,0.26005825,Hold,Buy,1
2019-03-12,0.23085311,0.497503,0.27164385,Hold,Buy,1
2019-03-13,0.151223,0.5759111,0.2728659,Hold,Buy,1
2019-03-14,0.16789305,0.38123342,0.45087355,Buy,Buy,1
2019-03-15,0.1951315,0.39628053,0.40858793,Buy,Buy,1
2019-03-16,0.2060618,0.14243002,0.65150815,Buy,Hold,1
2019-03-17,0.3382191,0.15968645,0.50209445,Buy,Hold,1
2019-03-18,0.38173687,0.10877137,0.5094918,Buy,Hold,1
2019-03-19,0.45055836,0.13210894,0.41733274,Sell,Sell,1
2019-03-20,0.4156194,0.108602606,0.47577798,Buy,Sell,1
2019-03-21,0.39328012,0.2094257,0.39729416,Buy,Sell,1
2019-03-22,0.40805766,0.2539628,0.33797947,Sell,Buy,1
2019-03-23,0.2933551,0.16395056,0.54269433,Buy,Buy,1
2019-03-24,0.20116696,0.11555194,0.6832811,Buy,Buy,1
2019-03-25,0.12405724,0.45994136,0.41600138,Hold,Buy,1
2019-03-26,0.19710554,0.35809028,0.44480422,Buy,Buy,1
2019-03-27,0.26237515,0.19927615,0.5383487,Buy,Buy,1
2019-03-28,0.32914495,0.17910697,0.4917481,Buy,Buy,1
2019-03-29,0.37202048,0.21701728,0.41096228,Buy,Buy,1
2019-03-30,0.3046598,0.1271119,0.56822824,Buy,Buy,1
2019-03-31,0.40768188,0.07373922,0.5185789,Buy,Buy,1
2019-04-01,0.2125696,0.07543282,0.71199757,Buy,Buy,1
2019-04-02,0.5447932,0.18071172,0.2744951,Sell,Buy,1
2019-04-03,0.57052135,0.18862723,0.24085137,Sell,Buy,1
2019-04-04,0.42094833,0.19647063,0.38258103,Sell,Buy,1
2019-04-05,0.35505366,0.14804536,0.49690095,Buy,Buy,1
2019-04-06,0.456655,0.14972027,0.3936247,Sell,Hold,1
2019-04-07,0.67288744,0.09937798,0.22773455,Sell,Sell,1
2019-04-08,0.7422845,0.07897186,0.17874363,Sell,Sell,1
2019-04-09,0.8140752,0.06599045,0.11993442,Sell,Hold,1
2019-04-10,0.7940054,0.06448806,0.14150658,Sell,Sell,1
2019-04-11,0.47383633,0.08296176,0.4432019,Sell,Buy,1
2019-04-12,0.43974024,0.08123829,0.4790215,Buy,Buy,1
2019-04-13,0.39227214,0.067270264,0.54045755,Buy,Buy,1
2019-04-14,0.35626101,0.06742245,0.57631654,Buy,Buy,1
2019-04-15,0.295756,0.11885319,0.5853908,Buy,Buy,1
2019-04-16,0.33767116,0.085601985,0.57672685,Buy,Hold,1
2019-04-17,0.35320935,0.07359659,0.5731941,Buy,Buy,1
2019-04-18,0.41650274,0.07530535,0.5081919,Buy,Buy,1
2019-04-19,0.4018561,0.077863134,0.5202808,Buy,Buy,1
2019-04-20,0.42451155,0.08021832,0.4952702,Buy,Sell,1
2019-04-21,0.43939218,0.082610965,0.47799683,Buy,Hold,1
