date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2019-01-26,0.63580996,0.23369546,0.13049456,Sell,Sell,1
2019-01-27,0.23414196,0.26795176,0.49790624,Buy,Sell,1
2019-01-28,0.054814927,0.48015156,0.46503347,Hold,Buy,1
2019-01-29,0.6181971,0.17769204,0.20411085,Sell,Hold,1
2019-01-30,0.019978454,0.16389684,0.81612474,Buy,Hold,1
2019-01-31,0.25769883,0.34509966,0.39720157,Buy,Hold,1
2019-02-01,0.016428763,0.55149895,0.43207228,Hold,Sell,1
2019-02-02,0.32737958,0.3430875,0.32953295,Hold,Sell,1
2019-02-03,0.51364475,0.16279754,0.32355765,Sell,Buy,1
2019-02-04,0.15716596,0.4003104,0.4425237,Buy,Buy,1
2019-02-05,0.040204775,0.23763877,0.72215647,Buy,Buy,1
2019-02-06,0.026031204,0.6823493,0.2916195,Hold,Buy,1
2019-02-07,0.039247103,0.28867662,0.6720763,Buy,Buy,1
2019-02-08,0.30189085,0.18594669,0.5121625,Buy,Hold,1
2019-02-09,0.013728282,0.038709447,0.9475623,Buy,Sell,1
2019-02-10,0.5348248,0.03604409,0.4291311,Sell,Sell,1
2019-02-11,0.012731803,0.13208933,0.8551789,Buy,Hold,1
2019-02-12,0.14869437,0.21774654,0.6335591,Buy,Hold,1
2019-02-13,0.01694026,0.19290504,0.7901547,Buy,Buy,1
2019-02-14,0.0056947595,0.62226343,0.37204182,Hold,Buy,1
2019-02-15,0.0045255325,0.14514913,0.8503253,Buy,Buy,1
2019-02-16,0.18709627,0.32336324,0.48954055,Buy,Buy,1
2019-02-17,0.14442216,0.019845897,0.835732,Buy,Buy,1
2019-02-18,0.13592945,0.18901367,0.6750569,Buy,Buy,1
2019-02-19,0.28121614,0.08408363,0.63470024,Buy,Sell,1
2019-02-20,0.38300934,0.026372435,0.59061825,Buy,Sell,1
2019-02-21,0.7010396,0.0025394754,0.2964209,Sell,Sell,1
2019-02-22,0.8143856,0.00047919631,0.18513519,Sell,Sell,1
2019-02-23,0.124867596,0.08362361,0.7915088,Buy,Sell,1
2019-02-24,0.5816484,0.06268719,0.3556644,Sell,Hold,1
2019-02-25,0.17148747,0.105267756,0.7232448,Buy,Hold,1
2019-02-26,0.22341715,0.10412523,0.6724576,Buy,Hold,1
2019-02-27,0.026138294,0.082134165,0.89172757,Buy,Sell,1
2019-02-28,0.031378172,0.40402302,0.5645988,Buy,Hold,1
2019-03-01,0.1149642,0.1612481,0.72378767,Buy,Hold,1
2019-03-02,0.08999207,0.2941578,0.61585015,Buy,Hold,1
2019-03-03,0.7405466,0.014898866,0.2445546,Sell,Buy,1
2019-03-04,0.7917776,0.094873436,0.11334901,Sell,Buy,1
2019-03-05,0.05036572,0.03802716,0.91160715,Buy,Buy,1
2019-03-06,0.08098638,0.02093443,0.89807916,Buy,Hold,1
2019-03-07,0.026413271,0.018113624,0.9554731,Buy,Hold,1
2019-03-08,0.09292112,0.0462149,0.860864,Buy,Hold,1
2019-03-09,0.048888426,0.6735226,0.277589,Hold,Hold,1
2019-03-10,0.2173272,0.4198126,0.36286017,Hold,Hold,1
2019-03-11,0.22916372,0.6234723,0.14736404,Hold,Buy,1
2019-03-12,0.28576213,0.6775879,0.03664997,Hold,Buy,1
2019-03-13,0.5142729,0.3881942,0.09753284,Sell,Buy,1
2019-03-14,0.48814273,0.0355816,0.4762757,Sell,Buy,1
2019-03-15,0.17350376,0.64056987,0.18592635,Hold,Buy,1
2019-03-16,0.0114444345,0.09033711,0.8982185,Buy,Hold,1
2019-03-17,0.0910161,0.13252115,0.7764628,Buy,Hold,1
2019-03-18,0.12024386,0.016482856,0.8632733,Buy,Hold,1
2019-03-19,0.1490746,0.10579371,0.74513173,Buy,Sell,1
2019-03-20,0.44815433,0.045129385,0.5067163,Buy,Sell,1
2019-03-21,0.30713636,0.22313412,0.46972957,Buy,Sell,1
2019-03-22,0.09310634,0.6788831,0.22801058,Hold,Buy,1
2019-03-23,0.2694116,0.069322206,0.6612662,Buy,Buy,1
2019-03-24,0.6553065,0.051410526,0.29328296,Sell,Buy,1
2019-03-25,0.073084705,0.73392063,0.19299465,Hold,Buy,1
2019-03-26,0.50903994,0.042709302,0.44825074,Sell,Buy,1
2019-03-27,0.28525978,0.52229893,0.19244127,Hold,Buy,1
2019-03-28,0.070313536,0.6326239,0.29706255,Hold,Buy,1
2019-03-29,0.051732674,0.7953396,0.15292774,Hold,Buy,1
2019-03-30,0.028774844,0.051684823,0.91954035,Buy,Buy,1
2019-03-31,0.16291818,0.008349844,0.82873195,Buy,Buy,1
2019-04-01,0.054010406,0.04226477,0.90372485,Buy,Buy,1
2019-04-02,0.5848105,0.21650429,0.19868527,Sell,Buy,1
2019-04-03,0.14513011,0.72654843,0.12832147,Hold,Buy,1
2019-04-04,0.17306642,0.098426305,0.7285072,Buy,Buy,1
2019-04-05,0.17904678,0.04846137,0.7724919,Buy,Buy,1
2019-04-06,0.44153365,0.018036008,0.5404303,Buy,Hold,1
2019-04-07,0.764461,0.0042543444,0.23128462,Sell,Sell,1
2019-04-08,0.9223811,0.00054153777,0.07707732,Sell,Sell,1
2019-04-09,0.86223805,0.00903909,0.12872282,Sell,Hold,1
2019-04-10,0.88697267,0.006424289,0.10660299,Sell,Sell,1
2019-04-11,0.4775951,0.007529487,0.5148754,Buy,Buy,1
2019-04-12,0.59630847,0.0151973395,0.38849416,Sell,Buy,1
2019-04-13,0.10701231,0.0026835606,0.8903041,Buy,Buy,1
2019-04-14,0.18646659,0.0008650978,0.8126683,Buy,Buy,1
2019-04-15,0.07660873,0.021087052,0.90230423,Buy,Buy,1
2019-04-16,0.18660533,0.012082508,0.8013122,Buy,Hold,1
2019-04-17,0.07572832,0.0044274735,0.91984427,Buy,Buy,1
2019-04-18,0.2003583,0.0075865616,0.7920551,Buy,Buy,1
2019-04-19,0.17661993,0.007550081,0.81583,Buy,Buy,1
2019-04-20,0.09193781,0.00434051,0.90372163,Buy,Sell,1
2019-04-21,0.092838325,0.0061333906,0.90102834,Buy,Hold,1
2019-04-22,0.7123141,0.18030357,0.10738232,Sell,Sell,1
2019-04-23,0.09837846,0.03419687,0.86742467,Buy,Sell,1
2019-04-24,0.09723348,0.023777978,0.87898856,Buy,Sell,1
2019-04-25,0.052646786,0.32058352,0.6267697,Buy,Buy,1
2019-04-26,0.18252221,0.109125674,0.70835215,Buy,Buy,1
2019-04-27,0.45153075,0.02152671,0.52694255,Buy,Buy,1
2019-04-28,0.22662158,0.031060087,0.7423184,Buy,Buy,1
2019-04-29,0.5460682,0.12910914,0.32482266,Sell,Buy,1
2019-04-30,0.0996077,0.036955845,0.86343646,Buy,Buy,1
2019-05-01,0.20566182,0.06343473,0.73090345,Buy,Buy,1
2019-05-02,0.10359231,0.073445074,0.82296264,Buy,Buy,1
2019-05-03,0.026193952,0.11979222,0.8540138,Buy,Buy,1
2019-05-04,0.061063286,0.037698492,0.9012382,Buy,Buy,1
2019-05-05,0.02342177,0.004104913,0.97247326,Buy,Buy,1
2019-05-06,0.5778705,0.005058063,0.41707146,Sell,Buy,1
2019-05-07,0.20566225,0.0058945324,0.78844327,Buy,Buy,1
2019-05-08,0.3923571,0.001919115,0.6057238,Buy,Buy,1
2019-05-09,0.21449235,0.0011321951,0.7843755,Buy,Buy,1
2019-05-10,0.11063875,0.0041538854,0.88520736,Buy,Buy,1
2019-05-11,0.15300256,0.7785595,0.068437904,Hold,Buy,1
2019-05-12,0.0671736,0.21040967,0.72241676,Buy,Buy,1
2019-05-13,0.12896809,0.2262228,0.6448091,Buy,Sell,1
2019-05-14,0.09890135,0.31641898,0.5846797,Buy,Buy,1
2019-05-15,0.26149517,0.09597193,0.6425329,Buy,Sell,1
2019-05-16,0.09634243,0.09813006,0.8055275,Buy,Hold,1
2019-05-17,0.050189063,0.72237766,0.22743325,Hold,Buy,1
2019-05-18,0.35626668,0.03937434,0.604359,Buy,Buy,1
2019-05-19,0.9273037,0.0069168266,0.06577946,Sell,Hold,1
2019-05-20,0.57853955,0.0075503783,0.41391006,Sell,Hold,1
2019-05-21,0.21111219,0.05005166,0.7388361,Buy,Buy,1
2019-05-22,0.28035387,0.098079674,0.6215664,Buy,Buy,1
2019-05-23,0.023252284,0.040603552,0.9361442,Buy,Buy,1
2019-05-24,0.07701857,0.019779835,0.90320164,Buy,Buy,1
2019-05-25,0.046756066,0.013871248,0.93937266,Buy,Buy,1
2019-05-26,0.97017026,0.0032218688,0.026607849,Sell,Hold,1
2019-05-27,0.90750974,0.013641132,0.078849085,Sell,Hold,1
2019-05-28,0.7496883,0.008764243,0.24154745,Sell,Hold,1
2019-05-29,0.07545246,0.015237384,0.90931016,Buy,Sell,1
2019-05-30,0.16853938,0.09349811,0.7379625,Buy,Sell,1
2019-05-31,0.08739591,0.008408393,0.9041957,Buy,Sell,1
2019-06-01,0.09087138,0.004007231,0.9051214,Buy,Sell,1
2019-06-02,0.039555825,0.009738773,0.9507054,Buy,Sell,1
2019-06-03,0.7308981,0.047250085,0.22185181,Sell,Sell,1
2019-06-04,0.34476453,0.38209373,0.27314177,Hold,Hold,1
2019-06-05,0.8666629,0.07983323,0.05350383,Sell,Hold,1
2019-06-06,0.6351587,0.31297854,0.051862754,Sell,Hold,1
2019-06-07,0.9133256,0.07879815,0.007876213,Sell,Hold,1
2019-06-08,0.7537015,0.22250633,0.023792125,Sell,Buy,1
2019-06-09,0.5276551,0.4358356,0.03650928,Sell,Buy,1
2019-06-10,0.9677761,0.01840983,0.013814001,Sell,Buy,1
2019-06-11,0.9810368,0.010749764,0.008213509,Sell,Buy,1
2019-06-12,0.5575386,0.43468726,0.007774129,Sell,Buy,1
2019-06-13,0.92440915,0.010825086,0.06476581,Sell,Buy,1
2019-06-14,0.031268325,0.02373418,0.94499755,Buy,Buy,1
2019-06-15,0.010688787,0.1887816,0.8005296,Buy,Buy,1
2019-06-16,0.118038535,0.14643987,0.7355216,Buy,Buy,1
2019-06-17,0.00506276,0.039782513,0.9551547,Buy,Buy,1
2019-06-18,0.39316154,0.02212914,0.5847093,Buy,Buy,1
2019-06-19,0.05206151,0.013501789,0.9344367,Buy,Buy,1
2019-06-20,0.15561819,0.0025254963,0.8418563,Buy,Buy,1
2019-06-21,0.2312015,0.012932658,0.7558658,Buy,Buy,1
2019-06-22,0.0074849897,0.46805584,0.5244591,Buy,Buy,1
2019-06-23,0.035174143,0.046429835,0.918396,Buy,Buy,1
2019-06-24,0.23615864,0.010918349,0.752923,Buy,Buy,1
2019-06-25,0.30260947,0.116251834,0.5811387,Buy,Sell,1
2019-06-26,0.029922165,0.8541218,0.115956046,Hold,Sell,1
2019-06-27,0.05050108,0.46819097,0.48130792,Buy,Sell,1
2019-06-28,0.09379841,0.37086806,0.5353335,Buy,Sell,1
2019-06-29,0.08102868,0.090164654,0.8288067,Buy,Sell,1
2019-06-30,0.05420362,0.0049335733,0.94086283,Buy,Hold,1
2019-07-01,0.2910118,0.04046522,0.66852295,Buy,Buy,1
2019-07-02,0.18769361,0.07465111,0.7376553,Buy,Buy,1
2019-07-03,0.12231803,0.14161423,0.7360678,Buy,Hold,1
2019-07-04,0.23886932,0.037701637,0.723429,Buy,Buy,1
2019-07-05,0.9244327,0.0023633637,0.07320399,Sell,Buy,1
2019-07-06,0.8000486,0.003080392,0.19687104,Sell,Hold,1
2019-07-07,0.8723599,0.00092539797,0.1267147,Sell,Hold,1
2019-07-08,0.6691279,0.03480256,0.29606953,Sell,Sell,1
2019-07-09,0.06508726,0.095591545,0.83932126,Buy,Sell,1
2019-07-10,0.5771052,0.10445534,0.31843942,Sell,Sell,1
2019-07-11,0.5262955,0.38179913,0.091905385,Sell,Sell,1
2019-07-12,0.840325,0.025705054,0.13397,Sell,Sell,1
2019-07-13,0.9718665,0.025832094,0.002301405,Sell,Sell,1
2019-07-14,0.9522062,0.021166625,0.026627196,Sell,Hold,1
2019-07-15,0.024758682,0.937989,0.037252367,Hold,Hold,1
2019-07-16,0.13645606,0.78235966,0.08118427,Hold,Buy,1
2019-07-17,0.8882855,0.057602666,0.05411178,Sell,Buy,1
2019-07-18,0.016714899,0.9128877,0.07039743,Hold,Sell,1
2019-07-19,0.19282652,0.7304381,0.076735295,Hold,Sell,1
2019-07-20,0.874068,0.10141373,0.0245183,Sell,Sell,1
2019-07-21,0.8685788,0.124493144,0.0069280346,Sell,Sell,1
2019-07-22,0.92374307,0.06840206,0.007854845,Sell,Sell,1
2019-07-23,0.86436296,0.040303975,0.09533302,Sell,Sell,1
2019-07-24,0.9173224,0.023839686,0.058837865,Sell,Sell,1
2019-07-25,0.89430875,0.07484384,0.030847441,Sell,Sell,1
2019-07-26,0.7119169,0.18918869,0.09889444,Sell,Hold,1
2019-07-27,0.9188446,0.05845885,0.022696543,Sell,Buy,1
2019-07-28,0.52710867,0.3905086,0.08238274,Sell,Buy,1
2019-07-29,0.5970024,0.2548186,0.14817902,Sell,Buy,1
2019-07-30,0.76450384,0.07689096,0.1586052,Sell,Buy,1
2019-07-31,0.21947381,0.7689777,0.011548506,Hold,Buy,1
2019-08-01,0.29769948,0.44923955,0.25306097,Hold,Buy,1
2019-08-02,0.48309958,0.4320947,0.08480572,Sell,Buy,1
2019-08-03,0.57378536,0.12857537,0.29763928,Sell,Buy,1
2019-08-04,0.93735164,0.0049373265,0.057711005,Sell,Buy,1
2019-08-05,0.0064620795,0.12126989,0.8722681,Buy,Sell,1
2019-08-06,0.37857124,0.39480662,0.2266221,Hold,Hold,1
2019-08-07,0.044914838,0.44347742,0.51160777,Buy,Sell,1
2019-08-08,0.17412183,0.23953739,0.5863408,Buy,Sell,1
2019-08-09,0.63256603,0.0514196,0.31601438,Sell,Sell,1
2019-08-10,0.5496241,0.20051965,0.24985623,Sell,Sell,1
2019-08-11,0.726909,0.027616609,0.24547444,Sell,Sell,1
2019-08-12,0.5171096,0.023233742,0.4596567,Sell,Sell,1
2019-08-13,0.16260834,0.74857056,0.088821076,Hold,Sell,1
2019-08-14,0.5449167,0.18871453,0.26636875,Sell,Buy,2
2019-08-15,0.48643726,0.0027419766,0.51082075,Buy,Buy,2
2019-08-16,0.7144508,0.030179853,0.25536937,Sell,Sell,2
2019-08-17,0.736284,0.0066215964,0.25709444,Sell,Hold,2
2019-08-18,0.86307317,0.005151392,0.13177544,Sell,Hold,2
2019-08-19,0.6970739,0.110798225,0.19212788,Sell,Sell,2
2019-08-20,0.4701617,0.38055846,0.1492798,Sell,Sell,2
2019-08-21,0.84680307,0.055082794,0.09811414,Sell,Buy,2
2019-08-22,0.94500464,0.010655399,0.044339962,Sell,Hold,2
2019-08-23,0.8112492,0.15845774,0.030293006,Sell,Sell,2
2019-08-24,0.6389946,0.07608614,0.2849193,Sell,Sell,2
2019-08-25,0.26990098,0.079718225,0.65038085,Buy,Sell,2
2019-08-26,0.4859007,0.051121417,0.46297783,Sell,Sell,2
2019-08-27,0.60840404,0.05184898,0.33974698,Sell,Sell,2
2019-08-28,0.061135493,0.7367126,0.20215192,Hold,Buy,2
2019-08-29,0.061807826,0.62626994,0.31192225,Hold,Buy,2
2019-08-30,0.43912444,0.087505564,0.47336996,Buy,Buy,2
2019-08-31,0.5744427,0.08161103,0.34394628,Sell,Buy,2
2019-09-01,0.116089925,0.12116842,0.7627416,Buy,Buy,2
2019-09-02,0.091576755,0.7059403,0.20248292,Hold,Hold,2
2019-09-03,0.30720946,0.3714673,0.32132328,Hold,Sell,2
2019-09-04,0.008448282,0.75691617,0.23463553,Hold,Sell,2
2019-09-05,0.006674892,0.55860263,0.43472245,Hold,Sell,2
2019-09-06,0.0073723956,0.53370255,0.45892504,Hold,Sell,2
2019-09-07,0.0013920818,0.13127694,0.867331,Buy,Hold,2
2019-09-08,0.0020249255,0.75792944,0.24004565,Hold,Hold,2
2019-09-09,0.005557841,0.85514295,0.1392992,Hold,Hold,2
2019-09-10,0.024978643,0.5603612,0.41466013,Hold,Buy,2
2019-09-11,0.1321319,0.19498925,0.6728788,Buy,Hold,2
2019-09-12,0.005352329,0.7307581,0.2638896,Hold,Sell,2
2019-09-13,0.006293129,0.9555117,0.03819515,Hold,Sell,2
2019-09-14,0.06758219,0.8109542,0.121463545,Hold,Hold,2
2019-09-15,0.09625715,0.50308347,0.4006594,Hold,Sell,2
2019-09-16,0.05071939,0.76518553,0.18409504,Hold,Sell,2
2019-09-17,0.17386745,0.36216775,0.46396485,Buy,Sell,2
2019-09-18,0.04720739,0.52253646,0.43025616,Hold,Sell,2
2019-09-19,0.027187547,0.73597443,0.23683804,Hold,Sell,2
2019-09-20,0.11229346,0.100634135,0.78707236,Buy,Sell,2
2019-09-21,0.5216287,0.1497539,0.32861745,Sell,Sell,2
2019-09-22,0.18007919,0.6671534,0.15276738,Hold,Sell,2
2019-09-23,0.070730105,0.073913075,0.8553568,Buy,Sell,2
