Date,regime_label,P_Bull,P_Neutral,P_Bear
2017-11-09,Bull,1.0,0.0,0.0
2017-11-10,Bull,1.0,0.0,0.0
2017-11-11,Bull,1.0,0.0,0.0
2017-11-12,Bull,1.0,0.0,0.0
2017-11-13,Bull,1.0,0.0,0.0
2017-11-14,Bull,1.0,0.0,0.0
2017-11-15,Bull,1.0,0.0,0.0
2017-11-16,Bull,1.0,0.0,0.0
2017-11-17,Bull,1.0,0.0,0.0
2017-11-18,Bull,1.0,0.0,0.0
2017-11-19,Bull,1.0,0.0,0.0
2017-11-20,Bull,1.0,0.0,0.0
2017-11-21,Bull,1.0,0.0,0.0
2017-11-22,Bull,1.0,0.0,0.0
2017-11-23,Bull,1.0,0.0,0.0
2017-11-24,Bull,1.0,0.0,0.0
2017-11-25,Bull,1.0,0.0,0.0
2017-11-26,Bull,1.0,0.0,0.0
2017-11-27,Bull,1.0,0.0,0.0
2017-11-28,Bull,1.0,0.0,0.0
2017-11-29,Bull,1.0,0.0,0.0
2017-11-30,Bull,1.0,0.0,0.0
2017-12-01,Bull,1.0,0.0,0.0
2017-12-02,Bull,1.0,0.0,0.0
2017-12-03,Bull,1.0,0.0,0.0
2017-12-04,Bull,1.0,0.0,0.0
2017-12-05,Bull,1.0,0.0,0.0
2017-12-06,Bull,1.0,0.0,0.0
2017-12-07,Bull,1.0,0.0,0.0
2017-12-08,Bull,1.0,0.0,0.0
2017-12-09,Bull,1.0,0.0,0.0
2017-12-10,Bull,1.0,0.0,0.0
2017-12-11,Bull,1.0,0.0,0.0
2017-12-12,Bull,1.0,0.0,0.0
2017-12-13,Bull,1.0,0.0,0.0
2017-12-14,Bull,1.0,0.0,0.0
2017-12-15,Bull,1.0,0.0,0.0
2017-12-16,Bull,1.0,0.0,0.0
2017-12-17,Bull,1.0,0.0,0.0
2017-12-18,Bull,1.0,0.0,0.0
2017-12-19,Bull,1.0,0.0,0.0
2017-12-20,Bull,1.0,0.0,0.0
2017-12-21,Bull,1.0,0.0,0.0
2017-12-22,Bull,1.0,0.0,0.0
2017-12-23,Bull,1.0,0.0,0.0
2017-12-24,Bull,1.0,0.0,0.0
2017-12-25,Bull,1.0,0.0,0.0
2017-12-26,Bull,1.0,0.0,0.0
2017-12-27,Bull,1.0,0.0,0.0
2017-12-28,Bull,1.0,0.0,0.0
2017-12-29,Bull,1.0,0.0,0.0
2017-12-30,Bull,1.0,0.0,0.0
2017-12-31,Bull,1.0,0.0,0.0
2018-01-01,Bull,1.0,0.0,0.0
2018-01-02,Bull,1.0,0.0,0.0
2018-01-03,Bull,1.0,0.0,0.0
2018-01-04,Bull,1.0,0.0,0.0
2018-01-05,Bull,1.0,0.0,0.0
2018-01-06,Bull,1.0,0.0,0.0
2018-01-07,Bull,1.0,0.0,0.0
2018-01-08,Bull,1.0,0.0,0.0
2018-01-09,Bull,1.0,0.0,0.0
2018-01-10,Bull,1.0,0.0,0.0
2018-01-11,Bull,1.0,0.0,0.0
2018-01-12,Bull,1.0,0.0,0.0
2018-01-13,Bull,1.0,0.0,0.0
2018-01-14,Bull,1.0,0.0,0.0
2018-01-15,Bull,1.0,0.0,0.0
2018-01-16,Bull,1.0,0.0,0.0
