date,P_downtrend,P_range,P_uptrend,pred_label,true_label,fold
2020-02-11,0.9971069571954424,1.166568648622816e-05,0.002881377118071459,downtrend,uptrend,1
2020-02-12,0.8203608784423626,0.00747386401273988,0.17216525754489762,downtrend,uptrend,1
2020-02-13,0.993750059822921,0.0006994414830004129,0.005550498694078673,downtrend,uptrend,1
2020-02-14,0.9984105289543648,0.00019686378291914166,0.0013926072627160073,downtrend,downtrend,1
2020-02-15,0.9918095017312641,0.008170088500954173,2.0409767781750717e-05,downtrend,downtrend,1
2020-02-16,0.9712795532634934,0.02870060943836661,1.983729814026996e-05,downtrend,downtrend,1
2020-02-17,0.9709982169217471,0.028992515763829416,9.267314423545525e-06,downtrend,downtrend,1
2020-02-18,0.961949248295127,0.03803133328492299,1.941841995022394e-05,downtrend,downtrend,1
2020-02-19,0.2257388890239535,0.774260853392477,2.575835695149251e-07,range,downtrend,1
2020-02-20,0.06340312072949207,0.9365966483714055,2.3089910228540448e-07,range,downtrend,1
2020-02-21,0.038799238706343386,0.9612005705304926,1.9076316398424906e-07,range,downtrend,1
2020-02-22,0.01166081045713717,0.9883391058543646,8.368849835284979e-08,range,downtrend,1
2020-02-23,0.04186634266938012,0.9581333050281227,3.523024971519298e-07,range,downtrend,1
2020-02-24,0.0016389204805000305,0.9983610613241246,1.819537545579975e-08,range,downtrend,1
2020-02-25,2.1408985813581746e-05,0.999978590660281,3.539053616238699e-10,range,downtrend,1
2020-02-26,4.2890207798048045e-07,0.9999995707984034,2.995184936551776e-10,range,downtrend,1
2020-02-27,9.551975912369077e-07,0.9999990432456826,1.5567261967477046e-09,range,downtrend,1
2020-02-28,3.716254771050018e-07,0.9999996265302025,1.8443205541706309e-09,range,downtrend,1
2020-02-29,8.712625502460008e-09,0.9999999911397245,1.4765012820491388e-10,range,downtrend,1
2020-03-01,1.8770496870182366e-08,0.9999999805858774,6.436257117236137e-10,range,range,1
2020-03-02,2.272591282318631e-08,0.9999999746179702,2.6561169585892466e-09,range,range,1
2020-03-03,2.9658349792953793e-07,0.999998454968328,1.248448174175053e-06,range,range,1
2020-03-04,5.598624978949834e-07,0.9999574303197263,4.2009817775632195e-05,range,range,1
2020-03-05,2.326027608895599e-06,0.9998208026210265,0.00017687135136458776,range,range,1
2020-03-06,4.932827231090066e-05,0.989885331477901,0.010065340249787938,range,range,1
2020-03-07,3.0215011971646596e-05,0.9961949219067997,0.003774863081228548,range,range,1
2020-03-08,1.6140007027018563e-05,0.9999704720445033,1.3387948469600848e-05,range,range,1
2020-03-09,5.888128259828772e-06,0.9999901875389724,3.924332767676303e-06,range,range,1
2020-03-10,4.543900470921027e-05,0.9996394387326146,0.0003151222626761963,range,range,1
2020-03-11,2.442284745191711e-05,0.9997723877343552,0.00020318941819290836,range,range,1
2020-03-12,0.001442733393385269,1.8970544536924005e-05,0.9985382960620777,uptrend,range,1
2020-03-13,0.0026176631580033987,0.00039797373522849953,0.9969843631067681,uptrend,range,1
2020-03-14,3.453306614663372e-05,2.2524404631134562e-09,0.9999654646814129,uptrend,range,1
2020-03-15,2.3016438203140177e-05,4.679731014423904e-09,0.9999769788820658,uptrend,range,1
2020-03-16,0.0001339016063884196,1.007869958381923e-09,0.9998660973857417,uptrend,uptrend,1
2020-03-17,1.4859088578242475e-05,1.308695549175526e-06,0.9999838322158726,uptrend,uptrend,1
2020-03-18,4.886632439915958e-06,3.667615134339765e-08,0.9999950766914087,uptrend,uptrend,1
2020-03-19,0.0006827812617318311,0.5290414411675004,0.4702757775707679,range,uptrend,1
2020-03-20,0.003934555469175361,0.6004087566454374,0.3956566878853873,range,uptrend,1
2020-03-21,0.0006422344876967293,0.5301634906416747,0.4691942748706287,range,uptrend,1
2020-03-22,0.003721332687533375,0.007604415521288946,0.9886742517911777,uptrend,uptrend,1
2020-03-23,0.002121549522324013,0.8716648598857015,0.12621359059197446,range,uptrend,1
2020-03-24,0.006223606488080616,0.054915052166148365,0.938861341345771,uptrend,uptrend,1
2020-03-25,0.03685295511719315,0.15708958893825153,0.8060574559445554,uptrend,uptrend,1
2020-03-26,0.030011839717929804,0.016553042395148786,0.9534351178869215,uptrend,uptrend,1
2020-03-27,0.10558583198601033,0.07008138656516769,0.8243327814488219,uptrend,uptrend,1
2020-03-28,0.06563557559581125,0.016039606589578047,0.9183248178146107,uptrend,uptrend,1
2020-03-29,0.039126410798579724,0.0010556637946790347,0.9598179254067413,uptrend,uptrend,1
2020-03-30,0.109637445852574,0.02035058453439171,0.8700119696130343,uptrend,uptrend,1
2020-03-31,0.036735346774943715,0.004229214817112137,0.9590354384079443,uptrend,uptrend,1
2020-04-01,0.5732816850524811,4.1796299810691475e-05,0.4266765186477082,downtrend,uptrend,1
2020-04-02,0.9991544017256923,5.024754815589282e-06,0.0008405735194922482,downtrend,uptrend,1
2020-04-03,0.9999721138750034,4.3277129632147083e-07,2.7453353700196508e-05,downtrend,uptrend,1
2020-04-04,0.9999361696596147,6.224649528504338e-05,1.5838451001208427e-06,downtrend,uptrend,1
2020-04-05,0.9995397978130761,0.00046020181668534466,3.7023860282103043e-10,downtrend,uptrend,1
2020-04-06,0.9043880971896908,0.09558527423732184,2.6628572987259937e-05,downtrend,uptrend,1
2020-04-07,0.5241202782412757,0.4758728770539509,6.8447047732452975e-06,downtrend,uptrend,1
2020-04-08,0.8111341327451197,0.18886330827678333,2.558978097102341e-06,downtrend,range,1
2020-04-09,0.7595657993331519,0.2404303251744836,3.875492364555166e-06,downtrend,range,1
2020-04-10,0.9923062836163936,0.0076936607385507646,5.5645055751616897e-08,downtrend,range,1
2020-04-11,0.9592216961158668,0.040778299817500516,4.0666325905313864e-09,downtrend,range,1
2020-04-12,0.9796228496725882,0.020376966110276507,1.8421713552084458e-07,downtrend,range,1
2020-04-13,0.9977556654656674,0.0022440815887386366,2.5294559416457565e-07,downtrend,range,1
2020-04-14,0.99985374369138,0.00014614784789953624,1.0846072061780157e-07,downtrend,range,1
2020-04-15,0.9999990434177062,7.975517783015487e-07,1.5903051556278156e-07,downtrend,range,1
2020-04-16,0.9896057123245104,0.0011112554222236207,0.009283032253265856,downtrend,range,1
2020-04-17,0.9995917433315663,1.6205097656608177e-05,0.0003920515707770308,downtrend,range,1
2020-04-18,0.8466628493171194,0.0068135300519255775,0.14652362063095492,downtrend,range,1
2020-04-19,0.9412954546440964,0.007132394960311217,0.05157215039559247,downtrend,range,1
2020-04-20,0.9554152449538195,0.0014772390675861459,0.04310751597859429,downtrend,range,1
2020-04-21,0.973053291533483,0.026789968508400094,0.00015673995811690413,downtrend,range,1
2020-04-22,0.6505494501411432,0.3219171667343147,0.02753338312454205,downtrend,range,1
2020-04-23,0.003522013149551021,0.9962512873432833,0.00022669950716560158,range,range,1
2020-04-24,0.12086531423884249,0.869644758156948,0.009489927604209563,range,range,1
2020-04-25,0.17562256516083616,0.7413495124982449,0.08302792234091903,range,range,1
2020-04-26,0.01914671416851872,0.9679192767147832,0.012934009116698258,range,range,1
2020-04-27,0.003312067637995408,0.9761416206339055,0.020546311728098978,range,range,1
2020-04-28,0.0025790787370275556,0.9805255446727945,0.016895376590177938,range,range,1
2020-04-29,0.0005614616197910564,0.9991816781075276,0.00025686027268140516,range,range,1
2020-04-30,0.00022563116732863005,0.9996860971883662,8.827164430516953e-05,range,range,1
2020-05-01,0.03945494230730298,0.34850034782907363,0.6120447098636235,uptrend,range,1
2020-05-02,0.025878092490576144,0.01767028573959268,0.9564516217698311,uptrend,range,1
2020-05-03,0.01434618790039868,0.048789894827883956,0.9368639172717173,uptrend,range,1
2020-05-04,0.004006251890033822,0.07612856092399178,0.9198651871859744,uptrend,range,1
2020-05-05,0.00016843215744256673,0.00018576907690149818,0.9996457987656558,uptrend,range,1
2020-05-06,0.00016186691184126218,0.0001769871045788557,0.9996611459835799,uptrend,range,1
2020-05-07,0.0001746993259258025,3.755526653520294e-05,0.9997877454075391,uptrend,range,1
2020-05-08,0.00021098574929916749,2.6960300616027272e-06,0.9997863182206392,uptrend,range,1
2020-05-09,0.0005246856742514283,3.1720519001276814e-06,0.9994721422738485,uptrend,range,1
2020-05-10,0.004266683245003501,0.0035937267935374087,0.9921395899614591,uptrend,range,1
2020-05-11,0.00013174157344707994,0.9940726156043421,0.005795642822210871,range,uptrend,1
2020-05-12,0.02088280812971335,0.2366200517729241,0.7424971400973626,uptrend,uptrend,1
2020-05-13,0.0019885021199948167,0.19077965403204883,0.8072318438479564,uptrend,uptrend,1
2020-05-14,0.00012243206978199603,0.03466405091677561,0.9652135170134424,uptrend,uptrend,1
2020-05-15,0.00011193424903915489,0.7670297152527228,0.23285835049823816,range,uptrend,1
2020-05-16,8.278943936436542e-05,0.14231528477216482,0.8576019257884709,uptrend,uptrend,1
2020-05-17,5.166995152943717e-06,0.002592381021591274,0.9974024519832557,uptrend,uptrend,1
2020-05-18,3.739114210435684e-07,4.355986432827646e-06,0.9999952701021461,uptrend,uptrend,1
2020-05-19,3.8933236737795003e-08,2.097084976117308e-07,0.9999997513582656,uptrend,uptrend,1
2020-05-20,3.599703414338026e-07,3.0207732006019373e-06,0.9999966192564579,uptrend,uptrend,1
2020-05-21,1.7060743486114812e-05,0.0005057398445726827,0.9994771994119411,uptrend,uptrend,1
2020-05-22,1.443713724119273e-06,4.191089387259962e-06,0.9999943651968887,uptrend,uptrend,1
2020-05-23,5.515295513625203e-07,8.055315779072533e-07,0.9999986429388708,uptrend,uptrend,1
2020-05-24,7.186404488483759e-06,1.9331905713222708e-05,0.9999734816897983,uptrend,uptrend,1
2020-05-25,2.2611633410215366e-06,3.611890215099983e-06,0.999994126946444,uptrend,uptrend,1
2020-05-26,5.6863564407610395e-06,9.757019288904405e-06,0.9999845566242703,uptrend,uptrend,1
2020-05-27,3.123965819392466e-07,8.311572727070073e-07,0.9999988564461454,uptrend,uptrend,1
2020-05-28,1.9671361691305328e-08,1.262807320227091e-07,0.9999998540479063,uptrend,uptrend,1
2020-05-29,2.5490959366893112e-08,6.624606487394681e-08,0.9999999082629758,uptrend,uptrend,1
2020-05-30,1.9055203066549012e-08,1.3569512960911716e-08,0.999999967375284,uptrend,uptrend,1
2020-05-31,1.8035278735180745e-06,7.892575744540398e-06,0.9999903038963819,uptrend,uptrend,1
2020-06-01,5.96265786402411e-07,2.896110360298321e-06,0.9999965076238533,uptrend,uptrend,1
2020-06-02,2.2345678222659956e-05,0.00039041900597186534,0.9995872353158054,uptrend,uptrend,1
2020-06-03,1.6792793378504693e-05,7.002770648824696e-05,0.9999131795001333,uptrend,uptrend,1
2020-06-04,4.012595721566906e-05,0.0003003743494744478,0.9996594996933099,uptrend,uptrend,1
2020-06-05,3.1820626817097694e-05,2.812125292335584e-05,0.9999400581202595,uptrend,uptrend,1
2020-06-06,5.3579371194062415e-05,0.00010372199138257464,0.9998426986374234,uptrend,uptrend,1
2020-06-07,1.1877395046020458e-05,2.8777723908473157e-06,0.9999852448325631,uptrend,uptrend,1
2020-06-08,3.390718452596577e-05,1.682266141010067e-05,0.9999492701540639,uptrend,uptrend,1
2020-06-09,0.00011241730348904674,0.0001397321380116811,0.9997478505584992,uptrend,uptrend,1
2020-06-10,0.000418935508688863,0.00014502563719841525,0.9994360388541128,uptrend,uptrend,1
2020-06-11,0.00715360055702284,0.4825667271780046,0.5102796722649726,uptrend,uptrend,1
2020-06-12,0.0015609771727510087,0.22427604203287774,0.7741629807943712,uptrend,uptrend,1
2020-06-13,0.0017519932802938865,0.14889458970547356,0.8493534170142326,uptrend,uptrend,1
2020-06-14,0.0008656281756878366,0.5384566679662682,0.46067770385804396,range,uptrend,1
2020-06-15,0.006068501798199145,0.10713763338882903,0.8867938648129718,uptrend,uptrend,1
2020-06-16,0.00036732412487957156,0.010029193934685222,0.9896034819404352,uptrend,uptrend,1
2020-06-17,0.00017735095167811986,0.00010165576493757151,0.9997209932833843,uptrend,uptrend,1
2020-06-18,0.00014938768728972108,8.25584973455422e-05,0.9997680538153646,uptrend,uptrend,1
2020-06-19,0.00013153851306720303,1.8224246266859743e-05,0.9998502372406659,uptrend,uptrend,1
2020-06-20,4.826141404291971e-05,7.048452493275666e-06,0.9999446901334639,uptrend,uptrend,1
2020-06-21,9.36232368752851e-05,4.259330932679243e-06,0.999902117432192,uptrend,uptrend,1
2020-06-22,0.00011607947996698418,1.5022027009819924e-05,0.9998688984930232,uptrend,uptrend,1
2020-06-23,1.2547858346979634e-05,1.1114305187277866e-06,0.9999863407111342,uptrend,uptrend,1
2020-06-24,0.0007968038939492427,2.4902863973397697e-05,0.9991782932420774,uptrend,uptrend,1
