date,P_downtrend,P_range,P_uptrend,pred_label,true_label,fold
2020-02-11,0.8278162,0.030655837,0.14152803,downtrend,uptrend,1
2020-02-12,0.13196011,0.6519552,0.21608466,range,uptrend,1
2020-02-13,0.15897621,0.6210448,0.21997899,range,uptrend,1
2020-02-14,0.10001255,0.70005625,0.1999312,range,downtrend,1
2020-02-15,0.09543617,0.6779841,0.2265797,range,downtrend,1
2020-02-16,0.19802043,0.7244962,0.077483416,range,downtrend,1
2020-02-17,0.24998783,0.64432,0.105692156,range,downtrend,1
2020-02-18,0.20463455,0.6850483,0.11031718,range,downtrend,1
2020-02-19,0.32189682,0.6575789,0.020524314,range,downtrend,1
2020-02-20,0.37611112,0.58941513,0.034473784,range,downtrend,1
2020-02-21,0.37133387,0.5900409,0.038625184,range,downtrend,1
2020-02-22,0.7363394,0.22775193,0.035908703,downtrend,downtrend,1
2020-02-23,0.61148274,0.34326532,0.045251936,downtrend,downtrend,1
2020-02-24,0.6791382,0.2777972,0.043064658,downtrend,downtrend,1
2020-02-25,0.34967455,0.62392753,0.02639793,range,downtrend,1
2020-02-26,0.008789871,0.9908761,0.00033411573,range,downtrend,1
2020-02-27,0.021414688,0.9777323,0.00085295626,range,downtrend,1
2020-02-28,0.023757624,0.97553694,0.00070540665,range,downtrend,1
2020-02-29,0.017825766,0.9813138,0.0008604466,range,downtrend,1
2020-03-01,0.071769685,0.92362297,0.004607308,range,range,1
2020-03-02,0.034239344,0.96133065,0.0044300286,range,range,1
2020-03-03,0.14659674,0.8281496,0.02525363,range,range,1
2020-03-04,0.4066342,0.44701236,0.14635341,range,range,1
2020-03-05,0.49726635,0.28626257,0.2164711,downtrend,range,1
2020-03-06,0.29330766,0.29618624,0.41050616,uptrend,range,1
2020-03-07,0.30487263,0.10876322,0.58636415,uptrend,range,1
2020-03-08,0.11124786,0.8737178,0.015034371,range,range,1
2020-03-09,0.05290206,0.94074035,0.0063575683,range,range,1
2020-03-10,0.05969715,0.9315046,0.008798281,range,range,1
2020-03-11,0.05079002,0.9314067,0.017803332,range,range,1
2020-03-12,0.030838829,0.01975803,0.9494031,uptrend,range,1
2020-03-13,0.07247128,0.07397723,0.85355145,uptrend,range,1
2020-03-14,0.039853252,0.039245386,0.9209013,uptrend,range,1
2020-03-15,0.03271514,0.028379826,0.93890506,uptrend,range,1
2020-03-16,0.10713562,0.1815749,0.71128947,uptrend,uptrend,1
2020-03-17,0.08741942,0.28366253,0.62891805,uptrend,uptrend,1
2020-03-18,0.05917828,0.28510204,0.6557197,uptrend,uptrend,1
2020-03-19,0.036899865,0.06027671,0.9028234,uptrend,uptrend,1
2020-03-20,0.036980238,0.07311875,0.889901,uptrend,uptrend,1
2020-03-21,0.019273583,0.05829606,0.9224304,uptrend,uptrend,1
2020-03-22,0.0348545,0.07271027,0.8924352,uptrend,uptrend,1
2020-03-23,0.018780503,0.094703786,0.88651574,uptrend,uptrend,1
2020-03-24,0.02737659,0.10604154,0.8665819,uptrend,uptrend,1
2020-03-25,0.039554857,0.1222091,0.83823603,uptrend,uptrend,1
2020-03-26,0.019781759,0.072046295,0.90817195,uptrend,uptrend,1
2020-03-27,0.028042573,0.14198814,0.8299692,uptrend,uptrend,1
2020-03-28,0.0537746,0.19032806,0.7558973,uptrend,uptrend,1
2020-03-29,0.09599956,0.2733568,0.63064367,uptrend,uptrend,1
2020-03-30,0.10720631,0.44335696,0.4494367,uptrend,uptrend,1
2020-03-31,0.07358226,0.25948477,0.666933,uptrend,uptrend,1
2020-04-01,0.16733274,0.36892506,0.46374223,uptrend,uptrend,1
2020-04-02,0.08142023,0.3522746,0.5663052,uptrend,uptrend,1
2020-04-03,0.079408444,0.04209239,0.8784991,uptrend,uptrend,1
2020-04-04,0.12569082,0.01567812,0.858631,uptrend,uptrend,1
2020-04-05,0.16735682,0.34425953,0.48838368,uptrend,uptrend,1
2020-04-06,0.020981863,0.04017353,0.93884456,uptrend,uptrend,1
2020-04-07,0.008862489,0.020048061,0.9710895,uptrend,uptrend,1
2020-04-08,0.015335589,0.037523277,0.9471411,uptrend,range,1
2020-04-09,0.012522162,0.03227832,0.95519954,uptrend,range,1
2020-04-10,0.25998902,0.10413054,0.6358805,uptrend,range,1
2020-04-11,0.35143378,0.19637436,0.4521919,uptrend,range,1
2020-04-12,0.38262612,0.15378949,0.4635844,uptrend,range,1
2020-04-13,0.6535713,0.1594251,0.1870036,downtrend,range,1
2020-04-14,0.8675227,0.05616547,0.07631185,downtrend,range,1
2020-04-15,0.66953075,0.122603886,0.2078654,downtrend,uptrend,1
2020-04-16,0.10500944,0.23349592,0.6614946,uptrend,uptrend,1
2020-04-17,0.07513681,0.15873042,0.7661327,uptrend,uptrend,1
2020-04-18,0.015070726,0.03327859,0.95165074,uptrend,uptrend,1
2020-04-19,0.025699906,0.097397275,0.8769029,uptrend,uptrend,1
2020-04-20,0.27626246,0.28240874,0.4413288,uptrend,uptrend,1
2020-04-21,0.28201512,0.30731845,0.4106665,uptrend,uptrend,1
2020-04-22,0.08181623,0.048875116,0.8693087,uptrend,uptrend,1
2020-04-23,0.08214836,0.110432304,0.8074193,uptrend,uptrend,1
2020-04-24,0.07043706,0.0727202,0.85684276,uptrend,uptrend,1
2020-04-25,0.020372983,0.02924921,0.9503779,uptrend,uptrend,1
2020-04-26,0.03395485,0.022986572,0.9430586,uptrend,uptrend,1
