date,P_downtrend,P_range,P_uptrend,pred_label,true_label,fold
2020-02-11,0.15928301,0.30287388,0.5378431,uptrend,uptrend,1
2020-02-12,0.10387581,0.4327669,0.46335733,uptrend,uptrend,1
2020-02-13,0.109735444,0.43534124,0.4549233,uptrend,uptrend,1
2020-02-14,0.107236594,0.44587645,0.44688696,uptrend,downtrend,1
2020-02-15,0.09819575,0.6151645,0.28663972,range,downtrend,1
2020-02-16,0.08053697,0.8352976,0.08416544,range,downtrend,1
2020-02-17,0.10476382,0.796743,0.09849319,range,downtrend,1
2020-02-18,0.11312726,0.75756705,0.12930565,range,downtrend,1
2020-02-19,0.02821819,0.9515119,0.020269878,range,downtrend,1
2020-02-20,0.036604505,0.9324,0.030995447,range,downtrend,1
2020-02-21,0.037990775,0.9240629,0.037946265,range,downtrend,1
2020-02-22,0.03312655,0.933833,0.033040415,range,downtrend,1
2020-02-23,0.038068075,0.9196104,0.042321514,range,downtrend,1
2020-02-24,0.030587208,0.93653286,0.032879986,range,downtrend,1
2020-02-25,0.02239475,0.95890474,0.018700464,range,downtrend,1
2020-02-26,0.018970596,0.96794015,0.013089287,range,downtrend,1
2020-02-27,0.022625353,0.9628273,0.014547356,range,downtrend,1
2020-02-28,0.02690465,0.96032184,0.012773506,range,downtrend,1
2020-02-29,0.022450667,0.9588347,0.018714627,range,downtrend,1
2020-03-01,0.019374225,0.9570645,0.023561325,range,range,1
2020-03-02,0.017403753,0.95756125,0.025035031,range,range,1
2020-03-03,0.06363001,0.8087712,0.12759882,range,range,1
2020-03-04,0.07714482,0.7201421,0.20271303,range,range,1
2020-03-05,0.12560648,0.6066245,0.26776907,range,range,1
2020-03-06,0.09675907,0.55984336,0.34339753,range,range,1
2020-03-07,0.11795055,0.45221093,0.4298385,range,range,1
2020-03-08,0.08996374,0.8376447,0.07239153,range,range,1
2020-03-09,0.05717859,0.8883823,0.0544391,range,range,1
2020-03-10,0.08508692,0.859931,0.054982122,range,range,1
2020-03-11,0.11776953,0.84267426,0.039556213,range,range,1
2020-03-12,0.5386443,0.31518978,0.1461659,downtrend,range,1
2020-03-13,0.65786195,0.24061736,0.10152069,downtrend,range,1
2020-03-14,0.56912196,0.27298674,0.15789133,downtrend,range,1
2020-03-15,0.5448365,0.25023496,0.20492847,downtrend,range,1
2020-03-16,0.6458392,0.24669658,0.107464194,downtrend,uptrend,1
2020-03-17,0.61914057,0.23278983,0.1480696,downtrend,uptrend,1
2020-03-18,0.532894,0.29965064,0.16745538,downtrend,uptrend,1
