date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2022-03-16,0.5105548368890543,0.07750322744356236,0.41194193566738324,Sell,Buy,1
2022-03-17,0.40915893517383106,0.24086245770018017,0.3499786071259888,Sell,Buy,1
2022-03-18,0.2547686692295098,0.4060424271111202,0.3391889036593699,Hold,Buy,1
2022-03-19,0.1903242497982419,0.487211056333917,0.3224646938678411,Hold,Buy,1
2022-03-20,0.4522224783021316,0.1538407044950831,0.3939368172027854,Sell,Buy,1
2022-03-21,0.4064167745520531,0.1659112197980111,0.42767200564993574,Buy,Buy,1
2022-03-22,0.2268874012176056,0.142451722874355,0.6306608759080393,Buy,Buy,1
2022-03-23,0.2042373666912248,0.16446481658220197,0.6312978167265731,Buy,Buy,1
2022-03-24,0.17389713041979843,0.13976497846263633,0.6863378911175653,Buy,Buy,1
2022-03-25,0.1800434937238804,0.19390802701833212,0.6260484792577875,Buy,Buy,1
2022-03-26,0.23811089535595215,0.4965975898862781,0.26529151475776963,Hold,Buy,1
2022-03-27,0.2812190947905926,0.18765880513328345,0.5311221000761239,Buy,Buy,1
2022-03-28,0.2450402331421064,0.07891170241794146,0.6760480644399521,Buy,Buy,1
2022-03-29,0.20193420822029973,0.0928276294572526,0.7052381623224476,Buy,Buy,1
2022-03-30,0.3382112474300111,0.30212303780949235,0.35966571476049664,Buy,Buy,1
2022-03-31,0.1667135283755655,0.24274411386339398,0.5905423577610405,Buy,Buy,1
2022-04-01,0.21829430985609666,0.29113808696880245,0.4905676031751009,Buy,Sell,1
2022-04-02,0.2757050893472017,0.23078789995124874,0.4935070107015495,Buy,Sell,1
2022-04-03,0.3141587384345903,0.38093259385497674,0.3049086677104329,Hold,Sell,1
2022-04-04,0.258943050760432,0.5445993188079662,0.1964576304316019,Hold,Sell,1
2022-04-05,0.275380709511472,0.282359644030011,0.442259646458517,Buy,Sell,1
2022-04-06,0.2768641095798493,0.4066818845471677,0.31645400587298295,Hold,Sell,1
2022-04-07,0.26379531475131685,0.2745053677684333,0.46169931748024984,Buy,Sell,1
2022-04-08,0.3571980899064504,0.21032393038880615,0.43247797970474344,Buy,Sell,1
2022-04-09,0.42963683682412884,0.2080645199727658,0.36229864320310545,Sell,Sell,1
2022-04-10,0.5092766899008495,0.15392097812120556,0.336802331977945,Sell,Sell,1
2022-04-11,0.21240309964448836,0.2926814732646158,0.4949154270908958,Buy,Buy,1
2022-04-12,0.21294064586650235,0.4539050571417672,0.3331542969917303,Hold,Hold,1
2022-04-13,0.2973176929103787,0.28622440184586284,0.41645790524375836,Buy,Sell,1
2022-04-14,0.2517514014281973,0.2032660642334268,0.544982534338376,Buy,Buy,1
2022-04-15,0.39375681218847786,0.22929800247912976,0.3769451853323924,Sell,Hold,1
2022-04-16,0.46337617319531216,0.18104385909852305,0.3555799677061649,Sell,Sell,1
2022-04-17,0.2376600342932935,0.2992571159043339,0.46308284980237263,Buy,Hold,1
2022-04-18,0.254441046955136,0.49007329647987613,0.25548565656498784,Hold,Sell,1
2022-04-19,0.4440216370155249,0.23792468401368919,0.3180536789707859,Sell,Sell,1
2022-04-20,0.41598621055347734,0.21848956928829458,0.36552422015822816,Sell,Sell,1
2022-04-21,0.370023908336,0.3387353340599469,0.29124075760405316,Sell,Sell,1
2022-04-22,0.351468972731362,0.24918750568797982,0.3993435215806582,Buy,Sell,1
2022-04-23,0.2743778132958105,0.18781929786872256,0.537802888835467,Buy,Hold,1
2022-04-24,0.23531260464179238,0.22401266115047244,0.5406747342077352,Buy,Sell,1
2022-04-25,0.39266671097578965,0.381488695801553,0.2258445932226573,Sell,Sell,1
2022-04-26,0.3231378660672442,0.2047659934349634,0.4720961404977923,Buy,Hold,1
2022-04-27,0.22281481141016857,0.47018259914790944,0.3070025894419219,Hold,Hold,1
2022-04-28,0.26847605478466735,0.5449556659129446,0.18656827930238792,Hold,Sell,1
2022-04-29,0.2630563342381728,0.2962302926550851,0.4407133731067421,Buy,Buy,1
2022-04-30,0.2921238840514144,0.09501694943937641,0.6128591665092092,Buy,Hold,1
2022-05-01,0.25334938242240646,0.1826241875054853,0.5640264300721083,Buy,Sell,1
2022-05-02,0.3627518385025202,0.39902316307399477,0.23822499842348516,Hold,Sell,1
2022-05-03,0.3702003002315852,0.14530233046407043,0.4844973693043445,Buy,Sell,1
2022-05-04,0.41851943531665614,0.3406830655292947,0.24079749915404916,Sell,Sell,1
2022-05-05,0.3191101619588817,0.2645180847438575,0.41637175329726084,Buy,Sell,1
2022-05-06,0.27767265043136136,0.29534515018585406,0.42698219938278464,Buy,Sell,1
2022-05-07,0.24350713360783469,0.14965118368210867,0.6068416827100567,Buy,Sell,1
2022-05-08,0.26535715592400505,0.20749569204877466,0.5271471520272203,Buy,Sell,1
2022-05-09,0.23452532845003962,0.24621021954335845,0.5192644520066019,Buy,Sell,1
2022-05-10,0.17758606561596577,0.21048908747924938,0.6119248469047849,Buy,Sell,1
2022-05-11,0.22702318969990604,0.3159349035297561,0.45704190677033785,Buy,Sell,1
2022-05-12,0.1984002472092979,0.2708834341812999,0.5307163186094022,Buy,Buy,1
2022-05-13,0.1515473111209633,0.26238760385065507,0.5860650850283816,Buy,Sell,1
2022-05-14,0.12796836905234496,0.2024246526990569,0.6696069782485983,Buy,Hold,1
2022-05-15,0.14352990500337473,0.14440070683354772,0.7120693881630776,Buy,Sell,1
2022-05-16,0.15114930078440955,0.16904001829124818,0.6798106809243422,Buy,Hold,1
2022-05-17,0.26840757902889056,0.19381179600331594,0.5377806249677936,Buy,Hold,1
2022-05-18,0.27141160343476206,0.18582486463869327,0.5427635319265447,Buy,Buy,1
2022-05-19,0.30046576925985236,0.22384193781324338,0.4756922929269042,Buy,Hold,1
2022-05-20,0.3577920227899437,0.18563488071020434,0.45657309649985184,Buy,Hold,1
2022-05-21,0.34476108670952454,0.2923369219231752,0.36290199136730034,Buy,Sell,1
2022-05-22,0.30081721009316903,0.3262536116068237,0.3729291783000073,Buy,Sell,1
2022-05-23,0.3789615420729086,0.3191522056360818,0.3018862522910095,Sell,Sell,1
2022-05-24,0.4406293041146426,0.25279843366627325,0.3065722622190841,Sell,Sell,1
2022-05-25,0.3792404352769189,0.3717982351860136,0.24896132953706743,Sell,Buy,1
2022-05-26,0.41749686525903795,0.29781533887968725,0.2846877958612747,Sell,Buy,1
2022-05-27,0.29380776623613414,0.3274420534540788,0.3787501803097871,Buy,Buy,1
2022-05-28,0.2636313273490529,0.24869542934905367,0.4876732433018934,Buy,Buy,1
2022-05-29,0.46345531152412933,0.15210240332768932,0.3844422851481814,Sell,Hold,1
2022-05-30,0.5754502307477655,0.21061742034205574,0.21393234891017876,Sell,Sell,1
2022-05-31,0.4641514679644073,0.12124411296969466,0.4146044190658979,Sell,Sell,1
2022-06-01,0.41665744696095336,0.2934899891389379,0.28985256390010883,Sell,Hold,1
2022-06-02,0.42523968757088493,0.16344682386123674,0.4113134885678783,Sell,Hold,1
2022-06-03,0.47077465655069184,0.2109448142909642,0.31828052915834393,Sell,Hold,1
2022-06-04,0.6140594566541707,0.18705852272238943,0.19888202062343982,Sell,Hold,1
2022-06-05,0.6675494404880594,0.1233738278756981,0.2090767316362425,Sell,Sell,1
2022-06-06,0.5453839625760851,0.1325714966364335,0.3220445407874815,Sell,Sell,1
2022-06-07,0.42005462189390513,0.1703277986888204,0.4096175794172744,Sell,Sell,1
2022-06-08,0.4086017375967947,0.39437661793849976,0.19702164446470546,Sell,Sell,1
2022-06-09,0.43101022963856844,0.2947143455977459,0.27427542476368566,Sell,Sell,1
2022-06-10,0.3407911945644878,0.2947835731849076,0.3644252322506046,Buy,Sell,1
2022-06-11,0.3592739919045762,0.29119283881865776,0.3495331692767661,Sell,Sell,1
2022-06-12,0.31850504037893834,0.2628729275483567,0.41862203207270493,Buy,Sell,1
2022-06-13,0.3030665181762751,0.22008500604537676,0.476848475778348,Buy,Sell,1
2022-06-14,0.2507413674045651,0.1932602686086788,0.5559983639867561,Buy,Sell,1
2022-06-15,0.1763113187472787,0.2323364289470377,0.5913522523056837,Buy,Sell,1
2022-06-16,0.13294578100503204,0.13679095067651906,0.7302632683184489,Buy,Buy,1
2022-06-17,0.12065992132158805,0.12011007230218473,0.7592300063762272,Buy,Sell,1
2022-06-18,0.1693145110087904,0.17178999902986516,0.6588954899613445,Buy,Buy,1
2022-06-19,0.21834607124530012,0.20157873090054892,0.5800751978541511,Buy,Buy,1
2022-06-20,0.30961985522355856,0.17946707614649093,0.5109130686299505,Buy,Buy,1
2022-06-21,0.3865211709997689,0.26011946521087626,0.3533593637893549,Sell,Buy,1
2022-06-22,0.3506815054282732,0.23935606343356788,0.409962431138159,Buy,Buy,1
2022-06-23,0.23269164437745274,0.456066566271656,0.31124178935089114,Hold,Hold,1
2022-06-24,0.33654147373654625,0.43828927040604587,0.22516925585740788,Hold,Sell,1
2022-06-25,0.33125769305055375,0.4606182803826634,0.20812402656678278,Hold,Sell,1
2022-06-26,0.4026665976029956,0.42143464090894306,0.1758987614880614,Hold,Sell,1
2022-06-27,0.36993980401849536,0.4273601361385511,0.2027000598429534,Hold,Sell,1
2022-06-28,0.39392217507312005,0.4103657726690701,0.19571205225780994,Hold,Sell,1
2022-06-29,0.38651230784350454,0.43793894740100164,0.1755487447554938,Hold,Buy,1
2022-06-30,0.3980350848222761,0.3809748603477861,0.22099005482993778,Sell,Buy,1
2022-07-01,0.4724836919658011,0.3092271610687909,0.21828914696540794,Sell,Buy,1
2022-07-02,0.5078632524697204,0.21762485331675174,0.2745118942135279,Sell,Buy,1
2022-07-03,0.6263497675103031,0.1408511635132744,0.23279906897642247,Sell,Buy,1
2022-07-04,0.5532795172786169,0.17760183981818778,0.26911864290319537,Sell,Buy,1
2022-07-05,0.41048851653473617,0.4224889177025385,0.16702256576272534,Hold,Hold,1
2022-07-06,0.4441827872935172,0.27871356742744696,0.2771036452790358,Sell,Sell,1
2022-07-07,0.3812806072837077,0.345683149525471,0.27303624319082126,Sell,Sell,1
2022-07-08,0.38532207295487236,0.36390592164013,0.2507720054049977,Sell,Sell,1
2022-07-09,0.46434959331327974,0.28436987350705667,0.2512805331796635,Sell,Sell,1
2022-07-10,0.47841808579111333,0.3596906388771756,0.16189127533171097,Sell,Buy,1
2022-07-11,0.40648069579882556,0.2805033055885617,0.3130159986126127,Sell,Buy,1
2022-07-12,0.3536712380942113,0.1677072462503672,0.4786215156554214,Buy,Buy,1
2022-07-13,0.46359468385555447,0.2892716172668125,0.247133698877633,Sell,Buy,1
2022-07-14,0.5306488985420448,0.21263218683525667,0.25671891462269864,Sell,Buy,1
2022-07-15,0.42613095887957886,0.25437174294838283,0.3194972981720382,Sell,Buy,1
2022-07-16,0.4656592699795681,0.19281541110770423,0.34152531891272764,Sell,Buy,1
2022-07-17,0.4476461871437133,0.22850500592536543,0.32384880693092133,Sell,Buy,1
2022-07-18,0.4304636528749101,0.15158385904117344,0.41795248808391644,Sell,Hold,1
2022-07-19,0.37879008478432535,0.15264059466354524,0.4685693205521295,Buy,Buy,1
2022-07-20,0.23357850388103527,0.130192890041666,0.6362286060772988,Buy,Sell,1
2022-07-21,0.27243827614821825,0.28842181260883976,0.43913991124294194,Buy,Sell,1
2022-07-22,0.20690881553050966,0.31562494041650696,0.4774662440529835,Buy,Buy,1
2022-07-23,0.264673301434097,0.18349479727610338,0.5518319012897996,Buy,Buy,1
2022-07-24,0.291048547647335,0.38561081748707027,0.3233406348655948,Hold,Buy,1
2022-07-25,0.5051401540406517,0.18748244441631415,0.3073774015430342,Sell,Buy,1
2022-07-26,0.5511706468422949,0.12555265497329005,0.32327669818441507,Sell,Buy,1
2022-07-27,0.33548880764129513,0.306931655987821,0.3575795363708838,Buy,Hold,1
2022-07-28,0.3148076176622659,0.2618557476299027,0.4233366347078314,Buy,Sell,1
2022-07-29,0.24729208940923728,0.47843250294497874,0.27427540764578395,Hold,Sell,1
2022-07-30,0.147255478601787,0.23665318733769594,0.6160913340605172,Buy,Sell,1
2022-07-31,0.3067402658791096,0.2578800616116297,0.4353796725092608,Buy,Hold,1
2022-08-01,0.2547748732788573,0.14005840592224592,0.6051667207988969,Buy,Buy,1
2022-08-02,0.3144302654457484,0.08854895937096911,0.5970207751832824,Buy,Buy,1
2022-08-03,0.3612011212619698,0.2231208841851015,0.41567799455292864,Buy,Buy,1
2022-08-04,0.20622957137942421,0.4007429568260531,0.39302747179452274,Hold,Buy,1
2022-08-05,0.40583675815596215,0.3522623141455479,0.24190092769848995,Sell,Buy,1
2022-08-06,0.4642229807916399,0.22196355793199543,0.31381346127636456,Sell,Buy,1
2022-08-07,0.3979465502730649,0.26026886996857124,0.341784579758364,Sell,Buy,1
