date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2022-03-16,0.5069801657639322,0.050521897355126334,0.44249793688094147,Sell,Buy,1
2022-03-17,0.254348176744879,0.09352130389773608,0.6521305193573849,Buy,Buy,1
2022-03-18,0.014951200612579551,0.7703939326593503,0.21465486672807013,Hold,Buy,1
2022-03-19,0.005821591965721361,0.2773566347934397,0.716821773240839,Buy,Buy,1
2022-03-20,0.06671838054394943,0.07698099712050478,0.8563006223355458,Buy,Buy,1
2022-03-21,0.019325862970594024,0.061070962465666526,0.9196031745637395,Buy,Buy,1
2022-03-22,0.014210083781037752,0.010322251848986807,0.9754676643699753,Buy,Buy,1
2022-03-23,0.008087832678051372,0.4080384130766257,0.583873754245323,Buy,Buy,1
2022-03-24,0.009781737976736279,0.004030568672208113,0.9861876933510557,Buy,Buy,1
2022-03-25,0.003079416292642887,0.007836355766439618,0.9890842279409174,Buy,Buy,1
2022-03-26,0.002316290838055492,3.941580181688275e-05,0.9976442933601276,Buy,Buy,1
2022-03-27,0.06604519963637129,0.05926138313928908,0.8746934172243397,Buy,Buy,1
2022-03-28,0.018698718369946004,5.270166850025398e-06,0.981296011463204,Buy,Buy,1
2022-03-29,0.05547151142566943,0.00011410204381775154,0.9444143865305129,Buy,Buy,1
2022-03-30,0.2846607454859126,0.2748901806052768,0.4404490739088107,Buy,Buy,1
2022-03-31,0.011867010842845782,0.052139071853981235,0.935993917303173,Buy,Buy,1
2022-04-01,0.10092506136646957,0.00325785453742691,0.8958170840961035,Buy,Sell,1
2022-04-02,0.07534924042048355,0.00019762925442581798,0.9244531303250906,Buy,Sell,1
2022-04-03,0.8976024228773449,0.014684577234311423,0.08771299988834358,Sell,Sell,1
2022-04-04,0.3749906758469242,0.590875330096811,0.034133994056264785,Hold,Sell,1
2022-04-05,0.011818462380851037,0.6720466521112116,0.31613488550793734,Hold,Sell,1
2022-04-06,0.014408802769287379,0.6047869184898867,0.3808042787408259,Hold,Sell,1
2022-04-07,0.047713627532779995,0.5993384909491125,0.3529478815181076,Hold,Sell,1
2022-04-08,0.023653025558558194,0.6829619508322057,0.2933850236092361,Hold,Sell,1
2022-04-09,0.005504188222128528,0.031568224378959286,0.9629275873989123,Buy,Sell,1
2022-04-10,0.04534656360058144,0.09186556530480076,0.8627878710946177,Buy,Sell,1
2022-04-11,0.03210100375867324,0.630431281298442,0.3374677149428848,Hold,Buy,1
2022-04-12,0.04124325851173315,0.6312255917876824,0.32753114970058445,Hold,Hold,1
2022-04-13,0.19862385234130062,0.2157367178431534,0.585639429815546,Buy,Sell,1
2022-04-14,0.0014900921467656848,0.04896253530590503,0.9495473725473293,Buy,Buy,1
2022-04-15,0.0035196301947777713,0.013524402527331461,0.9829559672778907,Buy,Hold,1
2022-04-16,0.001558586561660799,0.0095839833446878,0.9888574300936515,Buy,Sell,1
2022-04-17,0.00037560309242439243,0.005273203876742113,0.9943511930308334,Buy,Hold,1
2022-04-18,0.06519220928288515,0.6585867673712479,0.27622102334586696,Hold,Sell,1
2022-04-19,0.38424526514349894,0.33348766433487803,0.28226707052162303,Sell,Sell,1
2022-04-20,0.6030613173459511,0.2617996224274266,0.13513906022662225,Sell,Sell,1
2022-04-21,0.09438246688544738,0.5827352680992401,0.3228822650153123,Hold,Sell,1
2022-04-22,0.009832069926954531,0.6583212654900955,0.33184666458295,Hold,Sell,1
2022-04-23,0.004942158021874078,0.008241095875422143,0.9868167461027039,Buy,Hold,1
2022-04-24,0.00575450747786455,0.013998232713197289,0.9802472598089381,Buy,Sell,1
2022-04-25,0.9646285656471837,0.0013244959149694758,0.03404693843784674,Sell,Sell,1
2022-04-26,0.5042215272332609,0.18502914034278062,0.3107493324239586,Sell,Hold,1
2022-04-27,0.2520360731711938,0.40059249204784203,0.34737143478096416,Hold,Hold,1
2022-04-28,0.15415915438214028,0.1576942562522694,0.6881465893655904,Buy,Sell,1
2022-04-29,0.43830672033469886,0.27317915887602273,0.28851412078927835,Sell,Buy,1
2022-04-30,0.00941736900106205,0.012472790033721847,0.978109840965216,Buy,Hold,1
2022-05-01,0.10717172120658958,0.4107399834441259,0.4820882953492846,Buy,Sell,1
2022-05-02,0.1628836988860962,0.28800800282960315,0.5491082982843006,Buy,Sell,1
2022-05-03,0.044829343106931735,0.09902848617531565,0.8561421707177527,Buy,Sell,1
2022-05-04,0.22228563430770445,0.06499291034204681,0.7127214553502488,Buy,Sell,1
2022-05-05,0.6067696604125536,0.002545631054173996,0.3906847085332725,Sell,Sell,1
2022-05-06,0.7794632440964785,0.014202068767706353,0.20633468713581538,Sell,Sell,1
2022-05-07,0.08383624160121526,0.03419535368471309,0.8819684047140718,Buy,Sell,1
2022-05-08,0.6832933361997047,0.12420826168699181,0.1924984021133036,Sell,Sell,1
2022-05-09,0.3302280324817404,0.012709255161494399,0.6570627123567652,Buy,Sell,1
2022-05-10,0.028803252915777636,0.021094127112997907,0.9501026199712245,Buy,Sell,1
2022-05-11,0.007037059057454387,0.014389527416862015,0.9785734135256836,Buy,Sell,1
