date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2022-03-16,0.5074783269841671,0.1362997286695376,0.35622194434629517,Sell,Buy,1
2022-03-17,0.6395957530767055,0.09221657859948504,0.26818766832380947,Sell,Buy,1
2022-03-18,0.5738015956735794,0.11696536788947957,0.30923303643694133,Sell,Buy,1
2022-03-19,0.5170497633721803,0.14635811931033757,0.33659211731748223,Sell,Buy,1
2022-03-20,0.5160979397037917,0.18031884053084954,0.30358321976535874,Sell,Buy,1
2022-03-21,0.4259257556061358,0.15517851355247209,0.4188957308413924,Sell,Buy,1
2022-03-22,0.3654010972371382,0.13534883126526562,0.49925007149759587,Buy,Buy,1
2022-03-23,0.34259344560199373,0.20790069087090202,0.44950586352710414,Buy,Buy,1
2022-03-24,0.32951248767950986,0.20035660013950743,0.47013091218098263,Buy,Buy,1
2022-03-25,0.3284186805094785,0.18407375914157564,0.4875075603489459,Buy,Buy,1
2022-03-26,0.33941663459131616,0.23462274768977187,0.425960617718912,Buy,Buy,1
2022-03-27,0.36006124765377906,0.22999795330187348,0.4099407990443476,Buy,Buy,1
2022-03-28,0.38497434889208326,0.15351161759916712,0.4615140335087497,Buy,Buy,1
2022-03-29,0.3813044653751718,0.16739546102797073,0.4513000735968575,Buy,Buy,1
2022-03-30,0.38467105212459385,0.21237203325203496,0.4029569146233716,Buy,Buy,1
2022-03-31,0.32474246478650765,0.22834690334135999,0.44691063187213254,Buy,Buy,1
2022-04-01,0.31131782598772856,0.2608108285333858,0.4278713454788858,Buy,Sell,1
2022-04-02,0.2946063659191643,0.23408259768178938,0.47131103639904653,Buy,Sell,1
2022-04-03,0.36791626485807244,0.23244329732785418,0.39964043781407366,Buy,Sell,1
2022-04-04,0.3434588453178831,0.25006621951090563,0.40647493517121186,Buy,Sell,1
2022-04-05,0.2848784992635012,0.22634753512297617,0.4887739656135228,Buy,Sell,1
2022-04-06,0.32583981646419563,0.3021271263021061,0.37203305723369834,Buy,Sell,1
2022-04-07,0.3360688861006943,0.2824855033842936,0.381445610515012,Buy,Sell,1
2022-04-08,0.30505038853418653,0.27347226628108356,0.42147734518472996,Buy,Sell,1
2022-04-09,0.3117628174709674,0.23845763541458287,0.44977954711444995,Buy,Sell,1
2022-04-10,0.3213384464633333,0.24033449796682088,0.4383270555698459,Buy,Sell,1
2022-04-11,0.275887845061866,0.3016667813740453,0.4224453735640888,Buy,Buy,1
2022-04-12,0.28816586789136095,0.34009874599880574,0.37173538610983364,Buy,Hold,1
2022-04-13,0.3227294696635448,0.3166504841226291,0.36062004621382615,Buy,Sell,1
2022-04-14,0.28247580261748506,0.3214667027937974,0.3960574945887179,Buy,Buy,1
2022-04-15,0.2734841012330517,0.31963918113957995,0.40687671762736877,Buy,Hold,1
2022-04-16,0.31149636336701536,0.2962953806085139,0.39220825602447096,Buy,Sell,1
2022-04-17,0.20330286825379892,0.3560755976036859,0.44062153414251565,Buy,Hold,1
2022-04-18,0.25258259829251833,0.42179545985661193,0.3256219418508697,Hold,Sell,1
2022-04-19,0.43405109015457904,0.25304229867819483,0.31290661116722607,Sell,Sell,1
