date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2022-03-16,0.58890396,0.0400182,0.37107784,Sell,Buy,1
2022-03-17,0.8494932,0.020352334,0.13015448,Sell,Buy,1
2022-03-18,0.77817756,0.070243075,0.15157937,Sell,Buy,1
2022-03-19,0.7442038,0.09483496,0.16096121,Sell,Buy,1
2022-03-20,0.68637437,0.14435236,0.16927332,Sell,Buy,1
2022-03-21,0.39895746,0.062180653,0.53886193,Buy,Buy,1
2022-03-22,0.26297536,0.067637816,0.6693868,Buy,Buy,1
2022-03-23,0.25216836,0.07172774,0.67610395,Buy,Buy,1
2022-03-24,0.16596507,0.064850725,0.7691842,Buy,Buy,1
2022-03-25,0.23989981,0.08046492,0.6796352,Buy,Buy,1
2022-03-26,0.20631197,0.35540143,0.43828657,Buy,Buy,1
2022-03-27,0.30059275,0.2795369,0.41987038,Buy,Buy,1
2022-03-28,0.1342079,0.048432343,0.81735975,Buy,Buy,1
2022-03-29,0.11832505,0.07242249,0.80925244,Buy,Buy,1
2022-03-30,0.18509553,0.34209633,0.47280818,Buy,Buy,1
2022-03-31,0.20497338,0.21998037,0.57504624,Buy,Buy,1
2022-04-01,0.2354366,0.26581377,0.49874964,Buy,Sell,1
2022-04-02,0.29226276,0.23241289,0.47532436,Buy,Sell,1
2022-04-03,0.3153944,0.3636644,0.32094118,Hold,Sell,1
2022-04-04,0.30212864,0.41821748,0.27965388,Hold,Sell,1
2022-04-05,0.26781428,0.1439033,0.5882824,Buy,Sell,1
2022-04-06,0.34951404,0.34078354,0.30970246,Sell,Sell,1
2022-04-07,0.34830457,0.29172003,0.3599754,Buy,Sell,1
2022-04-08,0.32072228,0.2054419,0.47383586,Buy,Sell,1
2022-04-09,0.24941607,0.23379034,0.5167936,Buy,Sell,1
2022-04-10,0.31839213,0.21312623,0.4684817,Buy,Sell,1
2022-04-11,0.16108131,0.22124813,0.61767054,Buy,Buy,1
2022-04-12,0.20720729,0.50277853,0.2900142,Hold,Hold,1
2022-04-13,0.2674688,0.40606636,0.32646483,Hold,Sell,1
2022-04-14,0.32980204,0.31759062,0.3526073,Buy,Buy,1
2022-04-15,0.27351347,0.23308873,0.4933977,Buy,Hold,1
2022-04-16,0.31008685,0.26849097,0.42142212,Buy,Sell,1
2022-04-17,0.118616775,0.49832076,0.38306248,Hold,Hold,1
2022-04-18,0.21863101,0.6500719,0.13129707,Hold,Sell,1
2022-04-19,0.7845155,0.07061333,0.14487115,Sell,Sell,1
2022-04-20,0.7091396,0.072909206,0.2179512,Sell,Sell,1
2022-04-21,0.26941428,0.55093527,0.17965046,Hold,Sell,1
2022-04-22,0.22409746,0.6110711,0.16483141,Hold,Sell,1
2022-04-23,0.115058966,0.45687193,0.42806914,Hold,Hold,1
2022-04-24,0.113646135,0.4719324,0.41442147,Hold,Sell,1
2022-04-25,0.43941495,0.38306168,0.1775234,Sell,Sell,1
2022-04-26,0.07644084,0.059868027,0.86369115,Buy,Hold,1
2022-04-27,0.104508325,0.39726514,0.49822652,Buy,Hold,1
2022-04-28,0.21140572,0.33388373,0.45471057,Buy,Sell,1
2022-04-29,0.12398944,0.06610601,0.8099045,Buy,Buy,1
2022-04-30,0.08698098,0.033527248,0.87949175,Buy,Hold,1
2022-05-01,0.37482482,0.12910739,0.49606782,Buy,Sell,1
2022-05-02,0.4706336,0.17362347,0.35574293,Sell,Sell,1
2022-05-03,0.44437492,0.064951114,0.49067402,Buy,Sell,1
2022-05-04,0.61280775,0.1076109,0.2795813,Sell,Sell,1
2022-05-05,0.54052216,0.087920904,0.37155694,Sell,Sell,1
2022-05-06,0.37965405,0.12564689,0.49469906,Buy,Sell,1
2022-05-07,0.23815514,0.06900428,0.6928406,Buy,Sell,1
2022-05-08,0.16690308,0.06493384,0.7681631,Buy,Sell,1
2022-05-09,0.053263593,0.12791213,0.81882423,Buy,Sell,1
2022-05-10,0.06593777,0.10105756,0.8330047,Buy,Sell,1
2022-05-11,0.10919234,0.13190523,0.7589024,Buy,Sell,1
2022-05-12,0.07674178,0.17937441,0.7438838,Buy,Buy,1
2022-05-13,0.05309129,0.13055627,0.8163525,Buy,Sell,1
2022-05-14,0.101027556,0.21804483,0.68092763,Buy,Hold,1
