date,P_Sell,P_Hold,P_Buy,P_Sell_cal,P_Hold_cal,P_Buy_cal,pred_label,pred_label_cal,true_label,fold
2022-03-16,0.37813738,0.15207677,0.46978584,0.4121349,0.14394027,0.44392487,Buy,Buy,Buy,1
2022-03-17,0.26739353,0.30955738,0.42304912,0.38575983,0.19872476,0.4155154,Buy,Buy,Buy,1
2022-03-18,0.3446449,0.24353777,0.4118173,0.4121349,0.14394027,0.44392487,Buy,Buy,Buy,1
2022-03-19,0.5048649,0.19338204,0.301753,0.42736298,0.14925876,0.42337823,Sell,Sell,Buy,1
2022-03-20,0.46133047,0.18123598,0.3574336,0.4202461,0.14677316,0.4329808,Sell,Buy,Buy,1
2022-03-21,0.2670258,0.1708545,0.5621197,0.32201415,0.11246513,0.5655207,Buy,Buy,Buy,1
2022-03-22,0.30930147,0.14136413,0.5493344,0.37919953,0.13243744,0.48836303,Buy,Buy,Buy,1
2022-03-23,0.32142216,0.10450703,0.5740709,0.32486853,0.10459782,0.5705336,Buy,Buy,Buy,1
2022-03-24,0.2657226,0.075604334,0.65867305,0.32486853,0.10459782,0.5705336,Buy,Buy,Buy,1
2022-03-25,0.33699927,0.15980648,0.5031943,0.4121349,0.14394027,0.44392487,Buy,Buy,Buy,1
2022-03-26,0.51355815,0.31298944,0.17345242,0.56147623,0.28924534,0.1492784,Sell,Sell,Buy,1
2022-03-27,0.26177227,0.10663972,0.63158804,0.32486853,0.10459782,0.5705336,Buy,Buy,Buy,1
2022-03-28,0.2904902,0.065912314,0.6435975,0.33546892,0.075381175,0.58914995,Buy,Buy,Buy,1
2022-03-29,0.25837824,0.08122519,0.66039664,0.32486853,0.10459782,0.5705336,Buy,Buy,Buy,1
2022-03-30,0.39437726,0.22491993,0.38070285,0.4121349,0.14394027,0.44392487,Sell,Buy,Buy,1
2022-03-31,0.21242753,0.2632093,0.52436316,0.39835945,0.1473132,0.4543273,Buy,Buy,Buy,1
2022-04-01,0.28300577,0.22395834,0.49303588,0.4121349,0.14394027,0.44392487,Buy,Buy,Sell,1
2022-04-02,0.30533752,0.2694472,0.42521527,0.4056334,0.15744472,0.4369219,Buy,Buy,Sell,1
2022-04-03,0.4343385,0.27142924,0.29423228,0.40944937,0.18491897,0.40563166,Sell,Sell,Sell,1
2022-04-04,0.34179047,0.49037576,0.16783376,0.5778383,0.33074918,0.0914125,Hold,Sell,Sell,1
2022-04-05,0.2184055,0.48461914,0.29697534,0.3766462,0.22827041,0.3950834,Hold,Buy,Sell,1
2022-04-06,0.26570186,0.4529104,0.28138772,0.4113573,0.23545705,0.3531856,Hold,Sell,Sell,1
2022-04-07,0.28085876,0.38634,0.33280122,0.3901576,0.22332254,0.3865198,Hold,Sell,Sell,1
2022-04-08,0.25531805,0.1753473,0.5693346,0.32201415,0.11246513,0.5655207,Buy,Buy,Sell,1
2022-04-09,0.38429123,0.3350424,0.28066638,0.4212766,0.21702127,0.36170214,Sell,Sell,Sell,1
2022-04-10,0.48955327,0.16836149,0.34208524,0.42736298,0.14925876,0.42337823,Sell,Sell,Sell,1
2022-04-11,0.29910058,0.2730393,0.4278602,0.38754693,0.19501273,0.41744035,Buy,Buy,Buy,1
2022-04-12,0.35035485,0.2772069,0.37243822,0.39285713,0.20238094,0.40476188,Buy,Buy,Hold,1
2022-04-13,0.3043481,0.30735973,0.3882922,0.38575983,0.19872476,0.4155154,Buy,Buy,Sell,1
2022-04-14,0.42504436,0.1317956,0.44316003,0.4121349,0.14394027,0.44392487,Buy,Buy,Buy,1
2022-04-15,0.35677817,0.20083813,0.44238365,0.4121349,0.14394027,0.44392487,Buy,Buy,Hold,1
2022-04-16,0.41667235,0.18821587,0.39511183,0.4121349,0.14394027,0.44392487,Sell,Buy,Sell,1
2022-04-17,0.2836551,0.3510624,0.36528254,0.38421735,0.21992238,0.39586028,Buy,Buy,Hold,1
2022-04-18,0.24568327,0.5662444,0.18807228,0.49957946,0.28595456,0.21446593,Hold,Sell,Sell,1
2022-04-19,0.4128921,0.28207168,0.30503628,0.3990698,0.2055814,0.39534885,Sell,Sell,Sell,1
2022-04-20,0.24587156,0.25856277,0.49556562,0.4121349,0.14394027,0.44392487,Buy,Buy,Sell,1
2022-04-21,0.17996097,0.35505855,0.46498048,0.3640923,0.220662,0.41524574,Buy,Buy,Sell,1
2022-04-22,0.17854655,0.20604801,0.61540544,0.30966428,0.11451375,0.575822,Buy,Buy,Sell,1
2022-04-23,0.08223025,0.23427431,0.68349546,0.2864499,0.10592909,0.607621,Buy,Buy,Hold,1
2022-04-24,0.12130738,0.25877392,0.61991864,0.30966428,0.11451375,0.575822,Buy,Buy,Sell,1
2022-04-25,0.30825472,0.4025449,0.28920037,0.3901576,0.22332254,0.3865198,Hold,Sell,Sell,1
2022-04-26,0.20275316,0.25486904,0.54237777,0.3658399,0.13528748,0.49887255,Buy,Buy,Hold,1
2022-04-27,0.09653133,0.67452294,0.22894576,0.46478876,0.28169015,0.25352114,Hold,Sell,Hold,1
2022-04-28,0.2122052,0.4541223,0.33367246,0.3766462,0.22827041,0.3950834,Hold,Buy,Sell,1
2022-04-29,0.20213,0.31363288,0.4842371,0.3723077,0.20307693,0.42461535,Buy,Buy,Buy,1
2022-04-30,0.20159917,0.14000288,0.658398,0.30966428,0.11451375,0.575822,Buy,Buy,Hold,1
2022-05-01,0.1152215,0.24655123,0.6382272,0.30966428,0.11451375,0.575822,Buy,Buy,Sell,1
2022-05-02,0.13784543,0.5913832,0.2707713,0.39759037,0.24096385,0.36144578,Hold,Sell,Sell,1
2022-05-03,0.24604721,0.15431342,0.59963936,0.32201415,0.11246513,0.5655207,Buy,Buy,Sell,1
2022-05-04,0.2784775,0.34674022,0.37478235,0.38242045,0.21889386,0.3986857,Buy,Buy,Sell,1
2022-05-05,0.29506618,0.2168504,0.4880834,0.4121349,0.14394027,0.44392487,Buy,Buy,Sell,1
2022-05-06,0.22185695,0.34239644,0.43574664,0.3640923,0.220662,0.41524574,Buy,Buy,Sell,1
2022-05-07,0.18027517,0.24586233,0.5738625,0.30966428,0.11451375,0.575822,Buy,Buy,Sell,1
2022-05-08,0.15976381,0.25500917,0.585227,0.30966428,0.11451375,0.575822,Buy,Buy,Sell,1
2022-05-09,0.30004978,0.22055247,0.47939768,0.4121349,0.14394027,0.44392487,Buy,Buy,Sell,1
2022-05-10,0.15677726,0.15473232,0.68849045,0.2864499,0.10592909,0.607621,Buy,Buy,Sell,1
2022-05-11,0.20080847,0.27269572,0.5264958,0.37570804,0.19579847,0.42849347,Buy,Buy,Sell,1
2022-05-12,0.33200797,0.15843278,0.5095593,0.4121349,0.14394027,0.44392487,Buy,Buy,Buy,1
2022-05-13,0.13071288,0.14006948,0.72921765,0.2864499,0.10592909,0.607621,Buy,Buy,Sell,1
2022-05-14,0.13069494,0.18497358,0.6843315,0.2864499,0.10592909,0.607621,Buy,Buy,Hold,1
2022-05-15,0.08732021,0.2567234,0.6559563,0.30966428,0.11451375,0.575822,Buy,Buy,Sell,1
2022-05-16,0.09002882,0.16796128,0.7420099,0.2864499,0.10592909,0.607621,Buy,Buy,Hold,1
2022-05-17,0.099415176,0.28950375,0.61108106,0.29368934,0.16019417,0.54611653,Buy,Buy,Hold,1
2022-05-18,0.2324428,0.28668678,0.48087046,0.38575983,0.19872476,0.4155154,Buy,Buy,Buy,1
