date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2022-03-16,0.4539394,0.19475372,0.35130686,Sell,Buy,1
2022-03-17,0.6314454,0.12947387,0.23908067,Sell,Buy,1
2022-03-18,0.58311284,0.18666793,0.23021926,Sell,Buy,1
2022-03-19,0.5703396,0.18095618,0.24870418,Sell,Buy,1
2022-03-20,0.56037,0.20822662,0.23140337,Sell,Buy,1
2022-03-21,0.4088265,0.171289,0.41988453,Buy,Buy,1
2022-03-22,0.38554192,0.15566222,0.45879588,Buy,Buy,1
2022-03-23,0.3836887,0.17256568,0.4437456,Buy,Buy,1
2022-03-24,0.31786424,0.15131716,0.53081864,Buy,Buy,1
2022-03-25,0.3801668,0.16839913,0.45143405,Buy,Buy,1
2022-03-26,0.38339952,0.25053203,0.36606842,Sell,Buy,1
2022-03-27,0.3313156,0.23646043,0.43222398,Buy,Buy,1
2022-03-28,0.35652158,0.15431039,0.489168,Buy,Buy,1
2022-03-29,0.33512443,0.20638506,0.45849055,Buy,Buy,1
2022-03-30,0.31248695,0.27882427,0.40868878,Buy,Buy,1
2022-03-31,0.38038525,0.22979157,0.3898232,Buy,Buy,1
2022-04-01,0.31912005,0.3233226,0.35755736,Buy,Sell,1
2022-04-02,0.36051625,0.24098891,0.39849487,Buy,Sell,1
2022-04-03,0.37972897,0.28705883,0.33321217,Sell,Sell,1
2022-04-04,0.3821678,0.305865,0.31196725,Sell,Sell,1
2022-04-05,0.39377046,0.1977502,0.4084793,Buy,Sell,1
2022-04-06,0.29486594,0.36706704,0.33806702,Hold,Sell,1
2022-04-07,0.29940617,0.37000456,0.3305893,Hold,Sell,1
2022-04-08,0.278557,0.33321854,0.38822445,Buy,Sell,1
2022-04-09,0.2904181,0.36697745,0.3426045,Hold,Sell,1
2022-04-10,0.29273024,0.33634442,0.3709253,Buy,Sell,1
2022-04-11,0.24006572,0.31656668,0.44336763,Buy,Buy,1
2022-04-12,0.34492525,0.39777732,0.25729746,Hold,Hold,1
2022-04-13,0.41170144,0.3843054,0.20399319,Sell,Sell,1
2022-04-14,0.39913917,0.34421986,0.25664094,Sell,Buy,1
2022-04-15,0.33946863,0.296004,0.36452737,Buy,Hold,1
2022-04-16,0.452397,0.27886263,0.2687404,Sell,Sell,1
2022-04-17,0.1915795,0.4533182,0.35510224,Hold,Hold,1
2022-04-18,0.28788206,0.5543299,0.15778807,Hold,Sell,1
2022-04-19,0.62274146,0.19480914,0.18244942,Sell,Sell,1
2022-04-20,0.59833556,0.19021212,0.21145235,Sell,Sell,1
2022-04-21,0.26421955,0.5359485,0.1998319,Hold,Sell,1
2022-04-22,0.28846633,0.48458564,0.22694798,Hold,Sell,1
2022-04-23,0.21355216,0.4624111,0.32403672,Hold,Hold,1
2022-04-24,0.18966778,0.44221303,0.36811915,Hold,Sell,1
2022-04-25,0.4414061,0.40262792,0.15596595,Sell,Sell,1
2022-04-26,0.21252981,0.21298388,0.5744863,Buy,Hold,1
2022-04-27,0.19529112,0.3511731,0.45353585,Buy,Hold,1
2022-04-28,0.26350647,0.37399048,0.36250302,Hold,Sell,1
2022-04-29,0.21195921,0.19231617,0.59572464,Buy,Buy,1
2022-04-30,0.21687552,0.15352578,0.6295987,Buy,Hold,1
2022-05-01,0.34683937,0.252946,0.4002147,Buy,Sell,1
2022-05-02,0.35370794,0.30002862,0.34626344,Sell,Sell,1
2022-05-03,0.3898846,0.15801151,0.45210394,Buy,Sell,1
2022-05-04,0.44333577,0.26016468,0.2964995,Sell,Sell,1
2022-05-05,0.40106115,0.23949108,0.35944775,Sell,Sell,1
2022-05-06,0.3090243,0.24720854,0.44376722,Buy,Sell,1
2022-05-07,0.24895911,0.16223598,0.5888049,Buy,Sell,1
2022-05-08,0.2532508,0.18656658,0.56018263,Buy,Sell,1
2022-05-09,0.13272189,0.22699581,0.6402823,Buy,Sell,1
