date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2022-03-16,0.662989,0.035209946,0.30180097,Sell,Buy,1
2022-03-17,0.7088952,0.11086578,0.18023899,Sell,Buy,1
2022-03-18,0.7159049,0.17824242,0.10585268,Sell,Buy,1
2022-03-19,0.66592133,0.19023667,0.14384197,Sell,Buy,1
2022-03-20,0.77491724,0.036406524,0.18867622,Sell,Buy,1
2022-03-21,0.7054674,0.041145056,0.2533875,Sell,Buy,1
2022-03-22,0.6170467,0.043262415,0.33969086,Sell,Buy,1
2022-03-23,0.5461158,0.03681115,0.417073,Sell,Buy,1
2022-03-24,0.38635424,0.033840243,0.5798055,Buy,Buy,1
2022-03-25,0.47510698,0.04348675,0.48140624,Buy,Buy,1
2022-03-26,0.55692965,0.31540927,0.1276611,Sell,Buy,1
2022-03-27,0.38246408,0.051804133,0.56573176,Buy,Buy,1
2022-03-28,0.14464295,0.010357994,0.844999,Buy,Buy,1
2022-03-29,0.14225098,0.01571867,0.84203035,Buy,Buy,1
2022-03-30,0.38049665,0.15676877,0.46273458,Buy,Buy,1
2022-03-31,0.12835854,0.1088157,0.7628258,Buy,Buy,1
2022-04-01,0.2654049,0.1844381,0.550157,Buy,Sell,1
2022-04-02,0.32100368,0.08349778,0.59549856,Buy,Sell,1
2022-04-03,0.45619914,0.29877597,0.24502489,Sell,Sell,1
2022-04-04,0.3546741,0.33592135,0.30940455,Sell,Sell,1
2022-04-05,0.19640501,0.3764102,0.4271848,Buy,Sell,1
2022-04-06,0.40182474,0.23463601,0.36353925,Sell,Sell,1
2022-04-07,0.31979442,0.13874209,0.54146355,Buy,Sell,1
2022-04-08,0.3465158,0.04982179,0.6036624,Buy,Sell,1
2022-04-09,0.54103816,0.14226569,0.3166962,Sell,Sell,1
2022-04-10,0.5662497,0.046876933,0.38687333,Sell,Sell,1
2022-04-11,0.2079057,0.28523263,0.5068617,Buy,Buy,1
2022-04-12,0.2506597,0.48105377,0.2682865,Hold,Hold,1
2022-04-13,0.6087578,0.1100474,0.28119487,Sell,Sell,1
2022-04-14,0.31110817,0.15175739,0.53713447,Buy,Buy,1
2022-04-15,0.34115025,0.2287553,0.4300945,Buy,Hold,1
2022-04-16,0.56033546,0.1774673,0.26219723,Sell,Sell,1
2022-04-17,0.2279527,0.45326146,0.31878588,Hold,Hold,1
2022-04-18,0.5013615,0.36991647,0.12872207,Sell,Sell,1
2022-04-19,0.9145693,0.05468401,0.030746713,Sell,Sell,1
2022-04-20,0.9156789,0.031066615,0.05325442,Sell,Sell,1
2022-04-21,0.7652689,0.11304535,0.121685684,Sell,Sell,1
2022-04-22,0.7910992,0.080529116,0.12837164,Sell,Sell,1
2022-04-23,0.49379826,0.09134274,0.41485906,Sell,Hold,1
2022-04-24,0.4365726,0.22928205,0.33414534,Sell,Sell,1
2022-04-25,0.8392876,0.10177935,0.058933113,Sell,Sell,1
2022-04-26,0.71745914,0.09179924,0.19074161,Sell,Hold,1
2022-04-27,0.3331835,0.5546139,0.11220263,Hold,Hold,1
2022-04-28,0.5204799,0.37257072,0.10694937,Sell,Sell,1
2022-04-29,0.516411,0.22670038,0.2568886,Sell,Buy,1
2022-04-30,0.40867966,0.04934129,0.541979,Buy,Hold,1
2022-05-01,0.40813348,0.14468038,0.4471861,Buy,Sell,1
2022-05-02,0.6152363,0.30328888,0.081474826,Sell,Sell,1
2022-05-03,0.7341262,0.060424678,0.20544909,Sell,Sell,1
2022-05-04,0.812539,0.13201213,0.055448856,Sell,Sell,1
2022-05-05,0.78026104,0.109447844,0.11029113,Sell,Sell,1
2022-05-06,0.45779994,0.24756071,0.29463935,Sell,Sell,1
2022-05-07,0.21459539,0.17790826,0.6074963,Buy,Sell,1
2022-05-08,0.42796445,0.15516146,0.4168741,Sell,Sell,1
2022-05-09,0.16730088,0.2084061,0.62429297,Buy,Sell,1
2022-05-10,0.057407457,0.058655858,0.8839367,Buy,Sell,1
2022-05-11,0.13945092,0.37586474,0.48468432,Buy,Sell,1
