date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2022-03-16,0.37890396,0.20863974,0.4124563,Buy,Buy,1
2022-03-17,0.53764176,0.15005651,0.3123017,Sell,Buy,1
2022-03-18,0.40231,0.22091338,0.37677655,Sell,Buy,1
2022-03-19,0.384225,0.23809673,0.37767822,Sell,Buy,1
2022-03-20,0.43330318,0.24991795,0.3167789,Sell,Buy,1
2022-03-21,0.3161826,0.18157712,0.50224024,Buy,Buy,1
2022-03-22,0.21935396,0.18986128,0.5907848,Buy,Buy,1
2022-03-23,0.20124902,0.21055685,0.58819413,Buy,Buy,1
2022-03-24,0.20384283,0.19298235,0.6031748,Buy,Buy,1
2022-03-25,0.18758418,0.18574335,0.6266725,Buy,Buy,1
2022-03-26,0.22293353,0.32361352,0.45345297,Buy,Buy,1
2022-03-27,0.21932735,0.19314122,0.58753145,Buy,Buy,1
2022-03-28,0.26079255,0.15077734,0.5884301,Buy,Buy,1
2022-03-29,0.2516742,0.18046951,0.56785625,Buy,Buy,1
2022-03-30,0.22874038,0.27545702,0.49580252,Buy,Buy,1
2022-03-31,0.24108346,0.22061613,0.5383004,Buy,Buy,1
2022-04-01,0.17576669,0.2542954,0.5699379,Buy,Sell,1
2022-04-02,0.18738315,0.230617,0.5819999,Buy,Sell,1
2022-04-03,0.3000645,0.23380417,0.4661313,Buy,Sell,1
2022-04-04,0.29047126,0.32309678,0.3864319,Buy,Sell,1
2022-04-05,0.32384264,0.1957168,0.48044053,Buy,Sell,1
2022-04-06,0.34339494,0.3646768,0.29192832,Hold,Sell,1
2022-04-07,0.35478237,0.35276833,0.29244927,Sell,Sell,1
2022-04-08,0.37116244,0.301065,0.32777253,Sell,Sell,1
2022-04-09,0.3797875,0.3554183,0.26479426,Sell,Sell,1
2022-04-10,0.40940937,0.31987652,0.27071407,Sell,Sell,1
2022-04-11,0.16488022,0.32300666,0.5121131,Buy,Buy,1
2022-04-12,0.18745999,0.48589027,0.32664979,Hold,Hold,1
2022-04-13,0.2516082,0.42573783,0.32265398,Hold,Sell,1
2022-04-14,0.26683512,0.34507036,0.38809454,Buy,Buy,1
2022-04-15,0.28940737,0.3035951,0.40699747,Buy,Hold,1
2022-04-16,0.3822346,0.30484957,0.31291577,Sell,Sell,1
2022-04-17,0.18271673,0.4537064,0.3635768,Hold,Hold,1
2022-04-18,0.14533962,0.6695176,0.18514279,Hold,Sell,1
