date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2022-03-16,0.48325193,0.07032752,0.4464205,Sell,Buy,1
2022-03-17,0.7202638,0.03219287,0.24754333,Sell,Buy,1
2022-03-18,0.7618654,0.09094654,0.14718805,Sell,Buy,1
2022-03-19,0.6561183,0.121958174,0.22192353,Sell,Buy,1
2022-03-20,0.5503797,0.1571965,0.29242378,Sell,Buy,1
2022-03-21,0.46926036,0.12468802,0.4060516,Sell,Buy,1
2022-03-22,0.43039426,0.09995877,0.46964693,Buy,Buy,1
2022-03-23,0.58585894,0.12211986,0.2920212,Sell,Buy,1
2022-03-24,0.49623826,0.1183618,0.3854,Sell,Buy,1
2022-03-25,0.40120852,0.09426521,0.5045263,Buy,Buy,1
2022-03-26,0.39295876,0.23302108,0.37402016,Sell,Buy,1
2022-03-27,0.5383883,0.12705296,0.33455873,Sell,Buy,1
2022-03-28,0.4389383,0.12137735,0.43968436,Buy,Buy,1
2022-03-29,0.3437492,0.15148956,0.5047612,Buy,Buy,1
2022-03-30,0.33977452,0.35725892,0.30296656,Hold,Buy,1
2022-03-31,0.3586887,0.2526758,0.38863546,Buy,Buy,1
2022-04-01,0.35039893,0.2990908,0.3505103,Buy,Sell,1
2022-04-02,0.39530033,0.24012339,0.3645763,Sell,Sell,1
2022-04-03,0.3603184,0.2739128,0.36576882,Buy,Sell,1
2022-04-04,0.3545798,0.40747863,0.23794158,Hold,Sell,1
2022-04-05,0.44299817,0.17857808,0.37842378,Sell,Sell,1
2022-04-06,0.29562348,0.41606477,0.2883118,Hold,Sell,1
2022-04-07,0.3365389,0.30072215,0.3627389,Buy,Sell,1
2022-04-08,0.32750112,0.20812616,0.46437275,Buy,Sell,1
2022-04-09,0.27988675,0.25634438,0.46376884,Buy,Sell,1
2022-04-10,0.30339286,0.22772443,0.4688827,Buy,Sell,1
2022-04-11,0.2372131,0.21574514,0.5470418,Buy,Buy,1
2022-04-12,0.24538821,0.47830778,0.27630398,Hold,Hold,1
2022-04-13,0.4895986,0.30051365,0.20988777,Sell,Sell,1
2022-04-14,0.3621202,0.34520942,0.29267037,Sell,Buy,1
2022-04-15,0.3958504,0.41750866,0.18664098,Hold,Hold,1
2022-04-16,0.5982855,0.26563755,0.13607697,Sell,Sell,1
2022-04-17,0.2743764,0.51614034,0.20948327,Hold,Hold,1
2022-04-18,0.3447795,0.57407904,0.08114141,Hold,Sell,1
2022-04-19,0.74229896,0.11624819,0.14145277,Sell,Sell,1
2022-04-20,0.70622355,0.1169999,0.17677653,Sell,Sell,1
2022-04-21,0.35218233,0.4406452,0.20717251,Hold,Sell,1
2022-04-22,0.43468246,0.30813277,0.25718477,Sell,Sell,1
2022-04-23,0.26865137,0.42922163,0.302127,Hold,Hold,1
2022-04-24,0.21964706,0.49829897,0.28205395,Hold,Sell,1
2022-04-25,0.61585766,0.31639463,0.067747734,Sell,Sell,1
2022-04-26,0.17968215,0.09358867,0.72672915,Buy,Hold,1
2022-04-27,0.20656237,0.4468899,0.34654772,Hold,Hold,1
2022-04-28,0.32786116,0.4335767,0.23856214,Hold,Sell,1
2022-04-29,0.24051146,0.16582382,0.5936647,Buy,Buy,1
2022-04-30,0.15276593,0.036505163,0.8107289,Buy,Hold,1
2022-05-01,0.48898637,0.119376376,0.39163727,Sell,Sell,1
2022-05-02,0.5286313,0.20977679,0.2615919,Sell,Sell,1
2022-05-03,0.55947524,0.070784256,0.3697405,Sell,Sell,1
2022-05-04,0.70597297,0.11520877,0.17881832,Sell,Sell,1
2022-05-05,0.6403044,0.10807646,0.25161913,Sell,Sell,1
2022-05-06,0.38442123,0.10397267,0.51160604,Buy,Sell,1
2022-05-07,0.24414833,0.08305515,0.67279655,Buy,Sell,1
2022-05-08,0.12799498,0.070368044,0.80163693,Buy,Sell,1
2022-05-09,0.09783561,0.112524785,0.78963965,Buy,Sell,1
2022-05-10,0.12302914,0.121547386,0.75542355,Buy,Sell,1
2022-05-11,0.1819677,0.08636259,0.7316697,Buy,Sell,1
2022-05-12,0.13671473,0.078146465,0.78513885,Buy,Buy,1
2022-05-13,0.07608411,0.06639933,0.8575166,Buy,Sell,1
2022-05-14,0.12063542,0.12811252,0.75125206,Buy,Hold,1
2022-05-15,0.15256667,0.15100133,0.696432,Buy,Sell,1
2022-05-16,0.15601647,0.19770963,0.6462739,Buy,Hold,1
2022-05-17,0.13557276,0.29523307,0.56919414,Buy,Hold,1
2022-05-18,0.2828438,0.16628182,0.55087435,Buy,Buy,1
2022-05-19,0.072793156,0.29454568,0.63266116,Buy,Hold,1
2022-05-20,0.13728213,0.18428056,0.6784373,Buy,Hold,1
2022-05-21,0.20583797,0.24807799,0.54608405,Buy,Sell,1
2022-05-22,0.20367399,0.28195158,0.51437443,Buy,Sell,1
2022-05-23,0.24539217,0.4194031,0.33520475,Hold,Sell,1
2022-05-24,0.29948476,0.37574252,0.32477278,Hold,Sell,1
2022-05-25,0.37019354,0.3324095,0.29739702,Sell,Buy,1
2022-05-26,0.26652077,0.22160552,0.5118737,Buy,Buy,1
2022-05-27,0.12066514,0.27674502,0.60258985,Buy,Buy,1
2022-05-28,0.1285402,0.112451136,0.7590087,Buy,Buy,1
2022-05-29,0.7354852,0.05191979,0.21259499,Sell,Hold,1
2022-05-30,0.7181044,0.103189,0.17870656,Sell,Sell,1
2022-05-31,0.700617,0.1214699,0.17791304,Sell,Sell,1
2022-06-01,0.5776282,0.18866849,0.23370332,Sell,Hold,1
2022-06-02,0.60794014,0.10765342,0.28440645,Sell,Hold,1
2022-06-03,0.76494634,0.060749855,0.17430381,Sell,Hold,1
2022-06-04,0.71524197,0.10497484,0.17978321,Sell,Hold,1
2022-06-05,0.66789836,0.09005372,0.24204786,Sell,Sell,1
2022-06-06,0.57476324,0.14305691,0.28217986,Sell,Sell,1
2022-06-07,0.6583018,0.11993572,0.22176252,Sell,Sell,1
2022-06-08,0.33476475,0.5398672,0.125368,Hold,Sell,1
2022-06-09,0.5807092,0.27432021,0.1449706,Sell,Sell,1
2022-06-10,0.22271782,0.29205927,0.48522294,Buy,Sell,1
2022-06-11,0.10162456,0.17748784,0.72088754,Buy,Sell,1
2022-06-12,0.18454778,0.10578278,0.7096695,Buy,Sell,1
2022-06-13,0.25641784,0.14038613,0.60319597,Buy,Sell,1
2022-06-14,0.28342205,0.11123963,0.60533834,Buy,Sell,1
2022-06-15,0.3075465,0.0825558,0.6098977,Buy,Sell,1
2022-06-16,0.29407436,0.043119714,0.662806,Buy,Buy,1
2022-06-17,0.1463048,0.049880754,0.8038144,Buy,Sell,1
2022-06-18,0.12544969,0.06501462,0.8095357,Buy,Buy,1
2022-06-19,0.35939884,0.06596105,0.5746401,Buy,Buy,1
2022-06-20,0.4121924,0.11226254,0.4755451,Buy,Buy,1
2022-06-21,0.39649722,0.16643928,0.43706352,Buy,Buy,1
2022-06-22,0.5059632,0.15857328,0.33546352,Sell,Buy,1
2022-06-23,0.22037794,0.24734296,0.53227913,Buy,Hold,1
2022-06-24,0.25808117,0.44407335,0.29784542,Hold,Sell,1
2022-06-25,0.29279777,0.40437293,0.30282924,Hold,Sell,1
2022-06-26,0.2709444,0.40010062,0.328955,Hold,Sell,1
2022-06-27,0.27043495,0.37319484,0.35637024,Hold,Sell,1
2022-06-28,0.1679926,0.35913062,0.4728768,Buy,Sell,1
2022-06-29,0.17655675,0.39188153,0.43156174,Buy,Buy,1
2022-06-30,0.20686355,0.29809093,0.49504554,Buy,Buy,1
2022-07-01,0.22640209,0.18016906,0.59342885,Buy,Buy,1
2022-07-02,0.123867966,0.24339767,0.63273436,Buy,Buy,1
2022-07-03,0.26897186,0.27025703,0.4607711,Buy,Buy,1
2022-07-04,0.4682798,0.15600637,0.3757138,Sell,Buy,1
2022-07-05,0.2498763,0.45650196,0.29362175,Hold,Hold,1
2022-07-06,0.54064375,0.18425651,0.27509972,Sell,Sell,1
2022-07-07,0.5406269,0.2317936,0.22757955,Sell,Sell,1
2022-07-08,0.51061445,0.26883543,0.22055012,Sell,Sell,1
2022-07-09,0.77357703,0.093250506,0.13317248,Sell,Sell,1
2022-07-10,0.67160857,0.1440286,0.18436284,Sell,Buy,1
2022-07-11,0.4350008,0.20573932,0.3592599,Sell,Buy,1
2022-07-12,0.35885838,0.0620772,0.5790644,Buy,Buy,1
2022-07-13,0.5554859,0.25669634,0.18781778,Sell,Buy,1
2022-07-14,0.78400284,0.08607967,0.12991743,Sell,Buy,1
2022-07-15,0.56879836,0.15139216,0.27980947,Sell,Buy,1
2022-07-16,0.8780029,0.039621912,0.08237524,Sell,Buy,1
2022-07-17,0.869326,0.057738848,0.072935216,Sell,Buy,1
2022-07-18,0.88694257,0.03525936,0.077798106,Sell,Hold,1
2022-07-19,0.8411398,0.047672085,0.11118809,Sell,Buy,1
2022-07-20,0.79370433,0.05639458,0.14990105,Sell,Sell,1
2022-07-21,0.8528729,0.0738455,0.07328161,Sell,Sell,1
2022-07-22,0.63723433,0.23947644,0.123289235,Sell,Buy,1
2022-07-23,0.72073954,0.056260917,0.22299959,Sell,Buy,1
2022-07-24,0.75452083,0.07537613,0.17010301,Sell,Buy,1
2022-07-25,0.7780273,0.13870682,0.08326589,Sell,Buy,1
2022-07-26,0.73103297,0.07645584,0.19251114,Sell,Buy,1
2022-07-27,0.78624547,0.063992165,0.14976232,Sell,Hold,1
2022-07-28,0.73681974,0.07360323,0.18957704,Sell,Sell,1
2022-07-29,0.5016235,0.114965126,0.38341132,Sell,Sell,1
2022-07-30,0.2354326,0.09932625,0.6652411,Buy,Sell,1
2022-07-31,0.34160963,0.22847453,0.42991585,Buy,Hold,1
2022-08-01,0.29246673,0.23496903,0.4725643,Buy,Buy,1
2022-08-02,0.5310029,0.0651438,0.40385336,Sell,Buy,1
2022-08-03,0.41036,0.3089323,0.28070766,Sell,Buy,1
2022-08-04,0.50401366,0.31228945,0.18369693,Sell,Buy,1
2022-08-05,0.6391231,0.20968738,0.15118954,Sell,Buy,1
2022-08-06,0.7366426,0.14090945,0.122447975,Sell,Buy,1
2022-08-07,0.58069605,0.16358842,0.25571552,Sell,Buy,1
2022-08-08,0.4387042,0.5034122,0.05788366,Hold,Buy,1
2022-08-09,0.33224952,0.09703748,0.570713,Buy,Buy,1
2022-08-10,0.41864926,0.23105532,0.35029545,Sell,Buy,1
2022-08-11,0.5644707,0.101282634,0.3342466,Sell,Hold,1
2022-08-12,0.8123907,0.06827727,0.11933201,Sell,Sell,1
2022-08-13,0.77115047,0.07656877,0.15228072,Sell,Sell,1
2022-08-14,0.5153678,0.18235026,0.3022819,Sell,Sell,1
2022-08-15,0.25745597,0.25092095,0.49162304,Buy,Sell,1
2022-08-16,0.3274798,0.124176554,0.54834366,Buy,Sell,1
2022-08-17,0.52517945,0.2511681,0.22365247,Sell,Sell,1
2022-08-18,0.5260152,0.18622757,0.28775722,Sell,Sell,1
2022-08-19,0.18718858,0.26062927,0.55218214,Buy,Buy,1
2022-08-20,0.10813228,0.19814543,0.6937223,Buy,Buy,1
2022-08-21,0.17430086,0.16433333,0.6613658,Buy,Sell,1
2022-08-22,0.38965514,0.32069546,0.28964943,Sell,Sell,1
2022-08-23,0.27205613,0.39575565,0.33218825,Hold,Sell,1
2022-08-24,0.36831883,0.29207364,0.33960754,Sell,Sell,1
2022-08-25,0.25212684,0.3928546,0.35501853,Hold,Sell,1
2022-08-26,0.29928243,0.21650201,0.4842156,Buy,Buy,1
2022-08-27,0.22948548,0.13049522,0.64001936,Buy,Buy,1
2022-08-28,0.18048315,0.15662709,0.6628898,Buy,Buy,1
2022-08-29,0.40186062,0.29009855,0.30804086,Sell,Hold,1
2022-08-30,0.38732854,0.26618457,0.34648696,Sell,Buy,1
2022-08-31,0.24032904,0.38994676,0.3697242,Hold,Buy,1
2022-09-01,0.48561084,0.13130239,0.38308674,Sell,Hold,1
2022-09-02,0.2750773,0.14456011,0.5803626,Buy,Buy,1
2022-09-03,0.20569059,0.13125177,0.6630576,Buy,Buy,1
2022-09-04,0.3043607,0.21025468,0.4853846,Buy,Buy,1
2022-09-05,0.5793067,0.10230893,0.31838435,Sell,Buy,1
2022-09-06,0.20197722,0.39198694,0.4060358,Buy,Buy,1
2022-09-07,0.4293616,0.26850674,0.30213165,Sell,Buy,1
2022-09-08,0.34411672,0.14115115,0.5147321,Buy,Sell,1
2022-09-09,0.3275889,0.3844768,0.2879343,Hold,Sell,1
2022-09-10,0.2216931,0.14993002,0.62837684,Buy,Sell,1
2022-09-11,0.27614194,0.1817956,0.5420624,Buy,Sell,1
2022-09-12,0.38754395,0.2633481,0.34910795,Sell,Sell,1
2022-09-13,0.17503238,0.1437875,0.6811801,Buy,Sell,1
2022-09-14,0.47837925,0.090065345,0.43155542,Sell,Sell,1
2022-09-15,0.120463945,0.35018477,0.5293513,Buy,Sell,1
2022-09-16,0.05141982,0.021101605,0.9274786,Buy,Sell,1
2022-09-17,0.15055339,0.063653,0.78579366,Buy,Sell,1
2022-09-18,0.05840518,0.030764712,0.91083014,Buy,Hold,1
2022-09-19,0.041549213,0.14504434,0.81340647,Buy,Sell,1
2022-09-20,0.035239145,0.03423159,0.9305293,Buy,Sell,1
2022-09-21,0.06110409,0.07324935,0.8656466,Buy,Buy,1
2022-09-22,0.04494908,0.22719552,0.72785544,Buy,Hold,1
2022-09-23,0.054032262,0.15869558,0.7872722,Buy,Hold,1
2022-09-24,0.05701829,0.04823267,0.89474905,Buy,Hold,1
2022-09-25,0.034342196,0.07116206,0.8944957,Buy,Buy,1
2022-09-26,0.02686276,0.10122905,0.8719082,Buy,Hold,1
2022-09-27,0.026860172,0.5740379,0.39910194,Hold,Sell,1
2022-09-28,0.020934144,0.57949835,0.3995675,Hold,Hold,1
2022-09-29,0.13928533,0.34179768,0.518917,Buy,Hold,1
2022-09-30,0.07327598,0.64141476,0.28530926,Hold,Hold,1
2022-10-01,0.07685611,0.47343147,0.44971246,Hold,Buy,1
2022-10-02,0.10507419,0.43260023,0.46232557,Buy,Buy,2
2022-10-03,0.20033352,0.40461347,0.39505306,Hold,Hold,2
2022-10-04,0.6312923,0.17537455,0.19333313,Sell,Sell,2
2022-10-05,0.6564867,0.111113034,0.23240028,Sell,Sell,2
2022-10-06,0.52873594,0.11301053,0.35825354,Sell,Sell,2
2022-10-07,0.4526331,0.14807302,0.3992938,Sell,Sell,2
2022-10-08,0.4485303,0.20442657,0.34704313,Sell,Sell,2
2022-10-09,0.41120213,0.108112514,0.48068538,Buy,Sell,2
2022-10-10,0.39179656,0.1403931,0.4678103,Buy,Hold,2
2022-10-12,0.29816374,0.60461557,0.09722068,Hold,Buy,2
2022-10-13,0.3617506,0.41377696,0.22447239,Hold,Buy,2
2022-10-14,0.30826592,0.54414636,0.14758775,Hold,Sell,2
2022-10-15,0.3259394,0.2719975,0.40206304,Buy,Hold,2
2022-10-16,0.6142812,0.23643634,0.14928249,Sell,Hold,2
2022-10-17,0.7854248,0.08659384,0.12798138,Sell,Sell,2
2022-10-18,0.79478204,0.1017267,0.10349124,Sell,Buy,2
2022-10-19,0.42876565,0.4598158,0.11141855,Hold,Buy,2
2022-10-20,0.51890004,0.35520023,0.12589973,Sell,Buy,2
2022-10-21,0.7386193,0.18007465,0.081306025,Sell,Buy,2
2022-10-22,0.8647281,0.06946762,0.06580424,Sell,Buy,2
2022-10-23,0.8009095,0.04352489,0.1555656,Sell,Buy,2
2022-10-24,0.85380495,0.07417691,0.07201817,Sell,Buy,2
2022-10-25,0.84809244,0.095207684,0.05669981,Sell,Buy,2
2022-10-26,0.7909321,0.08436194,0.12470592,Sell,Hold,2
2022-10-27,0.59082997,0.12164434,0.28752568,Sell,Buy,2
2022-10-28,0.5944043,0.1305501,0.27504566,Sell,Sell,2
2022-10-29,0.6949442,0.11890499,0.18615083,Sell,Sell,2
2022-10-30,0.77546245,0.08768431,0.1368532,Sell,Buy,2
2022-10-31,0.78808504,0.095012255,0.11690272,Sell,Buy,2
2022-11-01,0.7437324,0.049271207,0.20699638,Sell,Hold,2
2022-11-02,0.72609603,0.03626179,0.23764215,Sell,Buy,2
2022-11-03,0.75690407,0.023587307,0.21950866,Sell,Sell,2
2022-11-04,0.8298475,0.08927331,0.08087924,Sell,Sell,2
2022-11-05,0.7455081,0.06694316,0.18754876,Sell,Sell,2
2022-11-06,0.7637823,0.06822764,0.16799009,Sell,Sell,2
2022-11-07,0.84181684,0.055036686,0.10314647,Sell,Sell,2
2022-11-08,0.38012725,0.47828728,0.14158548,Hold,Sell,2
2022-11-09,0.373388,0.20703277,0.41957918,Buy,Buy,2
2022-11-10,0.23848554,0.6856484,0.075866066,Hold,Sell,2
2022-11-11,0.19573915,0.6564542,0.1478066,Hold,Sell,2
2022-11-15,0.19880013,0.58713996,0.21405992,Hold,Sell,2
2022-11-16,0.32437542,0.31196636,0.36365822,Buy,Sell,2
2022-11-17,0.21092361,0.53752244,0.25155395,Hold,Sell,2
2022-11-18,0.18029825,0.6998884,0.11981328,Hold,Hold,2
2022-11-19,0.23686606,0.63667953,0.12645441,Hold,Hold,2
2022-11-20,0.21371871,0.4950217,0.29125962,Hold,Buy,2
2022-11-21,0.12236124,0.613219,0.2644197,Hold,Buy,2
2022-11-22,0.041346617,0.34770042,0.610953,Buy,Buy,2
2022-11-23,0.037411056,0.43540353,0.52718544,Buy,Hold,2
2022-11-24,0.044162687,0.54068804,0.41514933,Hold,Hold,2
2022-11-25,0.04125822,0.5280099,0.4307319,Hold,Buy,2
2022-11-26,0.062171783,0.5877201,0.35010812,Hold,Buy,2
2022-11-27,0.068868026,0.6222213,0.3089107,Hold,Buy,2
2022-11-28,0.048589036,0.63431615,0.3170949,Hold,Buy,2
2022-11-29,0.17888531,0.47669837,0.34441638,Hold,Buy,2
2022-11-30,0.4439347,0.16050513,0.39556018,Sell,Hold,2
2022-12-01,0.6028046,0.074628346,0.32256708,Sell,Hold,2
2022-12-02,0.7170825,0.046512187,0.23640533,Sell,Sell,2
2022-12-03,0.62062675,0.075173154,0.30420014,Sell,Buy,2
2022-12-04,0.4756744,0.058139697,0.46618587,Sell,Hold,2
2022-12-05,0.3939131,0.044752754,0.56133413,Buy,Hold,2
2022-12-06,0.34446254,0.043642383,0.6118951,Buy,Hold,2
2022-12-07,0.31848633,0.04753055,0.6339831,Buy,Buy,2
2022-12-08,0.30988243,0.027397193,0.6627204,Buy,Buy,2
2022-12-09,0.28136984,0.027333498,0.6912967,Buy,Buy,2
2022-12-10,0.4043972,0.02575596,0.56984687,Buy,Hold,2
2022-12-11,0.42043757,0.026934413,0.552628,Buy,Sell,2
2022-12-12,0.40912324,0.038693998,0.55218273,Buy,Sell,2
2022-12-13,0.3119163,0.07486465,0.6132191,Buy,Sell,2
2022-12-14,0.27115858,0.029550247,0.6992912,Buy,Sell,2
2022-12-15,0.37691638,0.06921278,0.55387086,Buy,Sell,2
2022-12-16,0.37917292,0.29397485,0.32685217,Sell,Buy,2
2022-12-17,0.4126809,0.17295668,0.41436246,Buy,Buy,2
2022-12-18,0.4288531,0.13787282,0.43327406,Buy,Buy,2
2022-12-19,0.44843376,0.23110355,0.32046267,Sell,Buy,2
2022-12-20,0.55685127,0.22657606,0.2165727,Sell,Hold,2
2022-12-21,0.53561723,0.16778696,0.2965958,Sell,Hold,2
2022-12-22,0.45768854,0.13264178,0.40966973,Sell,Hold,2
2022-12-23,0.37354892,0.114260264,0.5121908,Buy,Sell,2
2022-12-24,0.41284347,0.11151549,0.47564104,Buy,Sell,2
2022-12-25,0.37734202,0.13680278,0.48585516,Buy,Sell,2
2022-12-26,0.30875167,0.105272114,0.5859762,Buy,Sell,2
2022-12-27,0.25359455,0.1984913,0.54791415,Buy,Hold,2
2022-12-28,0.25442657,0.15810868,0.58746475,Buy,Buy,2
2022-12-29,0.085385896,0.15546188,0.75915223,Buy,Hold,2
2022-12-30,0.06830263,0.08974796,0.8419494,Buy,Buy,2
2022-12-31,0.06781373,0.07638651,0.85579973,Buy,Buy,2
