date,P_Sell,P_Hold,P_Buy,pred_label,true_label,fold
2022-03-16,0.45757425,0.10826527,0.43416047,Sell,Buy,1
2022-03-17,0.40531936,0.29894733,0.29573324,Sell,Buy,1
2022-03-18,0.28883958,0.5197255,0.19143493,Hold,Buy,1
2022-03-19,0.20245582,0.5687187,0.2288255,Hold,Buy,1
2022-03-20,0.5106424,0.16094333,0.3284143,Sell,Buy,1
2022-03-21,0.40837276,0.12026699,0.4713603,Buy,Buy,1
2022-03-22,0.29344463,0.16991557,0.53663975,Buy,Buy,1
2022-03-23,0.2180422,0.13508594,0.6468718,Buy,Buy,1
2022-03-24,0.2134979,0.11527746,0.6712246,Buy,Buy,1
2022-03-25,0.19507289,0.17227228,0.6326548,Buy,Buy,1
2022-03-26,0.2728559,0.5145706,0.2125735,Hold,Buy,1
2022-03-27,0.19373856,0.16331695,0.64294446,Buy,Buy,1
2022-03-28,0.20153834,0.07326132,0.7252003,Buy,Buy,1
2022-03-29,0.18455426,0.07511509,0.74033064,Buy,Buy,1
2022-03-30,0.22363903,0.39838666,0.3779743,Hold,Buy,1
2022-03-31,0.1324869,0.25727198,0.6102412,Buy,Buy,1
2022-04-01,0.2331276,0.35673422,0.41013822,Buy,Sell,1
2022-04-02,0.26186153,0.2673231,0.4708154,Buy,Sell,1
2022-04-03,0.34776282,0.35606712,0.29617003,Hold,Sell,1
2022-04-04,0.24724592,0.5375777,0.21517645,Hold,Sell,1
2022-04-05,0.2895443,0.31047544,0.39998025,Buy,Sell,1
2022-04-06,0.2503791,0.37928128,0.37033963,Hold,Sell,1
2022-04-07,0.34412557,0.24734923,0.4085252,Buy,Sell,1
2022-04-08,0.3403898,0.12390306,0.5357071,Buy,Sell,1
2022-04-09,0.38120252,0.30393562,0.31486186,Sell,Sell,1
2022-04-10,0.4985882,0.19249435,0.3089174,Sell,Sell,1
2022-04-11,0.17374189,0.3602351,0.466023,Buy,Buy,1
2022-04-12,0.15581048,0.54798156,0.296208,Hold,Hold,1
2022-04-13,0.24748982,0.27311167,0.47939855,Buy,Sell,1
2022-04-14,0.19651864,0.19145949,0.61202186,Buy,Buy,1
2022-04-15,0.3147721,0.23980233,0.44542563,Buy,Hold,1
2022-04-16,0.39153206,0.21792313,0.3905448,Sell,Sell,1
2022-04-17,0.17269818,0.35624322,0.47105855,Buy,Hold,1
2022-04-18,0.19819956,0.57291,0.2288904,Hold,Sell,1
2022-04-19,0.45694485,0.28323805,0.25981703,Sell,Sell,1
2022-04-20,0.3717949,0.19153325,0.43667185,Buy,Sell,1
2022-04-21,0.43582764,0.23218304,0.3319893,Sell,Sell,1
2022-04-22,0.3783442,0.15144293,0.47021294,Buy,Sell,1
2022-04-23,0.19198999,0.12949361,0.6785164,Buy,Hold,1
2022-04-24,0.16802919,0.22908103,0.6028898,Buy,Sell,1
2022-04-25,0.48598304,0.2921375,0.22187941,Sell,Sell,1
2022-04-26,0.43989062,0.17104654,0.38906282,Sell,Hold,1
2022-04-27,0.25443673,0.4566559,0.28890744,Hold,Hold,1
2022-04-28,0.29280734,0.48528868,0.22190398,Hold,Sell,1
2022-04-29,0.27064562,0.28570643,0.44364795,Buy,Buy,1
2022-04-30,0.30690202,0.109317355,0.5837806,Buy,Hold,1
2022-05-01,0.20502913,0.1641655,0.6308054,Buy,Sell,1
2022-05-02,0.37495577,0.3892011,0.23584314,Hold,Sell,1
2022-05-03,0.3005509,0.113839194,0.58560985,Buy,Sell,1
2022-05-04,0.4157986,0.30298886,0.28121257,Sell,Sell,1
2022-05-05,0.41146058,0.20783965,0.38069972,Sell,Sell,1
2022-05-06,0.27206475,0.29305357,0.43488172,Buy,Sell,1
2022-05-07,0.23199153,0.17778172,0.5902267,Buy,Sell,1
2022-05-08,0.29939857,0.24200428,0.45859712,Buy,Sell,1
2022-05-09,0.18294619,0.3211068,0.49594697,Buy,Sell,1
2022-05-10,0.10784925,0.18052624,0.71162456,Buy,Sell,1
2022-05-11,0.14879936,0.4212927,0.42990798,Buy,Sell,1
2022-05-12,0.21151964,0.2631654,0.5253149,Buy,Buy,1
2022-05-13,0.11347243,0.22802919,0.65849835,Buy,Sell,1
2022-05-14,0.10408522,0.24007995,0.6558348,Buy,Hold,1
2022-05-15,0.097840525,0.106222644,0.7959368,Buy,Sell,1
2022-05-16,0.07571027,0.10945157,0.8148382,Buy,Hold,1
2022-05-17,0.28891906,0.11288045,0.59820044,Buy,Hold,1
2022-05-18,0.32209525,0.16696972,0.510935,Buy,Buy,1
2022-05-19,0.30505028,0.18485199,0.51009774,Buy,Hold,1
2022-05-20,0.28474048,0.11527879,0.5999808,Buy,Hold,1
2022-05-21,0.26781276,0.2701555,0.46203172,Buy,Sell,1
2022-05-22,0.23562203,0.207361,0.55701697,Buy,Sell,1
2022-05-23,0.27932775,0.2571457,0.46352658,Buy,Sell,1
2022-05-24,0.33956835,0.24278803,0.4176436,Buy,Sell,1
2022-05-25,0.36472815,0.2848222,0.35044968,Sell,Buy,1
2022-05-26,0.3746165,0.22477582,0.40060765,Buy,Buy,1
2022-05-27,0.29559112,0.45572045,0.2486884,Hold,Buy,1
2022-05-28,0.2521036,0.1628047,0.58509165,Buy,Buy,1
2022-05-29,0.38925624,0.13963453,0.47110918,Buy,Hold,1
2022-05-30,0.6226161,0.2114599,0.165924,Sell,Sell,1
2022-05-31,0.30322888,0.14572302,0.55104816,Buy,Sell,1
2022-06-01,0.42795727,0.32796502,0.24407765,Sell,Hold,1
2022-06-02,0.45726222,0.1617171,0.3810207,Sell,Hold,1
2022-06-03,0.5476945,0.18244562,0.26985988,Sell,Hold,1
2022-06-04,0.5914803,0.19474663,0.21377303,Sell,Hold,1
2022-06-05,0.6613213,0.10686127,0.23181747,Sell,Sell,1
2022-06-06,0.43712378,0.13123804,0.43163812,Sell,Sell,1
2022-06-07,0.40885627,0.18359703,0.40754673,Sell,Sell,1
2022-06-08,0.26476488,0.5986188,0.13661632,Hold,Sell,1
2022-06-09,0.4206692,0.37423518,0.20509563,Sell,Sell,1
2022-06-10,0.26147383,0.43913057,0.29939556,Hold,Sell,1
2022-06-11,0.3959361,0.37112862,0.23293522,Sell,Sell,1
2022-06-12,0.3937321,0.28946045,0.31680742,Sell,Sell,1
2022-06-13,0.38029662,0.24742416,0.3722792,Sell,Sell,1
2022-06-14,0.28696692,0.1775356,0.5354975,Buy,Sell,1
2022-06-15,0.16297379,0.18630537,0.65072083,Buy,Sell,1
2022-06-16,0.1057283,0.1294278,0.76484394,Buy,Buy,1
2022-06-17,0.086196445,0.11634297,0.79746056,Buy,Sell,1
2022-06-18,0.12058745,0.1189945,0.76041806,Buy,Buy,1
2022-06-19,0.16755676,0.10385173,0.72859144,Buy,Buy,1
2022-06-20,0.2588447,0.21360084,0.5275545,Buy,Buy,1
2022-06-21,0.30580172,0.276457,0.41774127,Buy,Buy,1
2022-06-22,0.38735995,0.19729008,0.41535,Buy,Buy,1
2022-06-23,0.19495748,0.43951795,0.3655246,Hold,Hold,1
2022-06-24,0.3296571,0.38654175,0.2838011,Hold,Sell,1
2022-06-25,0.18789105,0.58238614,0.2297228,Hold,Sell,1
2022-06-26,0.2852054,0.48439074,0.23040387,Hold,Sell,1
2022-06-27,0.30357024,0.3949049,0.30152488,Hold,Sell,1
2022-06-28,0.37516457,0.28112638,0.343709,Sell,Sell,1
2022-06-29,0.42284307,0.34464303,0.2325139,Sell,Buy,1
2022-06-30,0.40005383,0.32291818,0.27702796,Sell,Buy,1
2022-07-01,0.4707729,0.23098846,0.29823864,Sell,Buy,1
2022-07-02,0.37284532,0.19627176,0.43088293,Buy,Buy,1
2022-07-03,0.49181494,0.20524177,0.30294326,Sell,Buy,1
2022-07-04,0.5877486,0.18100496,0.23124641,Sell,Buy,1
2022-07-05,0.37189442,0.41640198,0.21170355,Hold,Hold,1
2022-07-06,0.5352355,0.18528661,0.27947786,Sell,Sell,1
2022-07-07,0.4604902,0.3047353,0.23477449,Sell,Sell,1
2022-07-08,0.3514165,0.40825006,0.24033348,Hold,Sell,1
2022-07-09,0.43479136,0.3436285,0.22158012,Sell,Sell,1
2022-07-10,0.42042804,0.3259697,0.25360227,Sell,Buy,1
2022-07-11,0.46240982,0.19706552,0.3405247,Sell,Buy,1
2022-07-12,0.4353878,0.10325385,0.46135837,Buy,Buy,1
2022-07-13,0.46495396,0.30634278,0.22870328,Sell,Buy,1
2022-07-14,0.58335155,0.2101496,0.20649883,Sell,Buy,1
2022-07-15,0.51551986,0.22104132,0.2634388,Sell,Buy,1
2022-07-16,0.49259523,0.21251878,0.294886,Sell,Buy,1
2022-07-17,0.4989977,0.28503454,0.21596782,Sell,Buy,1
2022-07-18,0.3380233,0.16113427,0.50084245,Buy,Hold,1
2022-07-19,0.33763567,0.16699581,0.4953685,Buy,Buy,1
2022-07-20,0.24929035,0.09228809,0.6584216,Buy,Sell,1
2022-07-21,0.18256569,0.32019863,0.49723572,Buy,Sell,1
2022-07-22,0.18401958,0.25271204,0.56326836,Buy,Buy,1
2022-07-23,0.33809495,0.1531475,0.5087576,Buy,Buy,1
2022-07-24,0.32949525,0.3762735,0.29423124,Hold,Buy,1
2022-07-25,0.4684701,0.20499246,0.32653743,Sell,Buy,1
2022-07-26,0.4722627,0.13124862,0.39648864,Sell,Buy,1
2022-07-27,0.26622656,0.30333108,0.43044233,Buy,Hold,1
2022-07-28,0.287105,0.3016906,0.41120437,Buy,Sell,1
2022-07-29,0.20731208,0.42285153,0.36983636,Hold,Sell,1
2022-07-30,0.12636465,0.16834074,0.7052946,Buy,Sell,1
2022-07-31,0.27290347,0.26494724,0.46214932,Buy,Hold,1
2022-08-01,0.20203543,0.14746432,0.65050024,Buy,Buy,1
2022-08-02,0.37992924,0.09932853,0.52074224,Buy,Buy,1
2022-08-03,0.3635984,0.16443875,0.4719629,Buy,Buy,1
2022-08-04,0.22876516,0.26585162,0.50538325,Buy,Buy,1
2022-08-05,0.5126777,0.20816478,0.27915752,Sell,Buy,1
2022-08-06,0.44761154,0.2762122,0.27617627,Sell,Buy,1
2022-08-07,0.287486,0.40050632,0.31200764,Hold,Buy,1
2022-08-08,0.34995785,0.3997847,0.25025743,Hold,Buy,1
2022-08-09,0.47281098,0.21297032,0.31421864,Sell,Buy,1
2022-08-10,0.3867108,0.20395309,0.40933618,Buy,Buy,1
2022-08-11,0.32674843,0.15424122,0.5190103,Buy,Hold,1
2022-08-12,0.40832093,0.3126191,0.27905998,Sell,Sell,1
2022-08-13,0.5532908,0.24045017,0.20625906,Sell,Sell,1
2022-08-14,0.09965017,0.29042208,0.6099278,Buy,Sell,1
2022-08-15,0.14053966,0.3988895,0.46057084,Buy,Sell,1
2022-08-16,0.33711818,0.2801635,0.38271838,Buy,Sell,1
2022-08-17,0.25661275,0.33691296,0.40647432,Buy,Sell,1
2022-08-18,0.27930203,0.35923746,0.36146048,Buy,Sell,1
2022-08-19,0.21406814,0.42918953,0.35674235,Hold,Buy,1
2022-08-20,0.12601086,0.29368,0.58030915,Buy,Buy,1
2022-08-21,0.2816059,0.3002984,0.4180957,Buy,Sell,1
2022-08-22,0.25344265,0.41693464,0.32962275,Hold,Sell,1
2022-08-23,0.2701937,0.4070745,0.3227318,Hold,Sell,1
2022-08-24,0.36181355,0.26616046,0.37202597,Buy,Sell,1
2022-08-25,0.3800114,0.16418839,0.45580027,Buy,Sell,1
2022-08-26,0.29935586,0.22599126,0.4746529,Buy,Buy,1
2022-08-27,0.1521249,0.13253635,0.71533877,Buy,Buy,1
2022-08-28,0.10463395,0.17501666,0.72034943,Buy,Buy,1
2022-08-29,0.3148398,0.27859542,0.40656483,Buy,Hold,1
2022-08-30,0.46975833,0.2073343,0.3229074,Sell,Buy,1
2022-08-31,0.20688923,0.5482178,0.24489301,Hold,Buy,1
2022-09-01,0.30583206,0.3319271,0.36224085,Buy,Hold,1
2022-09-02,0.2596308,0.42654487,0.3138243,Hold,Buy,1
2022-09-03,0.2823693,0.42399788,0.29363286,Hold,Buy,1
2022-09-04,0.17529702,0.67098117,0.15372176,Hold,Buy,1
2022-09-05,0.6492742,0.1377846,0.21294121,Sell,Buy,1
2022-09-06,0.44986537,0.28208783,0.26804683,Sell,Buy,1
2022-09-07,0.601166,0.15478337,0.24405065,Sell,Buy,1
2022-09-08,0.53923535,0.123228714,0.33753598,Sell,Sell,1
2022-09-09,0.19471474,0.39737687,0.40790838,Buy,Sell,1
2022-09-10,0.23912036,0.29887092,0.4620087,Buy,Sell,1
2022-09-11,0.2722409,0.43665713,0.29110193,Hold,Sell,1
2022-09-12,0.44488448,0.22636412,0.32875142,Sell,Sell,1
2022-09-13,0.4115817,0.20676981,0.38164848,Sell,Sell,1
2022-09-14,0.48442838,0.120443605,0.39512804,Sell,Sell,1
2022-09-15,0.34004492,0.35041767,0.30953738,Hold,Sell,1
2022-09-16,0.24902047,0.12322425,0.6277552,Buy,Sell,1
2022-09-17,0.33476317,0.13580605,0.5294308,Buy,Sell,1
2022-09-18,0.34123048,0.11813719,0.5406323,Buy,Hold,1
2022-09-19,0.27874175,0.18433093,0.5369273,Buy,Sell,1
2022-09-20,0.23402295,0.09957035,0.66640675,Buy,Sell,1
2022-09-21,0.28348577,0.26400265,0.45251158,Buy,Buy,1
2022-09-22,0.32057106,0.25293785,0.42649114,Buy,Hold,1
2022-09-23,0.27715397,0.26870447,0.4541416,Buy,Hold,1
2022-09-24,0.3727022,0.08183868,0.5454591,Buy,Hold,1
2022-09-25,0.31968027,0.15423428,0.52608544,Buy,Buy,1
2022-09-26,0.30905256,0.11406464,0.57688284,Buy,Hold,1
2022-09-27,0.16241594,0.639756,0.19782804,Hold,Sell,1
2022-09-28,0.16623697,0.6791234,0.15463959,Hold,Hold,1
2022-09-29,0.24769515,0.3655617,0.3867431,Buy,Hold,1
2022-09-30,0.3573476,0.39443186,0.24822053,Hold,Hold,1
2022-10-01,0.24195871,0.3379285,0.4201128,Buy,Buy,1
2022-10-02,0.20969307,0.64156514,0.14874177,Hold,Buy,2
2022-10-03,0.2354064,0.3437152,0.42087838,Buy,Hold,2
