,P_Risk-On,P_Risk-Off,P_Neutral,regime_label,regime_cluster
2001-01-03,0.006409476452188583,0.993559215966811,3.1307580999799016e-05,Risk-Off,1
2001-01-04,0.02704262508491886,0.9728720076946301,8.536722045086122e-05,Risk-Off,1
2001-01-05,0.005591182461783267,0.9943998405967767,8.976941439773312e-06,Risk-Off,1
2001-01-08,0.0007762196929118947,0.9992212444929021,2.5358141859574386e-06,Risk-Off,1
2001-01-09,0.0007898483722942999,0.9992077554031283,2.396224576732176e-06,Risk-Off,1
2001-01-10,0.015413320886016262,0.9845781471674316,8.53194655254862e-06,Risk-Off,1
2001-01-11,0.04397361508339203,0.9559797041636185,4.668075299003181e-05,Risk-Off,1
2001-01-12,0.028481113577955505,0.971484467439354,3.441898268972796e-05,Risk-Off,1
2001-01-15,0.00213608418932744,0.9977693543502548,9.456146041737976e-05,Risk-Off,1
2001-01-16,0.0004883838164326444,0.9993988173459951,0.00011279883757283586,Risk-Off,1
2001-01-17,0.00015709547080505624,0.9995245176060429,0.0003183869231526896,Risk-Off,1
2001-01-18,0.00044462044061223887,0.9991480189032955,0.00040736065609156845,Risk-Off,1
2001-01-19,5.3802878398422634e-05,0.9998756670831715,7.053003842931907e-05,Risk-Off,1
2001-01-22,2.5351355460465043e-05,0.9999214080390156,5.3240605524212076e-05,Risk-Off,1
2001-01-23,0.0003202583295668902,0.9996683405357542,1.1401134678559105e-05,Risk-Off,1
2001-01-24,9.277288872307467e-06,0.9999904964948332,2.2621629535100445e-07,Risk-Off,1
2001-01-25,3.9072090335317997e-05,0.999960659896291,2.68013374089956e-07,Risk-Off,1
2001-01-26,5.443531670526977e-05,0.9999449202773582,6.444059363661415e-07,Risk-Off,1
2001-01-29,2.821553566142115e-05,0.9999717181009026,6.636343673382104e-08,Risk-Off,1
2001-01-30,0.00019202679013674036,0.9998077915515287,1.8165833439556136e-07,Risk-Off,1
2001-01-31,0.00037979251730242485,0.9996201299666667,7.751603159276488e-08,Risk-Off,1
2001-02-01,0.0015682305384458778,0.9984313064915797,4.6296997391882204e-07,Risk-Off,1
2001-02-02,0.0008307554033922687,0.9991689146291634,3.299674451979489e-07,Risk-Off,1
2001-02-05,0.0033281302569777003,0.9966698450629611,2.0246800610402216e-06,Risk-Off,1
2001-02-06,0.002293699845487745,0.9977061896534924,1.1050102062571508e-07,Risk-Off,1
2001-02-07,0.025651434885905346,0.9743485450657162,2.0048377842670247e-08,Risk-Off,1
2001-02-08,0.009955633578935325,0.9900443604779505,5.943114166182558e-09,Risk-Off,1
2001-02-09,0.022660880639897227,0.9773390585847818,6.077532167640246e-08,Risk-Off,1
2001-02-12,0.18862543536212684,0.811374499971876,6.466599785025823e-08,Risk-Off,1
2001-02-13,0.15308929476265867,0.8469106923907128,1.2846628408229595e-08,Risk-Off,1
2001-02-14,0.17218037364890346,0.8278195652418423,6.11092536044326e-08,Risk-Off,1
2001-02-15,0.08408048670442755,0.9159195073910481,5.904525102507157e-09,Risk-Off,1
2001-02-16,0.04319002987505939,0.9568099506362556,1.9488685844736967e-08,Risk-Off,1
2001-02-19,0.004012135580609913,0.9959878250072081,3.941218284984995e-08,Risk-Off,1
2001-02-20,0.0002954627733734401,0.9997045233250951,1.3901531787540927e-08,Risk-Off,1
2001-02-21,1.4811407534766007e-05,0.9999851883172597,2.752061921681432e-10,Risk-Off,1
2001-02-22,1.1230640585225922e-06,0.9999988769195038,1.6438421250290555e-11,Risk-Off,1
2001-02-23,1.18502623455495e-05,0.9999881493049603,4.326934207020819e-10,Risk-Off,1
2001-02-26,7.011824949247125e-05,0.9999298817435954,6.911581689214451e-12,Risk-Off,1
2001-02-27,6.663827487644239e-05,0.9999333613956328,3.294903477773383e-10,Risk-Off,1
2001-02-28,1.2033784339071874e-05,0.9999879642902029,1.925458289578001e-09,Risk-Off,1
