,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2000-01-10,2,Bear,1.032181355945537e-105,3.8719765349939275e-59,1.0
2000-01-11,2,Bear,1.525423904335245e-08,3.4054971601263984e-07,0.999999644196641
2000-01-12,2,Bear,3.215810251148048e-08,6.779336583953171e-07,0.9999992899086257
2000-01-13,2,Bear,8.277219420312244e-07,8.835300099653032e-07,0.999998288747165
2000-01-14,2,Bear,0.00022718927419648917,8.091295089276031e-05,0.9996918977752842
2000-01-17,2,Bear,7.685501257659899e-05,0.0003857418356041507,0.9995374031511837
2000-01-18,2,Bear,9.663752588053671e-06,8.825654220694367e-05,0.9999020797055109
2000-01-19,2,Bear,7.166114287562824e-06,1.6526630019924777e-05,0.9999763072561183
2000-01-20,2,Bear,4.878738017462159e-05,3.778005922627675e-05,0.9999134325608472
2000-01-21,2,Bear,2.111470199363719e-06,0.00011642114573704007,0.9998814673842109
2000-01-24,2,Bear,2.0218815607686392e-08,4.871904490094317e-07,0.9999994925912156
2000-01-25,2,Bear,1.4907946994324203e-07,2.921537681226183e-06,0.9999969293832541
2000-01-26,2,Bear,7.75069414335711e-08,1.744925129964013e-06,0.9999981775670912
2000-01-27,2,Bear,2.8049541233036858e-08,1.4779934793741487e-06,0.9999984939561245
2000-01-28,2,Bear,3.1142546815846666e-11,1.3188528833599366e-09,0.9999999986503099
2000-01-31,2,Bear,5.141133205690932e-08,5.429947186367259e-07,0.9999994055944573
2000-02-01,2,Bear,3.927797123046602e-07,3.550449896268041e-06,0.9999960567698037
2000-02-02,2,Bear,3.852802417694488e-07,4.386980644094546e-06,0.9999952277398919
2000-02-03,2,Bear,8.259499704861884e-08,3.3802472035850495e-06,0.9999965371576693
2000-02-04,2,Bear,8.017157310596535e-10,1.6206449423185542e-08,0.9999999829924492
2000-02-07,2,Bear,9.830254092580596e-08,7.38902497749769e-07,0.9999991627941066
2000-02-08,2,Bear,7.781296875552801e-07,4.370732211525488e-06,0.999994851138194
2000-02-09,2,Bear,1.1550792126085145e-06,6.8307676020715725e-06,0.9999920141536315
2000-02-10,2,Bear,3.1340439536838167e-07,8.209103006581231e-06,0.9999914774925225
2000-02-11,2,Bear,3.8820327004688805e-08,1.0724561847538263e-06,0.9999988887236022
2000-02-14,2,Bear,1.1762345756737334e-07,1.1294772676176502e-06,0.9999987528998235
2000-02-15,2,Bear,4.729534925285215e-07,4.6488889824725585e-06,0.9999948781573238
2000-02-16,2,Bear,5.96987848413097e-07,4.706710952475763e-06,0.9999946963011682
2000-02-17,2,Bear,1.3113002783661018e-07,6.213019891513022e-06,0.999993655850746
2000-02-18,2,Bear,1.772037558231504e-09,9.776175170327094e-08,0.9999999004667237
2000-02-21,2,Bear,1.4289497335113393e-09,7.484080793154364e-08,0.9999999237297772
2000-02-22,2,Bear,3.72222673008331e-09,6.141836506507843e-08,0.9999999348601726
2000-02-23,2,Bear,1.0293098692951732e-07,2.5264712448460137e-06,0.9999973705978854
2000-02-24,2,Bear,2.9441481428102234e-08,1.0920297367796233e-06,0.9999988785281779
2000-02-25,2,Bear,1.4159256334006815e-08,4.514728260704808e-07,0.9999995343679249
2000-02-28,2,Bear,2.9526495741683977e-08,5.382560098507081e-07,0.9999994322171708
2000-02-29,2,Bear,3.751292679611996e-07,1.5105213430185534e-06,0.9999981143500506
