phase,variant,asset,arch,model,rule,annualized_sharpe,total_return,max_drawdown,n_trades,win_rate
P5.1,baseline,btc,flat,xgboost,stateful,0.9282939639043714,15.645834649503673,-0.7509319531518506,321,0.5482866043613707
P5.1,baseline,btc,flat,xgboost,defensive,0.8325815280027445,8.995805073194807,-0.7061248806417525,445,0.5438202247191011
P5.1,baseline,btc,flat,xgboost,prob_weighted,0.7149087709014735,2.4049121718891016,-0.3999596062754551,416,0.5528846153846154
P5.1,baseline,btc,flat,lightgbm,stateful,0.9131491684538154,14.693860735477363,-0.7154397678677726,314,0.5477707006369427
P5.1,baseline,btc,flat,lightgbm,defensive,0.8099167506797823,8.132815703078123,-0.6946254011103801,429,0.5407925407925408
P5.1,baseline,btc,flat,lightgbm,prob_weighted,0.7789412641036266,1.727025275435401,-0.2735379424911109,384,0.5364583333333334
P5.1,baseline,btc,flat,random_forest,stateful,0.9201558712830245,15.820088119878369,-0.7150834886872707,272,0.5257352941176471
P5.1,baseline,btc,flat,random_forest,defensive,0.8223448411390294,9.005948542827978,-0.7550824066230293,355,0.5380281690140845
P5.1,baseline,btc,flat,random_forest,prob_weighted,0.7078625053338722,0.826135910881507,-0.1763282189253121,329,0.486322188449848
P5.1,baseline,btc,flat,mlp,stateful,0.7846901583297464,10.207180591748292,-0.6198639649208446,238,0.5084033613445378
P5.1,baseline,btc,flat,mlp,defensive,0.7773063974532187,9.631650143505626,-0.620771354269338,261,0.5172413793103449
P5.1,baseline,btc,flat,mlp,prob_weighted,0.6823974972176278,2.1228075425131263,-0.3552237162605572,251,0.4940239043824701
P5.1,baseline,btc,2stage_trend,xgboost,stateful,0.8800430925016512,11.790952314630358,-0.4070069734400483,202,0.5544554455445545
P5.1,baseline,btc,2stage_trend,xgboost,defensive,0.693174814390997,4.780154880427818,-0.3556886904006692,284,0.528169014084507
P5.1,baseline,btc,2stage_trend,xgboost,prob_weighted,0.8402812216233415,1.941317208006311,-0.2237287836118512,246,0.5528455284552846
P5.1,baseline,btc,2stage_trend,lightgbm,stateful,0.8729059791141001,11.676369951505956,-0.537558743378561,231,0.5627705627705628
P5.1,baseline,btc,2stage_trend,lightgbm,defensive,0.8332045081084429,8.501691069478275,-0.4641769599897449,325,0.5723076923076923
P5.1,baseline,btc,2stage_trend,lightgbm,prob_weighted,1.075575333922674,5.3901614221184735,-0.2784026652787069,297,0.5791245791245792
P5.1,baseline,btc,2stage_trend,random_forest,stateful,1.0119261463788276,19.721276578601024,-0.4462209239546227,173,0.5202312138728323
P5.1,baseline,btc,2stage_trend,random_forest,defensive,0.9866770341055432,13.990687896583854,-0.3512852455010224,241,0.5269709543568465
P5.1,baseline,btc,2stage_trend,random_forest,prob_weighted,0.8308066613032602,0.865628776625921,-0.1162440634026933,210,0.5285714285714286
