phase,variant,asset,arch,model,n_oof,accuracy,f1_macro,f1_sell,f1_hold,f1_buy
P5.1,baseline,btc,flat,xgboost,2400,0.3791666666666666,0.349400230476063,0.3827983040581466,0.2040816326530612,0.4613207547169811
P5.1,baseline,btc,flat,lightgbm,2400,0.3841666666666666,0.3465757475136335,0.3925346177001806,0.1720647773279352,0.4751278475127847
P5.1,baseline,btc,flat,random_forest,2400,0.3729166666666667,0.3279496147033686,0.3711711711711711,0.1444201312910284,0.4682575416479063
P5.1,baseline,btc,flat,mlp,2400,0.405,0.3042899854116883,0.3207920792079208,0.0576923076923076,0.5343855693348365
P5.1,baseline,btc,2stage_trend,xgboost,2400,0.3941666666666666,0.3605101866853741,0.429123000551572,0.1991525423728813,0.4532550171316691
P5.1,baseline,btc,2stage_trend,lightgbm,2400,0.3829166666666667,0.3473143034413435,0.4074492099322799,0.1772679874869656,0.4572257129047849
P5.1,baseline,btc,2stage_trend,random_forest,2400,0.4054166666666666,0.368721845635192,0.4434829637641969,0.1969696969696969,0.4657128761716823
P5.1,baseline,btc,2stage_trend,mlp,2400,0.375,0.3102305104048231,0.3335447051363348,0.1088607594936708,0.4882860665844636
P5.1,baseline,btc,2stage_macro,xgboost,2400,0.3858333333333333,0.3562679349460948,0.4060676779463243,0.2043222003929273,0.4584139264990329
P5.1,baseline,btc,2stage_macro,lightgbm,2400,0.3866666666666666,0.3611807048689382,0.4111045481393975,0.2164179104477611,0.456019656019656
P5.1,baseline,btc,2stage_macro,random_forest,2400,0.3745833333333333,0.3559333519568586,0.3909512761020882,0.2445255474452554,0.4323232323232323
P5.1,baseline,btc,2stage_macro,mlp,2400,0.3970833333333333,0.3421296830801981,0.3807312826465467,0.1558441558441558,0.4898136107498916
P5.1,baseline,btc,3stage_full,xgboost,2400,0.3908333333333333,0.3671348277010435,0.4256719692814042,0.238423645320197,0.437308868501529
P5.1,baseline,btc,3stage_full,lightgbm,2400,0.4004166666666666,0.3608578786438827,0.4313725490196078,0.1888509670079635,0.4623501199040767
P5.1,baseline,btc,3stage_full,random_forest,2400,0.4004166666666666,0.3596820564468921,0.4456177402323125,0.1824480369515011,0.4509803921568627
P5.1,baseline,btc,3stage_full,mlp,2400,0.3908333333333333,0.3465253027958459,0.3962472406181015,0.1771217712177121,0.4662068965517241
P5.1,baseline,eth,flat,xgboost,1200,0.3641666666666667,0.3541786420310948,0.3939745075318656,0.277027027027027,0.3915343915343915
P5.1,baseline,eth,flat,lightgbm,1200,0.3575,0.3474610607364491,0.3903559127439724,0.2666666666666666,0.3853606027987082
