fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_downtrend,f1_range,f1_uptrend,asset,model
1,2014-11-18,2016-12-13,2016-12-24,2017-07-11,750,200,0.61,0.5649295447906767,0.47368421052631576,0.5242718446601942,0.6968325791855203,btc,xgboost
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.59,0.4611502807154981,0.15,0.5217391304347826,0.7117117117117117,btc,xgboost
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.5,0.48656192189522285,0.5038167938931297,0.35714285714285715,0.5987261146496815,btc,xgboost
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.375,0.3043909889270714,0.4,0.1111111111111111,0.4020618556701031,btc,xgboost
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.66,0.6617171142101111,0.717391304347826,0.5826771653543307,0.6850828729281768,btc,xgboost
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.635,0.6296049004672533,0.696969696969697,0.6415094339622641,0.5503355704697986,btc,xgboost
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.55,0.4140447749981218,0.49673202614379086,0.13333333333333333,0.6120689655172413,btc,xgboost
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.46,0.3432573330820929,0.0,0.5355191256830601,0.4942528735632184,btc,xgboost
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.515,0.49388176323160843,0.32142857142857145,0.39705882352941174,0.7631578947368421,btc,xgboost
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.51,0.4238605349853844,0.6696035242290749,0.22988505747126436,0.37209302325581395,btc,xgboost
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.555,0.46926098543377853,0.3559322033898305,0.32786885245901637,0.7239819004524887,btc,xgboost
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.72,0.4858287605609268,0.772093023255814,0.0,0.6853932584269663,btc,xgboost
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.62,0.41488952513158656,0.35398230088495575,0.13333333333333333,0.7573529411764706,btc,xgboost
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.48,0.4143255583554091,0.5818181818181818,0.14925373134328357,0.5119047619047619,btc,xgboost
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.575,0.5206349206349207,0.43609022556390975,0.42105263157894735,0.7047619047619048,btc,xgboost
16,2014-11-18,2025-03-18,2025-03-29,2025-10-16,3750,200,0.71,0.429293404903161,0.4864864864864865,0.0,0.8013937282229965,btc,xgboost
1,2014-11-18,2016-12-13,2016-12-24,2017-07-11,750,200,0.55,0.481310676250225,0.28169014084507044,0.49557522123893805,0.6666666666666666,btc,lightgbm
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.635,0.504596642096642,0.1875,0.6081081081081081,0.7181818181818181,btc,lightgbm
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.475,0.45208569914452273,0.42016806722689076,0.32432432432432434,0.611764705882353,btc,lightgbm
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.335,0.2749988188046303,0.3373493975903614,0.11764705882352941,0.37,btc,lightgbm
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.665,0.6572303358745905,0.7157894736842105,0.543859649122807,0.7120418848167539,btc,lightgbm
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.605,0.6110848584055072,0.6451612903225806,0.6415094339622641,0.546583850931677,btc,lightgbm
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.57,0.4222222222222222,0.5,0.125,0.6416666666666667,btc,lightgbm
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.5,0.35909482421110334,0.0,0.5116279069767442,0.5656565656565656,btc,lightgbm
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.505,0.46978233119537466,0.2708333333333333,0.40559440559440557,0.7329192546583851,btc,lightgbm
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.44,0.37891228830114326,0.5876777251184834,0.23655913978494625,0.3125,btc,lightgbm
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.605,0.5129054520358868,0.4,0.37681159420289856,0.7619047619047619,btc,lightgbm
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.78,0.5245499181669394,0.8076923076923077,0.0,0.7659574468085106,btc,lightgbm
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.655,0.446861530990105,0.29473684210526313,0.25,0.7958477508650519,btc,lightgbm
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.505,0.42561122550141084,0.5733333333333334,0.12903225806451613,0.574468085106383,btc,lightgbm
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.57,0.4059168517235558,0.4462809917355372,0.04878048780487805,0.7226890756302521,btc,lightgbm
16,2014-11-18,2025-03-18,2025-03-29,2025-10-16,3750,200,0.705,0.41180886769122066,0.43137254901960786,0.0,0.8040540540540541,btc,lightgbm
1,2014-11-18,2016-12-13,2016-12-24,2017-07-11,750,200,0.53,0.47437287645485426,0.3333333333333333,0.4482758620689655,0.6415094339622641,btc,random_forest
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.615,0.49511599511599513,0.16666666666666666,0.6043956043956044,0.7142857142857143,btc,random_forest
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.53,0.521672832931111,0.5151515151515151,0.42735042735042733,0.6225165562913907,btc,random_forest
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.435,0.3775319398270218,0.4918032786885246,0.19230769230769232,0.4484848484848485,btc,random_forest
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.755,0.7466808196465843,0.717391304347826,0.7377049180327869,0.7849462365591398,btc,random_forest
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.655,0.6271855876108404,0.7083333333333334,0.5490196078431373,0.6242038216560509,btc,random_forest
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.565,0.41812244370079377,0.5103448275862069,0.1111111111111111,0.6329113924050633,btc,random_forest
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.515,0.37237960894949257,0.0,0.5425531914893617,0.574585635359116,btc,random_forest
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.575,0.5623272149204771,0.4406779661016949,0.48120300751879697,0.7651006711409396,btc,random_forest
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.555,0.47538092305748975,0.6960352422907489,0.3,0.43010752688172044,btc,random_forest
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.53,0.46557202617808685,0.3305785123966942,0.38095238095238093,0.6851851851851852,btc,random_forest
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.775,0.5162115399082223,0.7867298578199052,0.0,0.7619047619047619,btc,random_forest
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.635,0.379845217986509,0.3669724770642202,0.0,0.7725631768953068,btc,random_forest
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.52,0.4518683654091234,0.5925925925925926,0.21052631578947367,0.5524861878453039,btc,random_forest
