fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_downtrend,f1_range,f1_uptrend,asset,model
1,2014-11-18,2016-12-13,2016-12-24,2017-07-11,750,200,0.615,0.5689915157876323,0.48,0.5242718446601942,0.7027027027027027,btc,xgboost
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.595,0.4821047771573677,0.17777777777777778,0.543046357615894,0.7254901960784313,btc,xgboost
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.515,0.5049658858266928,0.5263157894736842,0.3793103448275862,0.609271523178808,btc,xgboost
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.405,0.3386337607089984,0.4519774011299435,0.14634146341463414,0.4175824175824176,btc,xgboost
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.69,0.687512586731942,0.6804123711340206,0.676923076923077,0.7052023121387283,btc,xgboost
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.64,0.6292738097507354,0.7064676616915423,0.6296296296296297,0.5517241379310345,btc,xgboost
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.54,0.438380858734841,0.5,0.2222222222222222,0.5929203539823009,btc,xgboost
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.46,0.3411862990810359,0.0,0.5473684210526316,0.47619047619047616,btc,xgboost
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.53,0.5214453364808992,0.35772357723577236,0.4264705882352941,0.7801418439716312,btc,xgboost
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.555,0.4566346340212954,0.7148936170212766,0.2891566265060241,0.36585365853658536,btc,xgboost
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.525,0.451505817426116,0.34146341463414637,0.32786885245901637,0.6851851851851852,btc,xgboost
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.755,0.5075177598455066,0.7962962962962963,0.0,0.7262569832402235,btc,xgboost
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.635,0.38917589175891765,0.4,0.0,0.7675276752767528,btc,xgboost
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.495,0.42316017316017324,0.5909090909090909,0.17857142857142858,0.5,btc,xgboost
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.585,0.5143885238974423,0.4264705882352941,0.37735849056603776,0.7393364928909952,btc,xgboost
16,2014-11-18,2025-03-18,2025-03-29,2025-10-16,3750,200,0.69,0.4260606060606061,0.5,0.0,0.7781818181818182,btc,xgboost
1,2014-11-18,2016-12-13,2016-12-24,2017-07-11,750,200,0.55,0.481310676250225,0.28169014084507044,0.49557522123893805,0.6666666666666666,btc,lightgbm
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.635,0.504596642096642,0.1875,0.6081081081081081,0.7181818181818181,btc,lightgbm
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.475,0.45208569914452273,0.42016806722689076,0.32432432432432434,0.611764705882353,btc,lightgbm
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.335,0.2749988188046303,0.3373493975903614,0.11764705882352941,0.37,btc,lightgbm
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.665,0.6572303358745905,0.7157894736842105,0.543859649122807,0.7120418848167539,btc,lightgbm
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.605,0.6110848584055072,0.6451612903225806,0.6415094339622641,0.546583850931677,btc,lightgbm
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.57,0.4222222222222222,0.5,0.125,0.6416666666666667,btc,lightgbm
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.5,0.35909482421110334,0.0,0.5116279069767442,0.5656565656565656,btc,lightgbm
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.505,0.46978233119537466,0.2708333333333333,0.40559440559440557,0.7329192546583851,btc,lightgbm
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.44,0.37891228830114326,0.5876777251184834,0.23655913978494625,0.3125,btc,lightgbm
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.605,0.5129054520358868,0.4,0.37681159420289856,0.7619047619047619,btc,lightgbm
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.78,0.5245499181669394,0.8076923076923077,0.0,0.7659574468085106,btc,lightgbm
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.655,0.446861530990105,0.29473684210526313,0.25,0.7958477508650519,btc,lightgbm
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.505,0.42561122550141084,0.5733333333333334,0.12903225806451613,0.574468085106383,btc,lightgbm
