asset,model,trial,state,value,duration_s,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_min_samples_leaf,param_max_features,param_hidden_layer_sizes_idx,param_batch_size,param_learning_rate_init,param_alpha
btc,xgboost,0,COMPLETE,0.5062108527647756,11.079142,300.0,8.0,0.07259248719561363,0.8394633936788146,0.6624074561769746,2.0,,,,,,,,,,
btc,xgboost,1,COMPLETE,0.5140315204629103,2.867885,100.0,8.0,0.05092911283433821,0.8832290311184182,0.608233797718321,10.0,,,,,,,,,,
btc,xgboost,2,COMPLETE,0.5132368389680698,7.618926,550.0,4.0,0.016362239850894616,0.6733618039413735,0.721696897183815,6.0,,,,,,,,,,
btc,xgboost,3,COMPLETE,0.5122145239853667,4.066857,300.0,4.0,0.05243180891902853,0.6557975442608167,0.7168578594140872,4.0,,,,,,,,,,
btc,xgboost,4,COMPLETE,0.5038659378081389,9.705611,350.0,7.0,0.017172542103877867,0.8056937753654446,0.836965827544817,1.0,,,,,,,,,,
btc,xgboost,5,PRUNED,0.5032227288078351,1.165343,400.0,4.0,0.011926324174062874,0.9795542149013333,0.9862528132298237,9.0,,,,,,,,,,
btc,xgboost,6,PRUNED,0.4908585858585859,0.519747,250.0,3.0,0.06378528225249058,0.7760609974958405,0.6488152939379115,5.0,,,,,,,,,,
btc,xgboost,7,PRUNED,0.5071291656398039,0.41734,100.0,8.0,0.020153425505297702,0.8650089137415928,0.7246844304357644,6.0,,,,,,,,,,
btc,xgboost,8,PRUNED,0.48938005753292374,0.701386,400.0,4.0,0.13814017620274424,0.9100531293444458,0.9757995766256756,9.0,,,,,,,,,,
btc,xgboost,9,PRUNED,0.5039985743612801,1.492036,400.0,8.0,0.012707942999213693,0.678393144967658,0.6180909155642152,4.0,,,,,,,,,,
btc,xgboost,10,COMPLETE,0.5159711145823901,2.174974,100.0,6.0,0.03203999390196693,0.9730510848673964,0.8560354009870226,10.0,,,,,,,,,,
btc,xgboost,11,COMPLETE,0.5125335270757173,2.145443,100.0,6.0,0.030290112266028735,0.9988932180774156,0.8690317996453044,10.0,,,,,,,,,,
btc,xgboost,12,PRUNED,0.48541666666666666,0.663828,200.0,6.0,0.03421569540645079,0.9272413213655942,0.9035337974131699,8.0,,,,,,,,,,
btc,xgboost,13,PRUNED,0.48693461710703084,0.507089,150.0,7.0,0.09079769391012942,0.9183731209577773,0.7874820875551369,8.0,,,,,,,,,,
btc,xgboost,14,PRUNED,0.5109592780251463,0.600227,200.0,7.0,0.04634824458828161,0.7371197153065265,0.7862570495140909,10.0,,,,,,,,,,
btc,xgboost,15,PRUNED,0.5041706414814939,1.51915,600.0,5.0,0.027585903074064482,0.9493246691718298,0.9191979476316068,7.0,,,,,,,,,,
btc,xgboost,16,PRUNED,0.5044062030653421,0.288274,100.0,6.0,0.10104841744245217,0.8567007126605428,0.82880318369131,10.0,,,,,,,,,,
btc,xgboost,17,COMPLETE,0.521818921793806,3.637727,200.0,5.0,0.02384235173010944,0.8815706083151493,0.7565252761517033,8.0,,,,,,,,,,
btc,xgboost,18,COMPLETE,0.5182946272388678,3.531974,200.0,5.0,0.02373073312822908,0.9567002513217973,0.930573919743892,8.0,,,,,,,,,,
btc,xgboost,19,PRUNED,0.509990356105443,0.64914,200.0,5.0,0.023132306297354834,0.8122254251087704,0.9362148766913249,7.0,,,,,,,,,,
btc,xgboost,20,PRUNED,0.47886989553656223,1.018638,500.0,3.0,0.01036334506200229,0.7340887389327618,0.774482468414814,8.0,,,,,,,,,,
btc,xgboost,21,PRUNED,0.5608847248239506,1.019284,150.0,5.0,0.024274976466415528,0.960952069264703,0.8797470440635805,9.0,,,,,,,,,,
btc,xgboost,22,PRUNED,0.49089471864038337,0.767078,250.0,5.0,0.03590118443688506,0.8970303337810759,0.9477378737879129,7.0,,,,,,,,,,
btc,xgboost,23,PRUNED,0.5005572755417956,0.524537,150.0,6.0,0.040185711411513864,0.9445335402093489,0.8323930652915951,9.0,,,,,,,,,,
btc,xgboost,24,PRUNED,0.50396661406522,0.819623,250.0,5.0,0.017804728406889878,0.9828876862433195,0.747598594562545,8.0,,,,,,,,,,
btc,xgboost,25,COMPLETE,0.5112194387163844,3.524645,150.0,6.0,0.02633835617870017,0.960413521654473,0.8651250666290947,7.0,,,,,,,,,,
btc,xgboost,26,COMPLETE,0.5191353560487042,8.230611,300.0,7.0,0.014327439464238236,0.8846318522423857,0.8962236418769566,9.0,,,,,,,,,,
btc,xgboost,27,PRUNED,0.5081061692969872,1.578399,300.0,7.0,0.014207945025451068,0.8415009767883594,0.9002894612676551,5.0,,,,,,,,,,
btc,xgboost,28,PRUNED,0.5062982121917797,1.109663,350.0,4.0,0.021799596130354443,0.8842579378347708,0.9672934099449826,8.0,,,,,,,,,,
btc,xgboost,29,COMPLETE,0.5335386511706618,6.495699,300.0,5.0,0.014303487984571909,0.6114948874411065,0.8155758487088944,3.0,,,,,,,,,,
btc,lightgbm,0,COMPLETE,0.49189843576790115,39.178328,300.0,,0.07259248719561363,,,,115.0,0.8394633936788146,0.6624074561769746,12.0,,,,,,
btc,lightgbm,1,COMPLETE,0.5056342487462326,3.878138,100.0,,0.05092911283433821,,,,95.0,0.8832290311184182,0.608233797718321,49.0,,,,,,
btc,lightgbm,2,COMPLETE,0.4987189042455249,21.887234,550.0,,0.016362239850894616,,,,23.0,0.6733618039413735,0.721696897183815,29.0,,,,,,
btc,lightgbm,3,COMPLETE,0.5025232481059095,13.833698,300.0,,0.05243180891902853,,,,27.0,0.6557975442608167,0.7168578594140872,21.0,,,,,,
btc,lightgbm,4,COMPLETE,0.49827624830533407,43.746609,350.0,,0.017172542103877867,,,,80.0,0.8056937753654446,0.836965827544817,7.0,,,,,,
btc,lightgbm,5,PRUNED,0.47042795741216886,2.084314,400.0,,0.011926324174062874,,,,21.0,0.9795542149013333,0.9862528132298237,42.0,,,,,,
btc,lightgbm,6,PRUNED,0.46439808111168723,1.235808,250.0,,0.06378528225249058,,,,18.0,0.7760609974958405,0.6488152939379115,27.0,,,,,,
btc,lightgbm,7,PRUNED,0.4577023644143627,0.513171,100.0,,0.020153425505297702,,,,105.0,0.8650089137415928,0.7246844304357644,28.0,,,,,,
btc,lightgbm,8,PRUNED,0.4812606093093898,1.045115,400.0,,0.13814017620274424,,,,22.0,0.9100531293444458,0.9757995766256756,46.0,,,,,,
btc,lightgbm,9,COMPLETE,0.5137623466868597,37.629568,400.0,,0.012707942999213693,,,,108.0,0.678393144967658,0.6180909155642152,19.0,,,,,,
btc,lightgbm,10,PRUNED,0.46391961947517507,4.985558,600.0,,0.027143052490931286,,,,50.0,0.6071847502459278,0.8548368194215873,18.0,,,,,,
btc,lightgbm,11,PRUNED,0.4630383976819686,0.349175,100.0,,0.03620853028492042,,,,65.0,0.723532633125523,0.6062940462474563,38.0,,,,,,
btc,lightgbm,12,PRUNED,0.5437229457030915,3.700008,500.0,,0.12727258793928212,,,,37.0,0.9144299083451704,0.6024245475816379,35.0,,,,,,
btc,lightgbm,13,PRUNED,0.4791336537146593,1.944282,200.0,,0.03738003516534682,,,,76.0,0.7382774980993067,0.7874820875551369,17.0,,,,,,
