asset,model,trial,state,value,duration_s,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_min_samples_leaf,param_max_features,param_hidden_layer_sizes_idx,param_batch_size,param_learning_rate_init,param_alpha
btc,xgboost,0,COMPLETE,0.46698920233778324,4.434673,300.0,8.0,0.07259248719561363,0.8394633936788146,0.6624074561769746,2.0,,,,,,,,,,
btc,xgboost,1,COMPLETE,0.47005329866571444,1.465286,100.0,8.0,0.05092911283433821,0.8832290311184182,0.608233797718321,10.0,,,,,,,,,,
btc,xgboost,2,COMPLETE,0.4879716807611429,4.708591,550.0,4.0,0.016362239850894616,0.6733618039413735,0.721696897183815,6.0,,,,,,,,,,
btc,xgboost,3,COMPLETE,0.4893931140305705,2.751365,300.0,4.0,0.05243180891902853,0.6557975442608167,0.7168578594140872,4.0,,,,,,,,,,
btc,xgboost,4,COMPLETE,0.4817605338224409,6.169181,350.0,7.0,0.017172542103877867,0.8056937753654446,0.836965827544817,1.0,,,,,,,,,,
btc,xgboost,5,PRUNED,0.5032227288078351,1.243924,400.0,4.0,0.011926324174062874,0.9795542149013333,0.9862528132298237,9.0,,,,,,,,,,
btc,xgboost,6,PRUNED,0.4908585858585859,0.641581,250.0,3.0,0.06378528225249058,0.7760609974958405,0.6488152939379115,5.0,,,,,,,,,,
btc,xgboost,7,PRUNED,0.5071291656398039,0.514767,100.0,8.0,0.020153425505297702,0.8650089137415928,0.7246844304357644,6.0,,,,,,,,,,
btc,xgboost,8,PRUNED,0.48938005753292374,0.861739,400.0,4.0,0.13814017620274424,0.9100531293444458,0.9757995766256756,9.0,,,,,,,,,,
btc,xgboost,9,PRUNED,0.5039985743612801,1.983507,400.0,8.0,0.012707942999213693,0.678393144967658,0.6180909155642152,4.0,,,,,,,,,,
btc,xgboost,10,PRUNED,0.49689085656765536,1.835605,600.0,6.0,0.03203999390196693,0.6071847502459278,0.8391524267229544,4.0,,,,,,,,,,
btc,xgboost,11,PRUNED,0.4876364637407582,1.550775,600.0,5.0,0.03538124367655844,0.7106359985758225,0.7532336562338403,7.0,,,,,,,,,,
btc,xgboost,12,PRUNED,0.4786639892064886,1.302154,500.0,3.0,0.025283085092415867,0.6068581894615384,0.7331336920786393,7.0,,,,,,,,,,
btc,xgboost,13,COMPLETE,0.4755748951065253,2.308142,200.0,5.0,0.09775590529604335,0.696323175000364,0.7874820875551369,3.0,,,,,,,,,,
btc,xgboost,14,PRUNED,0.49282550443113404,1.390035,500.0,4.0,0.05003332253007359,0.7371197153065265,0.6963009895578429,6.0,,,,,,,,,,
btc,xgboost,15,PRUNED,0.49647266313932975,1.742966,500.0,6.0,0.02673060672472688,0.64929279841516,0.8752918047800797,4.0,,,,,,,,,,
btc,xgboost,16,COMPLETE,0.5027176556435023,2.065293,200.0,4.0,0.016926420004910583,0.7577093643201889,0.7933723419235339,7.0,,,,,,,,,,
btc,xgboost,17,PRUNED,0.4981150793650793,0.610701,200.0,3.0,0.04269808384554225,0.7539796407337817,0.9146511487079995,8.0,,,,,,,,,,
btc,xgboost,18,COMPLETE,0.47904230927295727,2.285274,200.0,5.0,0.08806246765462218,0.810556089015916,0.7900699994660245,5.0,,,,,,,,,,
btc,xgboost,19,COMPLETE,0.507250566534302,2.967621,300.0,4.0,0.010025217843785785,0.6437819111925598,0.7698282478284993,2.0,,,,,,,,,,
btc,xgboost,20,COMPLETE,0.479023783464893,2.305403,150.0,6.0,0.01036334506200229,0.7224137239654794,0.9210028103717012,1.0,,,,,,,,,,
btc,xgboost,21,COMPLETE,0.49721980212688094,3.094526,300.0,4.0,0.014439125333109197,0.6307443297953934,0.7574575746583264,3.0,,,,,,,,,,
btc,xgboost,22,PRUNED,0.505151768309663,0.759711,300.0,3.0,0.014296647669540854,0.635035260680287,0.7695093750310222,2.0,,,,,,,,,,
btc,xgboost,23,COMPLETE,0.5051374466421517,3.171792,250.0,5.0,0.010289799420242161,0.6008927784227465,0.8372313308686379,2.0,,,,,,,,,,
btc,xgboost,24,PRUNED,0.512805258088277,0.947662,250.0,5.0,0.010240906877084056,0.6057717602340855,0.8184142594038357,2.0,,,,,,,,,,
btc,xgboost,25,COMPLETE,0.48292502412819616,1.846592,150.0,5.0,0.020310814993817216,0.7662333020283406,0.8651250666290947,3.0,,,,,,,,,,
btc,xgboost,26,PRUNED,0.515542942323128,1.478609,250.0,7.0,0.010245509118984078,0.6965645209738722,0.8927667771131522,1.0,,,,,,,,,,
btc,xgboost,27,PRUNED,0.4985360626809075,1.09735,350.0,4.0,0.020578022614109275,0.9551931145369887,0.8200409469785248,8.0,,,,,,,,,,
btc,xgboost,28,PRUNED,0.5075757575757576,0.672457,150.0,5.0,0.012689764289026415,0.6654627216540441,0.7987607342877341,7.0,,,,,,,,,,
btc,xgboost,29,COMPLETE,0.48351615404810117,1.969964,250.0,3.0,0.016705685886818998,0.8310365866154781,0.6657374610104677,2.0,,,,,,,,,,
btc,lightgbm,0,COMPLETE,0.4456130502270886,23.184814,300.0,,0.07259248719561363,,,,115.0,0.8394633936788146,0.6624074561769746,12.0,,,,,,
btc,lightgbm,1,COMPLETE,0.4674261820401828,2.450986,100.0,,0.05092911283433821,,,,95.0,0.8832290311184182,0.608233797718321,49.0,,,,,,
btc,lightgbm,2,COMPLETE,0.4603526702558141,12.754266,550.0,,0.016362239850894616,,,,23.0,0.6733618039413735,0.721696897183815,29.0,,,,,,
btc,lightgbm,3,COMPLETE,0.460563529275078,7.925926,300.0,,0.05243180891902853,,,,27.0,0.6557975442608167,0.7168578594140872,21.0,,,,,,
btc,lightgbm,4,COMPLETE,0.46315786050176855,28.490379,350.0,,0.017172542103877867,,,,80.0,0.8056937753654446,0.836965827544817,7.0,,,,,,
btc,lightgbm,5,PRUNED,0.47042795741216886,2.580958,400.0,,0.011926324174062874,,,,21.0,0.9795542149013333,0.9862528132298237,42.0,,,,,,
btc,lightgbm,6,PRUNED,0.46439808111168723,1.51994,250.0,,0.06378528225249058,,,,18.0,0.7760609974958405,0.6488152939379115,27.0,,,,,,
btc,lightgbm,7,PRUNED,0.4577023644143627,0.682827,100.0,,0.020153425505297702,,,,105.0,0.8650089137415928,0.7246844304357644,28.0,,,,,,
btc,lightgbm,8,PRUNED,0.4812606093093898,1.466492,400.0,,0.13814017620274424,,,,22.0,0.9100531293444458,0.9757995766256756,46.0,,,,,,
btc,lightgbm,9,COMPLETE,0.47192079023546524,27.956711,400.0,,0.012707942999213693,,,,108.0,0.678393144967658,0.6180909155642152,19.0,,,,,,
btc,lightgbm,10,PRUNED,0.46391961947517507,6.151236,600.0,,0.027143052490931286,,,,50.0,0.6071847502459278,0.8548368194215873,18.0,,,,,,
btc,lightgbm,11,PRUNED,0.4630383976819686,0.430602,100.0,,0.03620853028492042,,,,65.0,0.723532633125523,0.6062940462474563,38.0,,,,,,
btc,lightgbm,12,COMPLETE,0.4535119848123416,13.853445,500.0,,0.12727258793928212,,,,37.0,0.9144299083451704,0.6024245475816379,35.0,,,,,,
btc,lightgbm,13,PRUNED,0.4791336537146593,2.227036,200.0,,0.03738003516534682,,,,76.0,0.7382774980993067,0.7874820875551369,17.0,,,,,,
btc,lightgbm,14,PRUNED,0.47314219490838827,1.400924,450.0,,0.01016073939430954,,,,126.0,0.9984066126989741,0.6684815593910434,50.0,,,,,,
btc,lightgbm,15,PRUNED,0.4845273028464751,1.187328,200.0,,0.09083642005367193,,,,91.0,0.9103569619688984,0.910300520286121,34.0,,,,,,
btc,lightgbm,16,PRUNED,0.4815262122025407,1.026063,150.0,,0.029369047565696364,,,,56.0,0.6014394037264182,0.7683684625594487,23.0,,,,,,
btc,lightgbm,17,COMPLETE,0.45356909231377857,14.806433,450.0,,0.04901664361545082,,,,35.0,0.7539796407337818,0.633678490980953,5.0,,,,,,
btc,lightgbm,18,PRUNED,0.4820585227607715,5.012241,300.0,,0.023818218210708335,,,,91.0,0.6918943664158308,0.6869774974966741,13.0,,,,,,
btc,lightgbm,19,PRUNED,0.4640324550001969,1.342613,350.0,,0.09713478796027722,,,,65.0,0.8135649375371401,0.6016207845062527,44.0,,,,,,
btc,lightgbm,20,PRUNED,0.4662516541050572,1.098107,200.0,,0.043919213632691044,,,,15.0,0.8679083694332411,0.7667424362376899,33.0,,,,,,
btc,lightgbm,21,PRUNED,0.4843342182791724,11.682522,400.0,,0.014470272054982877,,,,85.0,0.8509679306459871,0.8462981343956401,7.0,,,,,,
btc,lightgbm,22,PRUNED,0.48537409207800275,9.093317,500.0,,0.018683627445899288,,,,72.0,0.7980536390300791,0.8416634198004798,11.0,,,,,,
btc,lightgbm,23,PRUNED,0.47906712852365024,8.813815,350.0,,0.011888668368986877,,,,102.0,0.9574156345720688,0.9012592283115032,9.0,,,,,,
btc,lightgbm,24,COMPLETE,0.4686236525789175,13.652394,250.0,,0.014255471072139408,,,,50.0,0.8136475215421648,0.8153062608582723,15.0,,,,,,
btc,lightgbm,25,COMPLETE,0.4692922297290873,8.010496,150.0,,0.013664433748231659,,,,45.0,0.8910149050713664,0.8069410260856268,16.0,,,,,,
btc,lightgbm,26,COMPLETE,0.46366714387723945,11.712268,250.0,,0.013730916690376543,,,,43.0,0.9476077563455207,0.8072962977331162,16.0,,,,,,
btc,lightgbm,27,PRUNED,0.4754002372585135,1.777877,150.0,,0.021491360492423492,,,,31.0,0.7080608210098904,0.9194673410280076,20.0,,,,,,
btc,lightgbm,28,PRUNED,0.4823689247535607,2.763254,250.0,,0.011730625813906133,,,,48.0,0.6425641175770292,0.8118029643510637,15.0,,,,,,
btc,lightgbm,29,COMPLETE,0.4687066132305648,7.567044,150.0,,0.014303487984571909,,,,57.0,0.8310365866154781,0.7490786624729372,13.0,,,,,,
