asset,deviation_pct,min_segment_days,range_amplitude,n_total,n_down,n_range,n_up,share_down,share_range,share_up,imbalance
btc,0.07,15,0.05,4094,938,1365,1791,0.22911577918905715,0.3334147532975085,0.4374694675134343,0.20843510828855236
btc,0.07,15,0.075,4094,910,1393,1791,0.22227650219833903,0.34025403028822665,0.4374694675134343,0.2221136622699886
btc,0.07,15,0.1,4094,880,1423,1791,0.2149487054225696,0.3475818270639961,0.4374694675134343,0.23676925582152747
btc,0.07,10,0.1,4094,1062,1029,2003,0.25940400586223744,0.25134342940889104,0.4892525647288715,0.31183846279107635
btc,0.07,20,0.05,4094,718,1753,1623,0.17537860283341475,0.42818759159745967,0.39643380556912555,0.31590946099983713
btc,0.07,20,0.075,4094,690,1781,1623,0.16853932584269662,0.4350268685881778,0.39643380556912555,0.3295880149812734
btc,0.07,10,0.05,4094,1227,803,2064,0.29970688812896923,0.19614069369809478,0.504152418172936,0.3416381696792053
btc,0.07,10,0.075,4094,1188,842,2064,0.29018075232046897,0.205666829506595,0.504152418172936,0.34163816967920535
btc,0.07,20,0.1,4094,660,1811,1623,0.1612115290669272,0.44235466536394724,0.39643380556912555,0.3442436085328123
btc,0.07,25,0.05,4094,607,2103,1384,0.14826575476306791,0.5136785539814362,0.33805569125549584,0.37013515714053086
btc,0.07,25,0.075,4094,579,2131,1384,0.1414264777723498,0.5205178309721544,0.33805569125549584,0.38381371112196716
btc,0.1,15,0.05,4094,1185,736,2173,0.289447972642892,0.1797752808988764,0.5307767464582316,0.3948868262497965
btc,0.07,25,0.1,4094,549,2161,1384,0.13409868099658037,0.5278456277479238,0.33805569125549584,0.3984693046735059
btc,0.1,10,0.05,4094,1372,421,2301,0.33512457254518807,0.1028334147532975,0.5620420127015144,0.4609998371600717
btc,0.1,10,0.075,4094,1372,421,2301,0.33512457254518807,0.1028334147532975,0.5620420127015144,0.4609998371600717
btc,0.1,10,0.1,4094,1372,421,2301,0.33512457254518807,0.1028334147532975,0.5620420127015144,0.4609998371600717
eth,0.07,10,0.1,2955,793,948,1214,0.26835871404399325,0.3208121827411167,0.41082910321489,0.15499153976311336
eth,0.07,10,0.05,2955,816,892,1247,0.27614213197969545,0.3018612521150592,0.42199661590524534,0.177326565143824
eth,0.07,10,0.075,2955,816,892,1247,0.27614213197969545,0.3018612521150592,0.42199661590524534,0.177326565143824
eth,0.1,15,0.05,2955,849,820,1286,0.28730964467005077,0.27749576988155666,0.43519458544839257,0.20372250423011845
eth,0.07,15,0.05,2955,521,1434,1000,0.17631133671742807,0.4852791878172589,0.338409475465313,0.31404399323181054
eth,0.07,15,0.075,2955,521,1434,1000,0.17631133671742807,0.4852791878172589,0.338409475465313,0.31404399323181054
eth,0.07,15,0.1,2955,521,1434,1000,0.17631133671742807,0.4852791878172589,0.338409475465313,0.31404399323181054
eth,0.1,10,0.05,2955,1022,429,1504,0.3458544839255499,0.14517766497461929,0.5089678510998308,0.3763113367174281
eth,0.1,10,0.075,2955,1022,429,1504,0.3458544839255499,0.14517766497461929,0.5089678510998308,0.3763113367174281
eth,0.1,10,0.1,2955,1022,429,1504,0.3458544839255499,0.14517766497461929,0.5089678510998308,0.3763113367174281
eth,0.07,20,0.05,2955,293,1885,777,0.09915397631133671,0.637901861252115,0.2629441624365482,0.6091370558375634
eth,0.07,20,0.075,2955,293,1885,777,0.09915397631133671,0.637901861252115,0.2629441624365482,0.6091370558375634
eth,0.07,20,0.1,2955,293,1885,777,0.09915397631133671,0.637901861252115,0.2629441624365482,0.6091370558375634
eth,0.07,25,0.05,2955,229,2186,540,0.07749576988155668,0.7397631133671743,0.18274111675126903,0.812859560067682
eth,0.07,25,0.075,2955,229,2186,540,0.07749576988155668,0.7397631133671743,0.18274111675126903,0.812859560067682
eth,0.07,25,0.1,2955,229,2186,540,0.07749576988155668,0.7397631133671743,0.18274111675126903,0.812859560067682
