fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_downtrend,f1_range,f1_uptrend,asset,model
1,2014-11-18,2016-12-13,2016-12-24,2017-07-11,750,200,0.56,0.49178790967781794,0.3055555555555556,0.4909090909090909,0.6788990825688074,btc,xgboost
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.58,0.4568998523531785,0.20512820512820512,0.453125,0.7124463519313304,btc,xgboost
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.475,0.45396825396825397,0.43333333333333335,0.32142857142857145,0.6071428571428571,btc,xgboost
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.335,0.2738878199016532,0.32926829268292684,0.11428571428571428,0.3781094527363184,btc,xgboost
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.61,0.6098942309164103,0.7142857142857143,0.47058823529411764,0.644808743169399,btc,xgboost
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.6,0.6075636941339493,0.6413043478260869,0.6415094339622641,0.5398773006134969,btc,xgboost
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.555,0.447685733292742,0.4864864864864865,0.23529411764705882,0.6212765957446809,btc,xgboost
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.455,0.33718949535484005,0.0,0.46706586826347307,0.5445026178010471,btc,xgboost
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.495,0.4618983564206494,0.24,0.4195804195804196,0.7261146496815286,btc,xgboost
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.45,0.3946823554070426,0.5876777251184834,0.2268041237113402,0.3695652173913043,btc,xgboost
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.58,0.4885283513602097,0.3888888888888889,0.3333333333333333,0.7433628318584071,btc,xgboost
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.715,0.48521916411824667,0.7889908256880734,0.0,0.6666666666666666,btc,xgboost
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.65,0.4567108915224177,0.3300970873786408,0.25,0.7900355871886121,btc,xgboost
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.515,0.44792443064182197,0.5962732919254659,0.1875,0.56,btc,xgboost
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.59,0.47811958712045416,0.4462809917355372,0.2553191489361702,0.7327586206896551,btc,xgboost
16,2014-11-18,2025-03-18,2025-03-29,2025-10-16,3750,200,0.715,0.42906234658811976,0.47619047619047616,0.0,0.8109965635738832,btc,xgboost
1,2014-11-18,2016-12-13,2016-12-24,2017-07-11,750,200,0.54,0.4705583444416083,0.2898550724637681,0.4642857142857143,0.6575342465753424,btc,lightgbm
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.59,0.45862791306624767,0.15789473684210525,0.5074626865671642,0.7105263157894737,btc,lightgbm
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.395,0.3640658121245231,0.22641509433962265,0.2926829268292683,0.5730994152046783,btc,lightgbm
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.345,0.2671266781192339,0.3668639053254438,0.06451612903225806,0.37,btc,lightgbm
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.625,0.620868569074925,0.723404255319149,0.46551724137931033,0.6736842105263158,btc,lightgbm
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.58,0.5968427474706391,0.5955056179775281,0.6538461538461539,0.5411764705882353,btc,lightgbm
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.555,0.4089433207833523,0.46808510638297873,0.125,0.6337448559670782,btc,lightgbm
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.51,0.36682013142879627,0.0,0.5116279069767442,0.5888324873096447,btc,lightgbm
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.455,0.41065978938319364,0.1702127659574468,0.3829787234042553,0.6787878787878788,btc,lightgbm
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.43,0.3722012695912855,0.5756097560975609,0.20454545454545456,0.3364485981308411,btc,lightgbm
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.645,0.5436121898639437,0.43478260869565216,0.39436619718309857,0.8016877637130801,btc,lightgbm
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.77,0.5177986906710311,0.7980769230769231,0.0,0.7553191489361702,btc,lightgbm
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.68,0.45434070434070434,0.29545454545454547,0.25,0.8175675675675675,btc,lightgbm
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.49,0.4092677292677293,0.5733333333333334,0.09230769230769231,0.5621621621621622,btc,lightgbm
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.565,0.39076075439711805,0.46153846153846156,0.0,0.7107438016528925,btc,lightgbm
