fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_sell,f1_hold,f1_buy,asset,model
1,2016-12-24,2019-01-15,2019-01-26,2019-08-13,750,200,0.345,0.28449544155059187,0.35294117647058826,0.06779661016949153,0.4327485380116959,btc,xgboost
2,2016-12-24,2019-08-03,2019-08-14,2020-03-02,950,200,0.375,0.34044921486781954,0.4,0.1794871794871795,0.4418604651162791,btc,xgboost
3,2016-12-24,2020-02-21,2020-03-03,2020-09-18,1150,200,0.39,0.35403624972320996,0.4539877300613497,0.175,0.43312101910828027,btc,xgboost
4,2016-12-24,2020-09-08,2020-09-19,2021-04-08,1350,200,0.385,0.34218365051977373,0.3103448275862069,0.23076923076923078,0.4854368932038835,btc,xgboost
5,2016-12-24,2021-03-29,2021-04-09,2021-10-26,1550,200,0.36,0.3036200605453687,0.20952380952380953,0.16326530612244897,0.5380710659898477,btc,xgboost
6,2016-12-24,2021-10-16,2021-10-27,2022-05-15,1750,200,0.475,0.4140714773562248,0.5977011494252874,0.1791044776119403,0.46540880503144655,btc,xgboost
7,2016-12-24,2022-05-05,2022-05-16,2022-12-05,1950,200,0.38,0.3708631584737779,0.5314685314685315,0.24778761061946902,0.3333333333333333,btc,xgboost
8,2016-12-24,2022-11-25,2022-12-06,2023-06-23,2150,200,0.405,0.3833330186006987,0.4685714285714286,0.2696629213483146,0.4117647058823529,btc,xgboost
9,2016-12-24,2023-06-13,2023-06-24,2024-01-10,2350,200,0.395,0.39395831831398836,0.4125,0.3917525773195876,0.3776223776223776,btc,xgboost
10,2016-12-24,2023-12-31,2024-01-11,2024-07-28,2550,200,0.38,0.3394590493110883,0.3803680981595092,0.17647058823529413,0.46153846153846156,btc,xgboost
11,2016-12-24,2024-07-18,2024-07-29,2025-02-16,2750,200,0.41,0.38319976934195626,0.45751633986928103,0.23809523809523808,0.4539877300613497,btc,xgboost
12,2016-12-24,2025-02-06,2025-02-17,2025-09-05,2950,200,0.39,0.39083826655189985,0.423841059602649,0.40384615384615385,0.3448275862068966,btc,xgboost
1,2016-12-24,2019-01-15,2019-01-26,2019-08-13,750,200,0.35,0.28822319694891413,0.3815028901734104,0.06896551724137931,0.41420118343195267,btc,lightgbm
2,2016-12-24,2019-08-03,2019-08-14,2020-03-02,950,200,0.405,0.3860431128973328,0.42857142857142855,0.2823529411764706,0.4472049689440994,btc,lightgbm
3,2016-12-24,2020-02-21,2020-03-03,2020-09-18,1150,200,0.43,0.36598822974746564,0.5251396648044693,0.12121212121212122,0.45161290322580644,btc,lightgbm
4,2016-12-24,2020-09-08,2020-09-19,2021-04-08,1350,200,0.405,0.3518758323001332,0.39344262295081966,0.17647058823529413,0.4857142857142857,btc,lightgbm
5,2016-12-24,2021-03-29,2021-04-09,2021-10-26,1550,200,0.415,0.3318278967292467,0.19047619047619047,0.19753086419753085,0.6074766355140186,btc,lightgbm
6,2016-12-24,2021-10-16,2021-10-27,2022-05-15,1750,200,0.46,0.3717529301983036,0.5508982035928144,0.07547169811320754,0.4888888888888889,btc,lightgbm
7,2016-12-24,2022-05-05,2022-05-16,2022-12-05,1950,200,0.39,0.3546691403834261,0.5034013605442177,0.13636363636363635,0.42424242424242425,btc,lightgbm
8,2016-12-24,2022-11-25,2022-12-06,2023-06-23,2150,200,0.41,0.3686000096684415,0.48554913294797686,0.19444444444444445,0.4258064516129032,btc,lightgbm
9,2016-12-24,2023-06-13,2023-06-24,2024-01-10,2350,200,0.36,0.3407659264146032,0.3950617283950617,0.22988505747126436,0.3973509933774834,btc,lightgbm
10,2016-12-24,2023-12-31,2024-01-11,2024-07-28,2550,200,0.365,0.30762590592254074,0.39759036144578314,0.1,0.42528735632183906,btc,lightgbm
11,2016-12-24,2024-07-18,2024-07-29,2025-02-16,2750,200,0.41,0.3729255107156198,0.4161073825503356,0.2222222222222222,0.48044692737430167,btc,lightgbm
12,2016-12-24,2025-02-06,2025-02-17,2025-09-05,2950,200,0.405,0.3939389382144663,0.4028776978417266,0.33707865168539325,0.4418604651162791,btc,lightgbm
1,2016-12-24,2019-01-15,2019-01-26,2019-08-13,750,200,0.38,0.3043816437645839,0.2857142857142857,0.10526315789473684,0.5221674876847291,btc,random_forest
2,2016-12-24,2019-08-03,2019-08-14,2020-03-02,950,200,0.425,0.3997034309965741,0.49056603773584906,0.2682926829268293,0.44025157232704404,btc,random_forest
3,2016-12-24,2020-02-21,2020-03-03,2020-09-18,1150,200,0.335,0.28886893011622866,0.45454545454545453,0.1518987341772152,0.2601626016260163,btc,random_forest
4,2016-12-24,2020-09-08,2020-09-19,2021-04-08,1350,200,0.485,0.3850884265978605,0.41509433962264153,0.13333333333333333,0.6068376068376068,btc,random_forest
5,2016-12-24,2021-03-29,2021-04-09,2021-10-26,1550,200,0.37,0.28801149879773963,0.21238938053097345,0.1095890410958904,0.5420560747663551,btc,random_forest
6,2016-12-24,2021-10-16,2021-10-27,2022-05-15,1750,200,0.5,0.41231771841527937,0.5853658536585366,0.10714285714285714,0.5444444444444444,btc,random_forest
7,2016-12-24,2022-05-05,2022-05-16,2022-12-05,1950,200,0.42,0.3917784546139231,0.535031847133758,0.2247191011235955,0.4155844155844156,btc,random_forest
8,2016-12-24,2022-11-25,2022-12-06,2023-06-23,2150,200,0.4,0.3567305236270753,0.5111111111111111,0.18666666666666668,0.3724137931034483,btc,random_forest
9,2016-12-24,2023-06-13,2023-06-24,2024-01-10,2350,200,0.345,0.314917170774345,0.4161849710982659,0.17721518987341772,0.35135135135135137,btc,random_forest
