rule,asset,model,total_return,annualized_sharpe,max_drawdown,n_trades,win_rate,final_equity,n_days,span_start,span_end,k
stateful,btc,xgboost,13.985856408579727,0.940764829473564,-0.4307741045812651,187,0.6096256684491979,14.985856408579727,2400,2019-01-26,2025-09-05,0.4
defensive,btc,xgboost,9.125694737145581,0.8750842137473553,-0.3303137833771237,257,0.6070038910505836,10.125694737145581,2400,2019-01-26,2025-09-05,0.4
prob_weighted,btc,xgboost,1.96238313276824,0.7856021989339836,-0.2746093903814997,230,0.6043478260869565,2.96238313276824,2400,2019-01-26,2025-09-05,0.4
stateful,btc,lightgbm,10.449640606589615,0.8691989103828865,-0.5175266236280496,219,0.593607305936073,11.449640606589615,2400,2019-01-26,2025-09-05,0.4
defensive,btc,lightgbm,6.481442660761294,0.7656388515698465,-0.5284483164678575,265,0.5962264150943396,7.481442660761294,2400,2019-01-26,2025-09-05,0.4
prob_weighted,btc,lightgbm,4.571661404194194,0.9009143336260425,-0.3610820537001658,240,0.6125,5.571661404194194,2400,2019-01-26,2025-09-05,0.4
stateful,btc,random_forest,14.722641219130928,0.9627750544500059,-0.4925918361417587,197,0.5177664974619289,15.722641219130928,2400,2019-01-26,2025-09-05,0.4
defensive,btc,random_forest,15.526325974662136,0.9982121810626555,-0.39140571088987786,228,0.5175438596491229,16.526325974662136,2400,2019-01-26,2025-09-05,0.4
prob_weighted,btc,random_forest,0.9422089868606636,0.8715630082437017,-0.12411883387012312,220,0.5454545454545454,1.9422089868606636,2400,2019-01-26,2025-09-05,0.4
stateful,btc,mlp,14.37733806435409,0.9413061368680337,-0.5417481413134451,201,0.5621890547263682,15.37733806435409,2400,2019-01-26,2025-09-05,0.4
defensive,btc,mlp,13.45723339613736,0.9353129590027214,-0.5042257551159589,223,0.5515695067264574,14.45723339613736,2400,2019-01-26,2025-09-05,0.4
prob_weighted,btc,mlp,3.986807789555778,0.7512737841229215,-0.41777626069079543,211,0.5402843601895735,4.986807789555778,2400,2019-01-26,2025-09-05,0.4
buy_and_hold,btc,benchmark,29.71539186474515,0.9513212296677952,-0.7663456370856906,1,1.0,30.71539186474515,2400,2019-01-26,2025-09-05,0.4
stateful,btc,xgboost,29.013821360472036,1.1470791622327978,-0.4599444471123002,179,0.5921787709497207,30.013821360472036,2400,2019-01-26,2025-09-05,0.5
defensive,btc,xgboost,13.09211763213003,0.9848283631728987,-0.3560776617217354,248,0.5967741935483871,14.09211763213003,2400,2019-01-26,2025-09-05,0.5
prob_weighted,btc,xgboost,2.1329378688800262,0.8226775617595915,-0.2547651726136795,219,0.5844748858447488,3.1329378688800262,2400,2019-01-26,2025-09-05,0.5
stateful,btc,lightgbm,25.18939631156961,1.0927716653310473,-0.4307741045812655,207,0.5893719806763285,26.18939631156961,2400,2019-01-26,2025-09-05,0.5
defensive,btc,lightgbm,13.239640089321458,0.9611142002638946,-0.44374508737478746,271,0.6014760147601476,14.239640089321458,2400,2019-01-26,2025-09-05,0.5
prob_weighted,btc,lightgbm,3.7625779363930114,0.8508158092275935,-0.3135671346847122,244,0.6147540983606558,4.762577936393011,2400,2019-01-26,2025-09-05,0.5
stateful,btc,random_forest,21.862729988687313,1.0679913216469574,-0.5183157559847753,176,0.5681818181818182,22.862729988687313,2400,2019-01-26,2025-09-05,0.5
defensive,btc,random_forest,9.375253521422916,0.8829669764819967,-0.43115265804699765,222,0.5225225225225225,10.375253521422916,2400,2019-01-26,2025-09-05,0.5
prob_weighted,btc,random_forest,0.9056613097950574,0.8245530099125318,-0.12516834857469006,202,0.5693069306930693,1.9056613097950574,2400,2019-01-26,2025-09-05,0.5
stateful,btc,mlp,11.912636034520839,0.8958060287954286,-0.5506091668668001,195,0.5538461538461539,12.912636034520839,2400,2019-01-26,2025-09-05,0.5
defensive,btc,mlp,10.8423467315583,0.8996176296881436,-0.49413518466646644,236,0.5550847457627118,11.8423467315583,2400,2019-01-26,2025-09-05,0.5
prob_weighted,btc,mlp,5.091246679111109,0.8066312952769688,-0.49280291563292633,226,0.5796460176991151,6.091246679111109,2400,2019-01-26,2025-09-05,0.5
buy_and_hold,btc,benchmark,29.71539186474515,0.9513212296677952,-0.7663456370856906,1,1.0,30.71539186474515,2400,2019-01-26,2025-09-05,0.5
stateful,btc,xgboost,9.03824881564813,0.8555858764154622,-0.5180677347900358,163,0.6012269938650306,10.03824881564813,2400,2019-01-26,2025-09-05,0.7
defensive,btc,xgboost,4.738792315244562,0.7716754847164791,-0.43986689591788897,245,0.5959183673469388,5.738792315244562,2400,2019-01-26,2025-09-05,0.7
prob_weighted,btc,xgboost,1.9283924550614127,0.8559305161485723,-0.2451530097894874,236,0.6101694915254238,2.9283924550614127,2400,2019-01-26,2025-09-05,0.7
stateful,btc,lightgbm,11.36282913982379,0.8997367911929758,-0.4394626206763316,183,0.5901639344262295,12.36282913982379,2400,2019-01-26,2025-09-05,0.7
defensive,btc,lightgbm,3.8009362482294646,0.6778773832305836,-0.4528556270858157,290,0.5827586206896552,4.800936248229465,2400,2019-01-26,2025-09-05,0.7
prob_weighted,btc,lightgbm,3.012646091767163,0.8564688753405881,-0.3315022833421626,250,0.6,4.012646091767163,2400,2019-01-26,2025-09-05,0.7
stateful,btc,random_forest,30.290975575749485,1.1490189539585811,-0.4226349573339394,160,0.575,31.290975575749485,2400,2019-01-26,2025-09-05,0.7
defensive,btc,random_forest,9.020045226793794,0.9041347499535475,-0.444210049127558,245,0.5591836734693878,10.020045226793794,2400,2019-01-26,2025-09-05,0.7
prob_weighted,btc,random_forest,1.0696170592460583,0.9611348050579605,-0.12594362835043948,202,0.5594059405940595,2.0696170592460583,2400,2019-01-26,2025-09-05,0.7
stateful,btc,mlp,8.832969715552172,0.8080966581090115,-0.6489283836311827,167,0.5508982035928144,9.832969715552172,2400,2019-01-26,2025-09-05,0.7
defensive,btc,mlp,6.407578634089881,0.782611303014453,-0.6865524173178594,233,0.5879828326180258,7.407578634089881,2400,2019-01-26,2025-09-05,0.7
prob_weighted,btc,mlp,4.736646312076931,0.8988890284032474,-0.29765625487332825,225,0.5822222222222222,5.736646312076931,2400,2019-01-26,2025-09-05,0.7
buy_and_hold,btc,benchmark,29.71539186474515,0.9513212296677952,-0.7663456370856906,1,1.0,30.71539186474515,2400,2019-01-26,2025-09-05,0.7
stateful,btc,xgboost,11.660680568040288,0.9050109549346076,-0.48178116476048105,137,0.5328467153284672,12.660680568040288,2400,2019-01-26,2025-09-05,1.0
