asset,k,class,count,share
btc,0.4,Buy,1465,0.4578125
btc,0.4,Hold,557,0.1740625
btc,0.4,Sell,1178,0.368125
btc,0.5,Buy,1394,0.435625
btc,0.5,Hold,693,0.2165625
btc,0.5,Sell,1113,0.3478125
btc,0.7,Buy,1278,0.399375
btc,0.7,Hold,923,0.2884375
btc,0.7,Sell,999,0.3121875
btc,1.0,Buy,1110,0.346875
btc,1.0,Hold,1245,0.3890625
btc,1.0,Sell,845,0.2640625
eth,0.4,Buy,904,0.452
eth,0.4,Hold,363,0.1815
eth,0.4,Sell,733,0.3665
eth,0.5,Buy,868,0.434
eth,0.5,Hold,442,0.221
eth,0.5,Sell,690,0.345
eth,0.7,Buy,785,0.3925
eth,0.7,Hold,597,0.2985
eth,0.7,Sell,618,0.309
eth,1.0,Buy,689,0.3445
eth,1.0,Hold,799,0.3995
eth,1.0,Sell,512,0.256
