fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_sell,f1_hold,f1_buy,asset,model
1,2016-12-24,2019-01-15,2019-01-26,2019-08-13,750,200,0.31,0.25882698051486275,0.3595505617977528,0.0625,0.35443037974683544,btc,xgboost
2,2016-12-24,2019-08-03,2019-08-14,2020-03-02,950,200,0.375,0.3565195470176042,0.38926174496644295,0.23157894736842105,0.44871794871794873,btc,xgboost
3,2016-12-24,2020-02-21,2020-03-03,2020-09-18,1150,200,0.38,0.33982420554428666,0.5058823529411764,0.1411764705882353,0.3724137931034483,btc,xgboost
4,2016-12-24,2020-09-08,2020-09-19,2021-04-08,1350,200,0.35,0.3198380833126941,0.3220338983050847,0.20224719101123595,0.43523316062176165,btc,xgboost
5,2016-12-24,2021-03-29,2021-04-09,2021-10-26,1550,200,0.35,0.2942671096013752,0.19801980198019803,0.1568627450980392,0.5279187817258884,btc,xgboost
6,2016-12-24,2021-10-16,2021-10-27,2022-05-15,1750,200,0.46,0.41391332681655263,0.5952380952380952,0.2077922077922078,0.43870967741935485,btc,xgboost
7,2016-12-24,2022-05-05,2022-05-16,2022-12-05,1950,200,0.4,0.39321609818090214,0.5517241379310345,0.3225806451612903,0.3053435114503817,btc,xgboost
8,2016-12-24,2022-11-25,2022-12-06,2023-06-23,2150,200,0.38,0.3600075123666904,0.449438202247191,0.25263157894736843,0.3779527559055118,btc,xgboost
9,2016-12-24,2023-06-13,2023-06-24,2024-01-10,2350,200,0.375,0.37504542278127184,0.38666666666666666,0.37735849056603776,0.3611111111111111,btc,xgboost
10,2016-12-24,2023-12-31,2024-01-11,2024-07-28,2550,200,0.345,0.3179292295676077,0.36046511627906974,0.17721518987341772,0.4161073825503356,btc,xgboost
11,2016-12-24,2024-07-18,2024-07-29,2025-02-16,2750,200,0.41,0.3868421052631579,0.4605263157894737,0.25,0.45,btc,xgboost
12,2016-12-24,2025-02-06,2025-02-17,2025-09-05,2950,200,0.39,0.38990466994377043,0.4028776978417266,0.3865546218487395,0.38028169014084506,btc,xgboost
1,2016-12-24,2019-01-15,2019-01-26,2019-08-13,750,200,0.325,0.2684707701101144,0.3891891891891892,0.06557377049180328,0.35064935064935066,btc,lightgbm
2,2016-12-24,2019-08-03,2019-08-14,2020-03-02,950,200,0.405,0.3666873884987356,0.45161290322580644,0.1728395061728395,0.47560975609756095,btc,lightgbm
3,2016-12-24,2020-02-21,2020-03-03,2020-09-18,1150,200,0.465,0.39228070175438595,0.5368421052631579,0.13333333333333333,0.5066666666666667,btc,lightgbm
4,2016-12-24,2020-09-08,2020-09-19,2021-04-08,1350,200,0.405,0.3461782950593116,0.39669421487603307,0.136986301369863,0.5048543689320388,btc,lightgbm
5,2016-12-24,2021-03-29,2021-04-09,2021-10-26,1550,200,0.405,0.3361360152366795,0.2524271844660194,0.18181818181818182,0.5741626794258373,btc,lightgbm
6,2016-12-24,2021-10-16,2021-10-27,2022-05-15,1750,200,0.475,0.4016811354554224,0.5609756097560976,0.13559322033898305,0.5084745762711864,btc,lightgbm
7,2016-12-24,2022-05-05,2022-05-16,2022-12-05,1950,200,0.37,0.33272005619621114,0.5161290322580645,0.11494252873563218,0.3670886075949367,btc,lightgbm
8,2016-12-24,2022-11-25,2022-12-06,2023-06-23,2150,200,0.42,0.39457123834436797,0.48044692737430167,0.2894736842105263,0.41379310344827586,btc,lightgbm
9,2016-12-24,2023-06-13,2023-06-24,2024-01-10,2350,200,0.385,0.3760506237707488,0.3841059602649007,0.32941176470588235,0.4146341463414634,btc,lightgbm
10,2016-12-24,2023-12-31,2024-01-11,2024-07-28,2550,200,0.365,0.2995032640432613,0.40229885057471265,0.07017543859649122,0.4260355029585799,btc,lightgbm
11,2016-12-24,2024-07-18,2024-07-29,2025-02-16,2750,200,0.42,0.3870549968864687,0.4028776978417266,0.25,0.5082872928176796,btc,lightgbm
12,2016-12-24,2025-02-06,2025-02-17,2025-09-05,2950,200,0.385,0.37121051140388156,0.375,0.3076923076923077,0.430939226519337,btc,lightgbm
1,2016-12-24,2019-01-15,2019-01-26,2019-08-13,750,200,0.365,0.2905768585824309,0.3013698630136986,0.06779661016949153,0.5025641025641026,btc,random_forest
2,2016-12-24,2019-08-03,2019-08-14,2020-03-02,950,200,0.42,0.40213740916574214,0.48717948717948717,0.2988505747126437,0.42038216560509556,btc,random_forest
3,2016-12-24,2020-02-21,2020-03-03,2020-09-18,1150,200,0.34,0.2957535885167464,0.4375,0.13157894736842105,0.3181818181818182,btc,random_forest
4,2016-12-24,2020-09-08,2020-09-19,2021-04-08,1350,200,0.49,0.4057531476886315,0.38461538461538464,0.22580645161290322,0.6068376068376068,btc,random_forest
5,2016-12-24,2021-03-29,2021-04-09,2021-10-26,1550,200,0.37,0.3010720143155452,0.24778761061946902,0.12658227848101267,0.5288461538461539,btc,random_forest
6,2016-12-24,2021-10-16,2021-10-27,2022-05-15,1750,200,0.495,0.42566632090972495,0.588957055214724,0.15625,0.5317919075144508,btc,random_forest
7,2016-12-24,2022-05-05,2022-05-16,2022-12-05,1950,200,0.4,0.379917791248707,0.5234899328859061,0.22916666666666666,0.3870967741935484,btc,random_forest
8,2016-12-24,2022-11-25,2022-12-06,2023-06-23,2150,200,0.38,0.3512386070945241,0.47513812154696133,0.23529411764705882,0.34328358208955223,btc,random_forest
9,2016-12-24,2023-06-13,2023-06-24,2024-01-10,2350,200,0.39,0.37510893246187366,0.4444444444444444,0.3058823529411765,0.375,btc,random_forest
10,2016-12-24,2023-12-31,2024-01-11,2024-07-28,2550,200,0.36,0.28724419074059093,0.44808743169398907,0.03389830508474576,0.379746835443038,btc,random_forest
11,2016-12-24,2024-07-18,2024-07-29,2025-02-16,2750,200,0.395,0.37539383693229844,0.4378698224852071,0.2857142857142857,0.4025974025974026,btc,random_forest
12,2016-12-24,2025-02-06,2025-02-17,2025-09-05,2950,200,0.39,0.38525128192374275,0.43312101910828027,0.3564356435643564,0.36619718309859156,btc,random_forest
1,2016-12-24,2019-01-15,2019-01-26,2019-08-13,750,200,0.405,0.2865529089039492,0.2542372881355932,0.03773584905660377,0.5676855895196506,btc,mlp
2,2016-12-24,2019-08-03,2019-08-14,2020-03-02,950,200,0.38,0.2897489655784441,0.4370860927152318,0.0,0.4321608040201005,btc,mlp
3,2016-12-24,2020-02-21,2020-03-03,2020-09-18,1150,200,0.27,0.20357884372525095,0.26436781609195403,0.0,0.3463687150837989,btc,mlp
4,2016-12-24,2020-09-08,2020-09-19,2021-04-08,1350,200,0.375,0.3619496689672128,0.3918918918918919,0.2962962962962963,0.39766081871345027,btc,mlp
5,2016-12-24,2021-03-29,2021-04-09,2021-10-26,1550,200,0.38,0.2823971657354623,0.23214285714285715,0.057971014492753624,0.5570776255707762,btc,mlp
6,2016-12-24,2021-10-16,2021-10-27,2022-05-15,1750,200,0.41,0.3501973917068257,0.5142857142857142,0.12121212121212122,0.41509433962264153,btc,mlp
7,2016-12-24,2022-05-05,2022-05-16,2022-12-05,1950,200,0.32,0.23925925925925928,0.44,0.0,0.2777777777777778,btc,mlp
8,2016-12-24,2022-11-25,2022-12-06,2023-06-23,2150,200,0.345,0.25822957530274604,0.43902439024390244,0.0,0.3356643356643357,btc,mlp
9,2016-12-24,2023-06-13,2023-06-24,2024-01-10,2350,200,0.465,0.3333333333333333,0.39655172413793105,0.0,0.603448275862069,btc,mlp
10,2016-12-24,2023-12-31,2024-01-11,2024-07-28,2550,200,0.385,0.35473118279569893,0.37333333333333335,0.25,0.44086021505376344,btc,mlp
11,2016-12-24,2024-07-18,2024-07-29,2025-02-16,2750,200,0.355,0.29405265524837454,0.19469026548672566,0.19444444444444445,0.4930232558139535,btc,mlp
12,2016-12-24,2025-02-06,2025-02-17,2025-09-05,2950,200,0.395,0.3243698534067286,0.4028776978417266,0.05714285714285714,0.5130890052356021,btc,mlp
1,2020-02-11,2022-03-05,2022-03-16,2022-10-01,750,200,0.375,0.33096316389511343,0.2733812949640288,0.22950819672131148,0.49,eth,xgboost
2,2020-02-11,2022-09-21,2022-10-02,2023-04-23,950,200,0.435,0.36809373040272875,0.4594594594594595,0.12903225806451613,0.5157894736842106,eth,xgboost
3,2020-02-11,2023-04-13,2023-04-24,2023-11-10,1150,200,0.36,0.27720153682135457,0.12,0.1917808219178082,0.5198237885462555,eth,xgboost
4,2020-02-11,2023-10-31,2023-11-11,2024-05-28,1350,200,0.39,0.360091964911242,0.36363636363636365,0.24096385542168675,0.4756756756756757,eth,xgboost
5,2020-02-11,2024-05-18,2024-05-29,2024-12-16,1550,200,0.345,0.32393987477077735,0.4024390243902439,0.21176470588235294,0.3576158940397351,eth,xgboost
6,2020-02-11,2024-12-06,2024-12-17,2025-07-06,1750,200,0.35,0.3420281492008124,0.41333333333333333,0.24778761061946902,0.36496350364963503,eth,xgboost
1,2020-02-11,2022-03-05,2022-03-16,2022-10-01,750,200,0.425,0.3600806590841603,0.4177215189873418,0.1702127659574468,0.49230769230769234,eth,lightgbm
2,2020-02-11,2022-09-21,2022-10-02,2023-04-23,950,200,0.45,0.3732733569695516,0.4225352112676056,0.1509433962264151,0.5463414634146342,eth,lightgbm
3,2020-02-11,2023-04-13,2023-04-24,2023-11-10,1150,200,0.395,0.31971493463526296,0.2018348623853211,0.2222222222222222,0.5350877192982456,eth,lightgbm
4,2020-02-11,2023-10-31,2023-11-11,2024-05-28,1350,200,0.4,0.3674166777615054,0.3586206896551724,0.2571428571428571,0.4864864864864865,eth,lightgbm
5,2020-02-11,2024-05-18,2024-05-29,2024-12-16,1550,200,0.385,0.36520851851657055,0.3821656050955414,0.2857142857142857,0.4277456647398844,eth,lightgbm
6,2020-02-11,2024-12-06,2024-12-17,2025-07-06,1750,200,0.35,0.33524566048837895,0.3484848484848485,0.23300970873786409,0.42424242424242425,eth,lightgbm
1,2020-02-11,2022-03-05,2022-03-16,2022-10-01,750,200,0.37,0.2846786606949208,0.26573426573426573,0.0975609756097561,0.49074074074074076,eth,random_forest
2,2020-02-11,2022-09-21,2022-10-02,2023-04-23,950,200,0.42,0.3465117879237116,0.4258064516129032,0.1111111111111111,0.5026178010471204,eth,random_forest
3,2020-02-11,2023-04-13,2023-04-24,2023-11-10,1150,200,0.41,0.35386540868393185,0.1276595744680851,0.4,0.5339366515837104,eth,random_forest
4,2020-02-11,2023-10-31,2023-11-11,2024-05-28,1350,200,0.4,0.33127255460588795,0.34074074074074073,0.12307692307692308,0.53,eth,random_forest
5,2020-02-11,2024-05-18,2024-05-29,2024-12-16,1550,200,0.355,0.32825024437927663,0.42857142857142855,0.2077922077922078,0.34838709677419355,eth,random_forest
6,2020-02-11,2024-12-06,2024-12-17,2025-07-06,1750,200,0.35,0.335863697705803,0.42105263157894735,0.21153846153846154,0.375,eth,random_forest
1,2020-02-11,2022-03-05,2022-03-16,2022-10-01,750,200,0.375,0.2261204481792717,0.16071428571428573,0.0,0.5176470588235295,eth,mlp
2,2020-02-11,2022-09-21,2022-10-02,2023-04-23,950,200,0.42,0.2859206417991711,0.2900763358778626,0.0,0.5676855895196506,eth,mlp
3,2020-02-11,2023-04-13,2023-04-24,2023-11-10,1150,200,0.405,0.24295149295149296,0.17582417582417584,0.0,0.553030303030303,eth,mlp
4,2020-02-11,2023-10-31,2023-11-11,2024-05-28,1350,200,0.455,0.32463709130375795,0.34285714285714286,0.038461538461538464,0.5925925925925926,eth,mlp
5,2020-02-11,2024-05-18,2024-05-29,2024-12-16,1550,200,0.34,0.25711516433165915,0.358974358974359,0.0,0.41237113402061853,eth,mlp
6,2020-02-11,2024-12-06,2024-12-17,2025-07-06,1750,200,0.355,0.29288368081471533,0.4025974025974026,0.027777777777777776,0.4482758620689655,eth,mlp
