,flat_xgboost_stateful,flat_xgboost_defensive,flat_xgboost_prob_weighted,flat_lightgbm_stateful,flat_lightgbm_defensive,flat_lightgbm_prob_weighted,flat_random_forest_stateful,flat_random_forest_defensive,flat_random_forest_prob_weighted,flat_mlp_stateful,flat_mlp_defensive,flat_mlp_prob_weighted,2stage_trend_xgboost_stateful,2stage_trend_xgboost_defensive,2stage_trend_xgboost_prob_weighted,2stage_trend_lightgbm_stateful,2stage_trend_lightgbm_defensive,2stage_trend_lightgbm_prob_weighted,2stage_trend_random_forest_stateful,2stage_trend_random_forest_defensive,2stage_trend_random_forest_prob_weighted,2stage_trend_mlp_stateful,2stage_trend_mlp_defensive,2stage_trend_mlp_prob_weighted,2stage_macro_xgboost_stateful,2stage_macro_xgboost_defensive,2stage_macro_xgboost_prob_weighted,2stage_macro_lightgbm_stateful,2stage_macro_lightgbm_defensive,2stage_macro_lightgbm_prob_weighted,2stage_macro_random_forest_stateful,2stage_macro_random_forest_defensive,2stage_macro_random_forest_prob_weighted,2stage_macro_mlp_stateful,2stage_macro_mlp_defensive,2stage_macro_mlp_prob_weighted,3stage_full_xgboost_stateful,3stage_full_xgboost_defensive,3stage_full_xgboost_prob_weighted,3stage_full_lightgbm_stateful,3stage_full_lightgbm_defensive,3stage_full_lightgbm_prob_weighted,3stage_full_random_forest_stateful,3stage_full_random_forest_defensive,3stage_full_random_forest_prob_weighted,3stage_full_mlp_stateful,3stage_full_mlp_defensive,3stage_full_mlp_prob_weighted,BUY_AND_HOLD
2022-03-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-03-17,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.9999981824325707,1.0154393826501584,1.0154393826501584,1.0041634767047483,1.0144393826501585,1.0144393826501585,1.000484475198117,1.0144393826501585,1.0144393826501585,1.0051731029433015,1.0144393826501585,1.0144393826501585,1.000603627754716,1.0154393826501584,1.0154393826501584,1.0011366560862582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026815437491847,1.0154393826501584
2022-03-18,1.0,1.0,1.0,1.0,1.0,0.9999155797655701,1.045310755041526,1.0443117550415262,1.0000004473573272,1.062512219996935,1.062512219996935,1.0162181168484574,1.0144393826501585,1.0144393826501585,1.000484475198117,1.0134249432675084,1.0134249432675084,1.005094261793393,1.0144393826501585,1.0144393826501585,1.000603627754716,1.062512219996935,1.062512219996935,1.0262215262005825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026815437491847,1.062512219996935
2022-03-19,1.0,1.0,0.9999736303234386,1.0,1.0,0.9998940604843858,1.0456351584662977,1.0432674432864846,1.0000229328573254,1.06284196175207,1.06284196175207,1.0163342927206975,1.0144393826501585,1.0144393826501585,1.000484475198117,1.0127260262547864,1.0127260262547864,1.0050398925978437,1.0134249432675084,1.0134249432675084,1.0005595364947764,1.06284196175207,1.06284196175207,1.025800848876439,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026815437491847,1.06284196175207
2022-03-20,1.0,1.0,0.9991793711599457,1.0,1.0,0.9959142843526799,1.0151852528143974,1.0128864877872756,0.9973987668942413,1.0318909773707672,1.0318909773707672,1.0052226967419928,1.0144393826501585,1.0144393826501585,1.000484475198117,1.0127260262547864,1.0127260262547864,1.0050398925978437,0.9828996052464131,0.9828996052464131,0.9992315236846345,1.0318909773707672,1.0318909773707672,1.024674315288176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026815437491847,1.0318909773707672
2022-03-21,0.999,0.999,0.9991164353135497,0.999,0.999,0.9958931159644123,1.0285002631477609,1.0261713478795818,0.9974093959108197,1.045425097363651,1.045425097363651,1.0080597442190113,1.0134249432675084,1.0134249432675084,1.0002983274274655,1.0117133002285317,1.0117133002285317,1.0046587778391711,0.9819167056411666,0.9819167056411666,0.9991233533361789,1.045425097363651,1.045425097363651,1.0359356868722553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.9999889419668762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026815437491847,1.045425097363651
2022-03-22,1.024907520249177,1.024907520249177,1.0005684280174107,1.024907520249177,1.024907520249177,0.9960611264275182,1.0551728271055032,1.0527835150210387,0.9994225031171271,1.07253658072596,1.07253658072596,1.0175704228748002,1.0397065521150801,1.0397065521150801,1.0049394552557809,1.037950520260596,1.037950520260596,1.0144385887845895,1.0073811970669961,1.0073811970669961,1.0017324785741808,1.07253658072596,1.07253658072596,1.0586210357941723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.024907520249177,1.024907520249177,1.000213516524284,0.999,0.999,0.9997926510103853,0.999,0.999,0.9999849786200632,1.0,1.0,1.0026815437491847,1.07253658072596
2022-03-23,1.0448794205985588,1.0448794205985588,1.0051244129103492,1.0448794205985588,1.0448794205985588,1.0038750870938282,1.0757344935368345,1.0732986220292888,1.0024747740443405,1.0934366066191425,1.0934366066191425,1.0248283535885054,1.0599668343758575,1.0599668343758575,1.0121975166390613,1.058176583538182,1.058176583538182,1.0238498269476524,1.0270115700364242,1.0270115700364242,1.0076536951982475,1.0934366066191425,1.0934366066191425,1.0746188213172057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0448794205985588,1.0448794205985588,1.0016280875945862,1.0184670524460409,1.0184670524460409,1.0037231712599237,1.0184670524460409,1.0184670524460409,1.0002598512071337,1.0,1.0,1.0026815437491847,1.0934366066191425
2022-03-24,1.0714213461507354,1.0714213461507354,1.016044276541998,1.0714213461507354,1.0714213461507354,1.0146795615167266,1.1030601966548144,1.100562449375832,1.0069762068268857,1.1212119770942206,1.1212119770942206,1.0352975235694346,1.0868920089473542,1.0868920089473542,1.022134012389114,1.0850562823317882,1.0850562823317882,1.0347830536196785,1.0530996181841383,1.0530996181841383,1.0158825523814345,1.1212119770942206,1.1212119770942206,1.0945470758797644,0.999,0.999,0.9998065487307031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0714213461507354,1.0714213461507354,1.0030029850979643,1.044338053587859,1.044338053587859,1.0116718559013698,1.044338053587859,1.044338053587859,1.0010848852277494,0.999,0.999,1.0019317764781857,1.1212119770942206
2022-03-25,1.0709419653327616,1.0709419653327616,1.015815724284728,1.0709419653327616,1.0709419653327616,1.0143795059145115,1.1025666598205461,1.1000700300964248,1.0068701781027454,1.1207103186975194,1.1207103186975194,1.035062672849253,1.0864057061663146,1.0864057061663146,1.0219107501920006,1.084570800900939,1.084570800900939,1.0344853164203613,1.0526284349673893,1.0526284349673893,1.0156981289006017,1.1207103186975194,1.1207103186975194,1.0940549804286404,0.9985530223110859,0.9985530223110859,0.9995328947224545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0709419653327616,1.0709419653327616,1.0027653051707188,1.0438707905151485,1.0438707905151485,1.0113875635266587,1.0438707905151485,1.0438707905151485,1.0010374083249844,0.9985530223110859,0.9985530223110859,1.001346546314146,1.1207103186975194
2022-03-26,1.0835269742189457,1.0824560322536132,1.0205947249245466,1.0835269742189457,1.0824560322536132,1.0192711829457721,1.1155233014132961,1.1129973329310716,1.0091704434077993,1.133880172691675,1.133880172691675,1.040548113251684,1.099172434811462,1.099172434811462,1.026970546977918,1.0973159669406254,1.0973159669406254,1.040792914714028,1.0649982352336422,1.0649982352336422,1.0199116013581981,1.133880172691675,1.133880172691675,1.1026076728921472,1.0092888107058715,1.0092888107058715,0.999600588577638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0824560322536132,1.0824560322536132,1.0035336427854658,1.0561376766769763,1.0561376766769763,1.0171503942862885,1.0561376766769763,1.0561376766769763,1.0018363659908427,1.0102873637281824,1.0102873637281824,1.013079370102956,1.133880172691675
2022-03-27,1.1346834552192935,1.0813735762213597,1.020136267758464,1.1346834552192935,1.0813735762213597,1.0203521753210039,1.1681904227051592,1.1655451958548986,1.0092570936719192,1.187413975625179,1.187413975625179,1.0633848701576012,1.1510675838160094,1.1510675838160094,1.038006180656772,1.1491234666612862,1.1491234666612862,1.0598908186540317,1.1152799202146797,1.1152799202146797,1.032937544199497,1.187413975625179,1.187413975625179,1.1523502017221916,1.0082795218951657,1.0082795218951657,0.9994173940833472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0813735762213597,1.0813735762213597,1.0034323778396481,1.1060010287449977,1.1060010287449977,1.0207748407772022,1.1060010287449977,1.1060010287449977,1.0034349167826353,1.0579859882730005,1.0579859882730005,1.0608986365571713,1.187413975625179
