asset,arch,model,best_value,best_trial,n_pruned,best_params,elapsed_s
btc,flat,xgboost,0.36670168411503234,8,12,"{""n_estimators"": 400, ""max_depth"": 4, ""learning_rate"": 0.13814017620274424, ""subsample"": 0.9100531293444458, ""colsample_bytree"": 0.9757995766256756, ""min_child_weight"": 9}",149.9
btc,flat,lightgbm,0.3669149020309913,9,16,"{""n_estimators"": 400, ""num_leaves"": 108, ""learning_rate"": 0.012707942999213693, ""feature_fraction"": 0.678393144967658, ""bagging_fraction"": 0.6180909155642152, ""min_data_in_leaf"": 19}",302.4
btc,flat,random_forest,0.3517344308422415,27,12,"{""n_estimators"": 300, ""max_depth"": 19, ""min_samples_leaf"": 6, ""max_features"": ""sqrt""}",45.0
btc,flat,mlp,0.32798987016683806,21,13,"{""batch_size"": 64, ""learning_rate_init"": 0.009875308984963785, ""alpha"": 3.139348514849674e-06, ""hidden_layer_sizes"": [64, 32, 16]}",20.9
btc,2stage_trend,xgboost,0.3599310758335032,4,18,"{""n_estimators"": 350, ""max_depth"": 7, ""learning_rate"": 0.017172542103877867, ""subsample"": 0.8056937753654446, ""colsample_bytree"": 0.836965827544817, ""min_child_weight"": 1}",123.7
btc,2stage_trend,lightgbm,0.35235548372600395,6,21,"{""n_estimators"": 250, ""num_leaves"": 18, ""learning_rate"": 0.06378528225249058, ""feature_fraction"": 0.7760609974958405, ""bagging_fraction"": 0.6488152939379115, ""min_data_in_leaf"": 27}",268.8
btc,2stage_trend,random_forest,0.35086876969434777,21,16,"{""n_estimators"": 800, ""max_depth"": 15, ""min_samples_leaf"": 8, ""max_features"": ""log2""}",75.1
btc,2stage_trend,mlp,0.3449260682246658,21,14,"{""batch_size"": 64, ""learning_rate_init"": 0.005584515570439111, ""alpha"": 0.0001473972016559115, ""hidden_layer_sizes"": [64]}",22.3
btc,2stage_macro,xgboost,0.3653185377117138,8,5,"{""n_estimators"": 400, ""max_depth"": 4, ""learning_rate"": 0.13814017620274424, ""subsample"": 0.9100531293444458, ""colsample_bytree"": 0.9757995766256756, ""min_child_weight"": 9}",148.7
btc,2stage_macro,lightgbm,0.3675062141663828,16,16,"{""n_estimators"": 250, ""num_leaves"": 16, ""learning_rate"": 0.03554645174101481, ""feature_fraction"": 0.8667532887083108, ""bagging_fraction"": 0.7396539768104227, ""min_data_in_leaf"": 25}",265.5
btc,2stage_macro,random_forest,0.3646235017489506,27,17,"{""n_estimators"": 300, ""max_depth"": 15, ""min_samples_leaf"": 14, ""max_features"": ""sqrt""}",35.2
btc,2stage_macro,mlp,0.3533370295139536,3,19,"{""batch_size"": 128, ""learning_rate_init"": 0.00853618986286683, ""alpha"": 0.0017123375973163992, ""hidden_layer_sizes"": [64, 32, 16]}",17.9
btc,3stage_full,xgboost,0.3583424429858536,14,23,"{""n_estimators"": 350, ""max_depth"": 5, ""learning_rate"": 0.04055466010793973, ""subsample"": 0.8212663057499049, ""colsample_bytree"": 0.769969334703295, ""min_child_weight"": 1}",87.1
btc,3stage_full,lightgbm,0.34910879393576605,17,23,"{""n_estimators"": 350, ""num_leaves"": 57, ""learning_rate"": 0.02384235173010944, ""feature_fraction"": 0.8658471884059139, ""bagging_fraction"": 0.8930366302468036, ""min_data_in_leaf"": 11}",313.1
btc,3stage_full,random_forest,0.35884317883028816,4,21,"{""n_estimators"": 500, ""max_depth"": 17, ""min_samples_leaf"": 5, ""max_features"": ""log2""}",42.7
btc,3stage_full,mlp,0.36103772579377236,24,18,"{""batch_size"": 128, ""learning_rate_init"": 0.0012271458213271391, ""alpha"": 0.0010092271935851196, ""hidden_layer_sizes"": [128, 64]}",26.2
eth,flat,xgboost,0.3591320833366389,1,24,"{""n_estimators"": 100, ""max_depth"": 8, ""learning_rate"": 0.05092911283433821, ""subsample"": 0.8832290311184182, ""colsample_bytree"": 0.608233797718321, ""min_child_weight"": 10}",63.6
