rule,asset,model,total_return,annualized_sharpe,max_drawdown,n_trades,win_rate,final_equity,n_days,span_start,span_end
stateful,btc,xgboost,29.013821360472036,1.1470791622327978,-0.4599444471123002,179,0.5921787709497207,30.013821360472036,2400,2019-01-26,2025-09-05
defensive,btc,xgboost,13.09211763213003,0.9848283631728987,-0.3560776617217354,248,0.5967741935483871,14.09211763213003,2400,2019-01-26,2025-09-05
prob_weighted,btc,xgboost,2.1329379281685195,0.8226775726718022,-0.25476517300720325,219,0.5844748858447488,3.1329379281685195,2400,2019-01-26,2025-09-05
stateful,btc,lightgbm,25.18939631156961,1.0927716653310473,-0.4307741045812655,207,0.5893719806763285,26.18939631156961,2400,2019-01-26,2025-09-05
defensive,btc,lightgbm,13.239640089321458,0.9611142002638946,-0.44374508737478746,271,0.6014760147601476,14.239640089321458,2400,2019-01-26,2025-09-05
prob_weighted,btc,lightgbm,3.7625779363930043,0.8508158092275935,-0.31356713468471253,244,0.6147540983606558,4.762577936393004,2400,2019-01-26,2025-09-05
stateful,btc,random_forest,21.862729988687313,1.0679913216469574,-0.5183157559847753,176,0.5681818181818182,22.862729988687313,2400,2019-01-26,2025-09-05
defensive,btc,random_forest,9.375253521422916,0.8829669764819967,-0.43115265804699765,222,0.5225225225225225,10.375253521422916,2400,2019-01-26,2025-09-05
prob_weighted,btc,random_forest,0.9056613097950579,0.8245530099125317,-0.12516834857469017,202,0.5693069306930693,1.9056613097950579,2400,2019-01-26,2025-09-05
stateful,btc,mlp,11.912636034520839,0.8958060287954286,-0.5506091668668001,195,0.5538461538461539,12.912636034520839,2400,2019-01-26,2025-09-05
defensive,btc,mlp,10.8423467315583,0.8996176296881436,-0.49413518466646644,236,0.5550847457627118,11.8423467315583,2400,2019-01-26,2025-09-05
prob_weighted,btc,mlp,5.09124667911111,0.8066312952769689,-0.4928029156329262,226,0.5796460176991151,6.09124667911111,2400,2019-01-26,2025-09-05
buy_and_hold,btc,benchmark,29.71539186474515,0.9513212296677952,-0.7663456370856906,1,1.0,30.71539186474515,2400,2019-01-26,2025-09-05
stateful,eth,xgboost,-0.3705672433592446,-0.022485002614198682,-0.6114258969947206,80,0.5375,0.6294327566407554,1200,2022-03-16,2025-07-06
defensive,eth,xgboost,-0.1815062664190722,0.07099687685533228,-0.6041060079926664,121,0.5867768595041323,0.8184937335809278,1200,2022-03-16,2025-07-06
prob_weighted,eth,xgboost,0.06294870443404377,0.1660512550238231,-0.24492775046000903,111,0.6306306306306306,1.0629487044340438,1200,2022-03-16,2025-07-06
stateful,eth,lightgbm,-0.4781151950083977,-0.08712539652090849,-0.6982090700510153,103,0.5048543689320388,0.5218848049916023,1200,2022-03-16,2025-07-06
defensive,eth,lightgbm,-0.2875680232943246,0.027409896402639997,-0.6433765328979018,165,0.49696969696969695,0.7124319767056754,1200,2022-03-16,2025-07-06
prob_weighted,eth,lightgbm,0.19149471505976945,0.3357577858348307,-0.18049973932033236,132,0.5454545454545454,1.1914947150597694,1200,2022-03-16,2025-07-06
stateful,eth,random_forest,-0.11795032559842644,0.15578823258793437,-0.6335817443497497,77,0.5454545454545454,0.8820496744015736,1200,2022-03-16,2025-07-06
defensive,eth,random_forest,-0.1717766422976379,0.09769286524525438,-0.6432864979604549,112,0.5178571428571429,0.8282233577023621,1200,2022-03-16,2025-07-06
prob_weighted,eth,random_forest,0.0394748732263428,0.1521296870320708,-0.14241241002905458,102,0.5686274509803921,1.0394748732263428,1200,2022-03-16,2025-07-06
stateful,eth,mlp,-0.16336925791017898,0.14551903677734843,-0.6235027643655771,101,0.48514851485148514,0.836630742089821,1200,2022-03-16,2025-07-06
defensive,eth,mlp,0.24840033947987084,0.3180933428485127,-0.43987648302987314,134,0.4925373134328358,1.2484003394798708,1200,2022-03-16,2025-07-06
prob_weighted,eth,mlp,0.21571013711732068,0.28961101398309996,-0.4215025575871846,125,0.456,1.2157101371173207,1200,2022-03-16,2025-07-06
buy_and_hold,eth,benchmark,-0.07244410507348065,0.2597601608766614,-0.717943870782727,1,0.0,0.9275558949265194,1200,2022-03-16,2025-07-06
