,xgboost_stateful,xgboost_defensive,xgboost_prob_weighted,lightgbm_stateful,lightgbm_defensive,lightgbm_prob_weighted,random_forest_stateful,random_forest_defensive,random_forest_prob_weighted,mlp_stateful,mlp_defensive,mlp_prob_weighted,BUY_AND_HOLD
2022-03-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-03-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026815437491847,1.0154393826501584
2022-03-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026815437491847,1.062512219996935
2022-03-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026815437491847,1.06284196175207
2022-03-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026815437491847,1.0318909773707672
2022-03-21,0.999,0.999,0.99998894197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026815437491847,1.045425097363651
2022-03-22,1.024907520249177,1.024907520249177,1.0002135164656711,0.999,0.999,0.9997926510103853,0.999,0.999,0.9999849786200632,1.0,1.0,1.0026815437491847,1.07253658072596
2022-03-23,1.0448794205985588,1.0448794205985588,1.0016280875227557,1.0184670524460409,1.0184670524460409,1.0037231712599237,1.0184670524460409,1.0184670524460409,1.0002598512071337,1.0,1.0,1.0026815437491847,1.0934366066191425
2022-03-24,1.0714213461507354,1.0714213461507354,1.003002984377128,1.044338053587859,1.044338053587859,1.0116718559013698,1.044338053587859,1.044338053587859,1.0010848852277494,0.999,0.999,1.0019317764781857,1.1212119770942206
2022-03-25,1.0709419653327616,1.0709419653327616,1.0027653044683322,1.0438707905151485,1.0438707905151485,1.0113875635266587,1.0438707905151485,1.0438707905151485,1.0010374083249844,0.9985530223110859,0.9985530223110859,1.001346546314146,1.1207103186975194
2022-03-26,1.0824560322536132,1.0824560322536132,1.0035336421136618,1.0561376766769763,1.0561376766769763,1.0171503942862885,1.0561376766769763,1.0561376766769763,1.0018363659908427,1.0102873637281824,1.0102873637281824,1.013079370102956,1.133880172691675
2022-03-27,1.0813735762213597,1.0813735762213597,1.0034323771595606,1.1060010287449977,1.1060010287449977,1.0207748407772022,1.1060010287449977,1.1060010287449977,1.0034349167826353,1.0579859882730005,1.0579859882730005,1.0608986365571713,1.187413975625179
2022-03-28,1.0961759992506304,1.0961759992506304,1.0047865594543919,1.1211405655880367,1.1211405655880367,1.0213326703846048,1.1211405655880367,1.1211405655880367,1.0035043658603966,1.0724682694215573,1.0724682694215573,1.075303637633255,1.2036679366656269
2022-03-29,1.1176463422601526,1.1176463422601526,1.0073877608608792,1.1430998791668057,1.1430998791668057,1.0235944173332086,1.1430998791668057,1.1430998791668057,1.0040249436964679,1.093474258995358,1.093474258995358,1.0947699795805923,1.2272436795093324
2022-03-30,1.1121172799771077,1.1121172799771077,1.0067455876793834,1.1374448967375042,1.1363017968583373,1.0230172740594894,1.1374448967375042,1.1374448967375042,1.0037832596024425,1.0880647774319279,1.0880647774319279,1.0894817175888545,1.2211724327437785
