rule,asset,model,total_return,annualized_sharpe,max_drawdown,n_trades,win_rate,final_equity,n_days,span_start,span_end,arch
stateful,btc,xgboost,21.329874073706005,1.0617710721370897,-0.42759461827875855,168,0.6488095238095238,22.329874073706005,2400,2019-01-26,2025-09-05,3stage_full_regime
defensive,btc,xgboost,11.690178586385187,0.9439852977870146,-0.3286601838223622,229,0.6244541484716157,12.690178586385187,2400,2019-01-26,2025-09-05,3stage_full_regime
prob_weighted,btc,xgboost,1.2631465267847357,0.7424411840624896,-0.23518277990639802,218,0.6284403669724771,2.2631465267847357,2400,2019-01-26,2025-09-05,3stage_full_regime
stateful,btc,lightgbm,26.27218021431674,1.1698996786475946,-0.2857787376023222,129,0.5736434108527132,27.27218021431674,2400,2019-01-26,2025-09-05,3stage_full_regime
defensive,btc,lightgbm,19.09288451996054,1.1588598981230367,-0.3935230578884997,197,0.5736040609137056,20.09288451996054,2400,2019-01-26,2025-09-05,3stage_full_regime
prob_weighted,btc,lightgbm,0.7376892400262367,0.8611143932476898,-0.11745772070735117,188,0.5478723404255319,1.7376892400262367,2400,2019-01-26,2025-09-05,3stage_full_regime
stateful,btc,random_forest,29.42593568153875,1.19795878742677,-0.43971629014687597,133,0.6090225563909775,30.42593568153875,2400,2019-01-26,2025-09-05,3stage_full_regime
defensive,btc,random_forest,12.676996343487776,1.0127453230266719,-0.4747862051634161,188,0.5851063829787234,13.676996343487776,2400,2019-01-26,2025-09-05,3stage_full_regime
prob_weighted,btc,random_forest,1.0264670840852976,0.9447464426089598,-0.11126100399309058,178,0.601123595505618,2.0264670840852976,2400,2019-01-26,2025-09-05,3stage_full_regime
stateful,btc,mlp,3.4720192036264272,0.6001960190539274,-0.6952922405801019,187,0.5347593582887701,4.472019203626427,2400,2019-01-26,2025-09-05,3stage_full_regime
defensive,btc,mlp,4.902804418055753,0.7101898608313242,-0.6322745332778885,229,0.5545851528384279,5.902804418055753,2400,2019-01-26,2025-09-05,3stage_full_regime
prob_weighted,btc,mlp,3.183640996630838,0.6992170680622473,-0.49191553015642087,224,0.5401785714285714,4.183640996630838,2400,2019-01-26,2025-09-05,3stage_full_regime
buy_and_hold,btc,benchmark,29.71539186474515,0.9513212296677952,-0.7663456370856906,1,1.0,30.71539186474515,2400,2019-01-26,2025-09-05,buy_and_hold
stateful,eth,xgboost,-0.1701792062207803,0.12239766041319672,-0.6070349089148912,99,0.494949494949495,0.8298207937792197,1200,2022-03-16,2025-07-06,3stage_full_regime
defensive,eth,xgboost,0.08699990478635677,0.24063454166226705,-0.5831128964687273,154,0.5324675324675324,1.0869999047863568,1200,2022-03-16,2025-07-06,3stage_full_regime
prob_weighted,eth,xgboost,0.08806225703534132,0.18871656637475093,-0.3183817615420571,128,0.5546875,1.0880622570353413,1200,2022-03-16,2025-07-06,3stage_full_regime
stateful,eth,lightgbm,-0.6744860065140229,-0.33567488126062955,-0.7485426130682473,78,0.5,0.3255139934859771,1200,2022-03-16,2025-07-06,3stage_full_regime
defensive,eth,lightgbm,-0.381154667782139,-0.07281244384596576,-0.6182647547517204,123,0.5284552845528455,0.618845332217861,1200,2022-03-16,2025-07-06,3stage_full_regime
prob_weighted,eth,lightgbm,0.1466638586983926,0.3341595862193348,-0.13296178528628877,95,0.5263157894736842,1.1466638586983926,1200,2022-03-16,2025-07-06,3stage_full_regime
stateful,eth,random_forest,-0.39153293957909663,-0.026649645907211337,-0.6291600179485043,73,0.5342465753424658,0.6084670604209034,1200,2022-03-16,2025-07-06,3stage_full_regime
defensive,eth,random_forest,-0.3601210571797482,-0.03539046079054442,-0.6474842066156219,117,0.5042735042735043,0.6398789428202518,1200,2022-03-16,2025-07-06,3stage_full_regime
prob_weighted,eth,random_forest,0.061429167837318444,0.20951584912177745,-0.10465993720581235,91,0.5714285714285714,1.0614291678373184,1200,2022-03-16,2025-07-06,3stage_full_regime
stateful,eth,mlp,-0.7775272687804031,-0.4751255890197943,-0.8738572986754872,87,0.4827586206896552,0.2224727312195969,1200,2022-03-16,2025-07-06,3stage_full_regime
defensive,eth,mlp,-0.7588203363865137,-0.4704231646474186,-0.8554828329990966,123,0.4715447154471545,0.24117966361348633,1200,2022-03-16,2025-07-06,3stage_full_regime
prob_weighted,eth,mlp,-0.7310929962465091,-0.5596805933974309,-0.8237899906793089,104,0.5384615384615384,0.26890700375349086,1200,2022-03-16,2025-07-06,3stage_full_regime
buy_and_hold,eth,benchmark,-0.07244410507348065,0.2597601608766614,-0.717943870782727,1,0.0,0.9275558949265194,1200,2022-03-16,2025-07-06,buy_and_hold
