rule,asset,model,total_return,annualized_sharpe,max_drawdown,n_trades,win_rate,final_equity,n_days,span_start,span_end,arch,variant
stateful,btc,xgboost,6.8026953053950985,0.770239568725192,-0.3959927118163372,185,0.5837837837837838,7.8026953053950985,2400,2019-01-26,2025-09-05,3stage_full,raw
defensive,btc,xgboost,6.424117676927642,0.8060487869884021,-0.2843169544834844,265,0.5811320754716981,7.424117676927642,2400,2019-01-26,2025-09-05,3stage_full,raw
prob_weighted,btc,xgboost,1.288381743568237,0.6060252573478092,-0.2542340716937844,264,0.5833333333333334,2.288381743568237,2400,2019-01-26,2025-09-05,3stage_full,raw
stateful,btc,xgboost,8.21601109368421,0.7912961961869472,-0.5306185040984172,124,0.6290322580645161,9.21601109368421,2400,2019-01-26,2025-09-05,3stage_full,cal
defensive,btc,xgboost,7.403739443958141,0.7669494380285354,-0.5306185040984168,132,0.6060606060606061,8.403739443958141,2400,2019-01-26,2025-09-05,3stage_full,cal
prob_weighted,btc,xgboost,1.19163519947438,0.6402261028670546,-0.25814155847625364,124,0.6774193548387096,2.19163519947438,2400,2019-01-26,2025-09-05,3stage_full,cal
stateful,btc,lightgbm,8.940083462433458,0.837065824703115,-0.5570230167210428,199,0.6030150753768844,9.940083462433458,2400,2019-01-26,2025-09-05,3stage_full,raw
defensive,btc,lightgbm,4.473616921465067,0.6950516828930121,-0.6383650381777454,270,0.5814814814814815,5.473616921465067,2400,2019-01-26,2025-09-05,3stage_full,raw
prob_weighted,btc,lightgbm,2.3733729182360315,0.689173802509379,-0.4320770077738463,242,0.6115702479338843,3.3733729182360315,2400,2019-01-26,2025-09-05,3stage_full,raw
stateful,btc,lightgbm,3.474226830555118,0.6007823436649957,-0.5306185040984168,141,0.524822695035461,4.474226830555118,2400,2019-01-26,2025-09-05,3stage_full,cal
defensive,btc,lightgbm,3.892289031779364,0.6256896008947722,-0.5306185040984174,148,0.527027027027027,4.892289031779364,2400,2019-01-26,2025-09-05,3stage_full,cal
prob_weighted,btc,lightgbm,0.7542706554447474,0.4760932876968808,-0.32139549727797856,141,0.5390070921985816,1.7542706554447474,2400,2019-01-26,2025-09-05,3stage_full,cal
stateful,btc,random_forest,9.470272191549734,0.8449110493601643,-0.48792015655912413,184,0.5434782608695652,10.470272191549734,2400,2019-01-26,2025-09-05,3stage_full,raw
defensive,btc,random_forest,7.66394262094577,0.8340109389879607,-0.3845496908888566,241,0.5518672199170125,8.66394262094577,2400,2019-01-26,2025-09-05,3stage_full,raw
prob_weighted,btc,random_forest,0.7356392680794905,0.6692898817900502,-0.11871301632125264,222,0.5405405405405406,1.7356392680794905,2400,2019-01-26,2025-09-05,3stage_full,raw
stateful,btc,random_forest,11.81254212899351,0.8732656300578597,-0.5306185040984174,105,0.5333333333333333,12.81254212899351,2400,2019-01-26,2025-09-05,3stage_full,cal
defensive,btc,random_forest,16.205324061080905,0.9614039411772336,-0.48346219444633065,122,0.5491803278688525,17.205324061080905,2400,2019-01-26,2025-09-05,3stage_full,cal
prob_weighted,btc,random_forest,1.469121457618178,0.7554589404182599,-0.2828644601309689,108,0.5740740740740741,2.469121457618178,2400,2019-01-26,2025-09-05,3stage_full,cal
stateful,btc,mlp,8.375722565960873,0.7949296696726827,-0.6214449436547931,177,0.5141242937853108,9.375722565960873,2400,2019-01-26,2025-09-05,3stage_full,raw
defensive,btc,mlp,6.48904331800216,0.7445081745034123,-0.6304869681513825,213,0.5352112676056338,7.48904331800216,2400,2019-01-26,2025-09-05,3stage_full,raw
prob_weighted,btc,mlp,2.2220120278280153,0.6016974287688701,-0.4533301727439242,193,0.5958549222797928,3.2220120278280153,2400,2019-01-26,2025-09-05,3stage_full,raw
stateful,btc,mlp,4.696714932154325,0.6433545521695719,-0.7148032280949784,116,0.5344827586206896,5.696714932154325,2400,2019-01-26,2025-09-05,3stage_full,cal
defensive,btc,mlp,5.860241484363058,0.6911812657007225,-0.7130670752344508,128,0.5546875,6.860241484363058,2400,2019-01-26,2025-09-05,3stage_full,cal
